PROVIDER NAME,EMIRATE,PROVIDER TYPE,AREA,ADDRESS,TELEPHONE,lat,lon
ADNOC - Sahel Clinic - Western Region,AUH,CLINIC,Western Region,"P.O. Box: 11876,
Abu Dhabi, Western Region",97126049901,24.418705,54.503174
ADNOC - Shah Clinic - Western Region,AUH,CLINIC,Western Region,"P.O. Box: 11876,
Abu Dhabi, Western Region",97126044200,24.418705,54.503174
ADNOC - Technical Institute Clinic - ATI - Abu Dhabi,AUH,CLINIC,,"Al Shawamekh, Near Schlumberger - Abu Dhabi",97126020575,,
ADNOC - Umm Al Dakh Clinic - Abu Dhabi,AUH,CLINIC,,"UMM AL DAKH Oilfield, Abu Dhabi",97126020575,0.00,0.00
ADNOC - Zirku Medical Center - Abu Dhabi,AUH,CLINIC,,"Zirku Island, Abu Dhabi",97126020575,0.00,0.00
ADNOC HQ CLINIC (CORNICHE) ABU DHABI,AUH,CLINIC,,"ADNOC Building Corniche Street, Corniche  Abu Dhabi UAE",97127079999,24.4620295,54.3241521
ADNOC Onshore Medical Centre (prvsly ADCO Medical Centre) - Abu Dhabi,AUH,CLINIC,,"Adco Medical Centre, Near Adco Operations,Al Khalidiyah,1st Corniche Street, Abu Dhabi",97126020575,0.00,0.00
AL AFDAL MEDICAL CENTER LLC (MINA)ABU DHABI,AUH,CLINIC,,"BUILDING NO:982, MINA STREET, ABU DHABI",97126355325,24.50198,54.37562000
AL AMEEN MEDICAL CENTRE LLC (NAJDA ST) ABU DHABI,AUH,CLINIC,,"BUILDING NO: 03, NAJDA STREET, ABOVE GIFTLAND, ABUDHABI, UAE",97126339722,,
AL AMEEN MEDICAL CENTRE LLC -  BRANCH 1 (MUSAFFAH) ABU DHABI,AUH,CLINIC,,"M37, NEAR DESH BANGLA SUPERMARKET, INDUSTRIAL AREA, MUSAFFAH, ABUDHABI, UAE",97125503115,,
AL BAHRI DENTAL & ORTHODONTIC CENTER BRANCH (AL BATEEN) ABU DHABI,AUH,CLINIC,Al Bateen,"NUILDING 836 ,AL KHALEEJ AL ARABI ST., AL BATEEN, ABU DHABI, UAE",97125751856,24.441871,54.368758
AL BUSTAN MEDICAL CENTER PLUS LLC (MAFRAQ) ABU DHABI (EX NOOR AL SHIFA MEDICAL CENTER),AUH,CLINIC,Mafraq,"New Shahama, Dubai Mafraq Road, Abu Dhabi",97125633380,24.5330834,54.6916854
AL FARHAN MEDICAL CENTRE (BANIYAS) ABU DHABI,AUH,CLINIC,,"HAMAD MUBARAK AL KHAILI, BANIYAS EAST-9, ABU DHABI",971525833417,24.2869,54.63873
AL FAROOQ MEDICAL & DENTAL CENTRE (FIRST ZAYED ROAD) ABU DHABI,AUH,CLINIC,,"512 AL HISN BLDG M FLOOR #00M FIRST ZAYED ROAD KHALIDIYA, ABU DHABI UAE",97126667399,24.475822,54.350945
AL KHAJA MEDICAL CENTER (HAMDAN ST) ABU DHABI,AUH,CLINIC,,"HAMDAN ST, AL DURRI ST. E/9/02 DARWISH AL SEERI BUILDING, ABU DHABI",97126720048,24.49386886,54.36828981
AL KHAN DENTAL CLINIC LLC (SHABIYA12) ABU DHABI,AUH,CLINIC,,"MUSAFFAH,SHABIYA,BUILDING NO C24, SHABIYA 12 ABU DHABI",971561919696,24.3245887,54.53440231
AL KHAZNA HEALTH MEDICAL CENTER (KHAZNA 1) AL AIN,AUH,CLINIC,,"SHOP#13, AL KHAZNA-01, AL AIN, UAE",97125584609,24.170566,55.1098173
AL MAGD MEDICAL CENTER (SANAIYA) AL AIN,AUH,CLINIC,Al Ain City,"BEHIND NISSAN AL MASOOD SHOWROOM, AL  AIN, SANAIYA, LEETAG_5, ST-4.",97137342225,,
AL MEENA MEDICAL CENTRE LLC (AL KHIBEESI) AL AIN,AUH,CLINIC,,"VILLA NO.28, AI AZEEZIYYAH ST, AL AIN",97137800762,24.22246029,55.6952718
AL MUKHTAR MEDICAL CENTER (KHALIFA BIN ZAYED) ABU DHABI,AUH,CLINIC,,KHALIFA BIN ZAYED PO BOX 222208,97137552333,00.0000,00.00000
AL ROUDHA MEDICAL CENTER (AL MURABBA) ABU DHABI,AUH,CLINIC,,Al SAROOJ –AL MURABBA BACK SIDE OF WELCOME TRADERS ABU DHABI AL AIN  03-7510810,97137510810,24.479247,54.380854
AL SAQI MEDICAL POLYCLINIC ABU DHABI (PRVSLY AL SAQI MEDICAL CENTRE),AUH,CLINIC,,PO Box 27421,97126329451,24.48613,54.35988
AL THURYA DENTAL IMPLANT CENTER (AL WATHBA MAL) ABU DHABI,AUH,CLINIC,,AL WTHBA SOUTH. PLOT NO C9. AL WATHBA MALL GROUND FLOOR. ABU DHABI,97124432209,24.46183,54.37669
ALAFIA GHYATHI MEDICAL CENTRE (AL DHAFRA) ABU DHABI,AUH,CLINIC,,"GHYATHI, INDUSTRIAL AREA, DEPARTMENT OF MUNICIPAL AFFAIRS BLOCK 18, ABU DHABI UAE",97128740166,23.9147944,52.8019818
ALBEDDA MEDICAL POLYCLINICS (AL MARFA CITY) ABU DHABI,AUH,CLINIC,,"ALMAGERA, ALMARFFA, ABU DHABI",97126218371,24.098614,53.496388
ALSSEIFIYA ISLAND CLINIC PRVSLY SOUTH ISLAND CLINIC - ABU DHABI,AUH,CLINIC,,"South Island Oilfeild, Abu Dhabi",97126020575,0.00,0.00
APEX MEDICAL CENTRE (GHAYATHI) ABU DHABI,AUH,CLINIC,,"BIN ASHEER BUILDING, GHAYATHI NEW INDUSTRIAL AREA, WESTERN REGION GHAYATHI, ABU DHABI",97126500485,23.93797222,52.81850000
APPOLONIA ADVANCED PEDIATRIC DENTAL CENTER LLC (AL SALAMA) ABU DHABI,AUH,CLINIC,Khalifa City,"BUILDING 88,GROUND FLOOR,VILLA NO.88, AL SALAMA STREET, KHALIFA CITY, ABU DHABI UAE",97126760100,24.40902374,54.57190369
APPOLONIA PEDIATRIC DENTAL CENTER (CORNICHE) ABU DHABI,AUH,CLINIC,,"44 NADD AL SHIBA ST - CORNICHE, ABU DHABI",97126660997,24.47458,54.35001
APPOLONIA PLUS PEDIATRIC DENTAL CENTER LLC (AL IREESH) ABU DHABI,AUH,CLINIC,,"APPOLONIA BUILDING, ROUND FLOOR, AL IREESH STREET, ENTRAL DISTRICT AL AIN, ABU DHABI",97137800252,24.22165687,55.77040548
ARABIAN SPECIALIST MEDICAL CENTER (AL MUWAIJI) AL AIN,AUH,CLINIC,Al Ain City,"33RD STREET, OUD BIN SAG-HAN, AL MUWAIJI, AL AIN",97137663111,24.209203,55.688649
ASPRIS HEALTHCARE LLC (AL SAUD STREET) ABU DHABI,AUH,CLINIC,Al Bateen,"FLAT #17 KING ABDULLAH BIN ABDULAZIZ AL SAUD STREET, ABU DHABI",97126518111,24.45767,54.33489
Abu Dhabi Dental Clinic (Electra St.) Abu Dhabi,AUH,CLINIC,,"Behind Castle Hotel, Same Alya Pharmacy Bldg., Electra Street, Abu Dhabi,",97126341327,24.48543,54.36103
Abu Salman Medical Center (M-10) Mussafah,AUH,CLINIC,,"Shabiat Khalifa, Near Juaind Pharmacy, M-10, Musaffah,  Abu Dhabi",97125522549,24.337435,54.534908
Acacia Medical Center (Al Karamah St) Abu Dhabi,AUH,CLINIC,,"Villa No. 15, Al Karamah St. Abu Dhabi",97124445513,,
Adam & Eve Specialized Medical Centre (Electra St.) Abu Dhabi,AUH,CLINIC,,"1st Floor, Pink Building #501, Near Royal Rose Hotel, Zayed The First St. (Electra St.) - Abu Dhabi",97126767366,24.4932536,54.3702851
Advance Cure Diagnostic Centre (Al Bateen)  Abu Dhabi,AUH,CLINIC,Al Bateen,"Beside Al Bateen Mall, Al Bateen, Abu Dhabi, UAE",97124100900,24.4612743,54.3445854
Advanced Cure Diagnostic Centre (Al Bateen) Abu Dhabi,AUH,CLINIC,Al Bateen,"Al Falah Street, Near Al Bateen Mall, Al Bateen - Abu Dhabi",97126675050,24.4612743,54.3445854
Advanced Cure Diagnostic Centre-Llc-Branch 2,AUH,CLINIC,,"AL BATEEN, AL KHALEEJ AL ARABI",97124100900,24.459265,54.3470583
Ailabouny Medical Center (Salam St.) Abu Dhabi,AUH,CLINIC,,"3rd Floor, Emirates Catering Equipment Building, Office # 302, Opposite Municipality, Salam Street, Tourist Club, PO Box: 4244, Abu Dhabi -UAE",97126440125,24.490857,54.378399
Al Ahly Specialist Medical Centre (Al Muroor St.) Abu Dhabi,AUH,CLINIC,Mushrif,"SH21_90a, Al Yameen Street , Al Shamkhah  Abudhabi , 23843",971024487553,24.3671,54.7066
Al Ain Ahili Medical Centre (Shk. Khalifa) Al Ain,AUH,CLINIC,Al Ain City,"Opposite Al Sahir Cafeteria, Sheikh Khalifa Street, Al Ain",97126228294,24.277501,55.742462
Al Amal Medical Centre (Baniyas East 9) Abu Dhabi,AUH,CLINIC,,"HAMD AL KHAYLI BUILDING, 33 RD STREET, BANIYAS EAST 9, ABU DHABI",97125832331,24.7972913,54.7341325
Al Areej Dental Clinic (Khalifa City) Abu Dhabi,AUH,CLINIC,Khalifa City,"Mezzanine Floor, Building #3, Near Civil Defence Building, Khalifa City, Abu Dhabi",97125565882,24.42249,54.56515
Al Bahri Dental Clinic (Zayed Bin Sultan St) Al Ain,AUH,CLINIC,Al Ain City,"Zayed Bin Sultan St, Next to the Arab Bank, Beside Abu Dhabi Islamic, P.O.Box: 1580, Al Ain - email: samihbhr@eim.ae; albahridental@gmail.com",97137643273,24.22131,55.75921
Al Basheer Medical Centre (Main St.)  Al Ain,AUH,CLINIC,Al Ain City,"M1 & M2 Floor, Above Hayat Center Main Street, Al Ain",97137665561,55.7699242,24.2218721
Al Dawwa Medical Center (Shk Khalifa St.) Al Ain,AUH,CLINIC,Al Ain City,"Ajman Bank Building, Beside Al Ain Pharmacy, Sheikh Khalifa Bin Zayed St., Al Mutawaa, Al Ain",97137800182,,
Al Dhafra Modern Clinic (Bida Zayed) Abu Dhabi,AUH,CLINIC,"Western Region, Beda Zayed District","UAE Exchange building Sanaya Bida Zayed, Abu Dhabi",97128846651,24.4759,54.354515
Al Dhafra Speciality Dental Clinic - Abu Dhabi,AUH,CLINIC,,"Hamdan Street, Behind Liwa Centre ;  alt email:aldhafradental@gmail.com",97126322800,24.48667,54.36096
Al Farabi Medical Clinic -Al Ain,AUH,CLINIC,Al Ain City,"First Floor, Al Fardan Exchange Building, Main Street, Al Ain P.O. Box 17546",97137515383,24.222766,55.769948
Al Ghallan Island Clinic - Abu Dhabi,AUH,CLINIC,,"CENTRAL ISLAND Oilfield, Abu Dhabi",97126020575,0.00,0.00
Al Hendawy Medical Centre - Abu Dhabi,AUH,CLINIC,,P.O.Box: 105521,97126213666,24.484112,54.367465
Al Hilal Medical Clinic,AUH,CLINIC,Al Ain City,"Near Lucky Plaza, Main Road, Al Ain, Opp. to Al Ansari Exchange, Main Road, Al Ain P.O. Box: 1967",97137664109,24.221604,55.772754
Al Kamal Medical Polyclinics - Abu Dhabi,AUH,CLINIC,,"OPP to ADCB Khalidiya Branch, Abu Dhabi",97126651464,24.475961,54.35045
Al Karama Medical Clinic - Abu dhabi,AUH,CLINIC,,"Baladiya Market No 7, Baniyas, Abu Dhabi P. O. Box: 25693",971026720204,24.296542,54.638991
Al Madina Medical Center for Specialty Clinics,AUH,CLINIC,,"P.O. Box: 126640 , Behind Al Jazirah Club, Airport Road,",97126439779,24.4514892,54.3869708
Al Mamoon Medical Centre (Muwaiji-2) Al Ain,AUH,CLINIC,Al Ain City,"Muwaiji-2, Street-2, Villa No. 38, Near Marriage Fund، Sheik Khalifa Bin Zayed St., Al Ain City - Abu Dhabi",97137666652,24.2210543,55.711893
Al Manal Dental Center - Abu Dhabi,AUH,CLINIC,,"Corniche, ABu Dhabi",97126224006,24.49039,54.35493
Al Manara Dental Clinic- Al Ain,AUH,CLINIC,Al Ain City,"Al Ain, UAE",97137665441,24.225497,55.760604
Al Naseem Medical Centre LLC - Abu Dhabi,AUH,CLINIC,,"PO Box 2620
Behind Liwa Centre 
Hamdan Street
Abu Dhabi - U.A.E",97126342834,24.487111,54.361587
Al Nasr Field Clinic - Abu Dhabi,AUH,CLINIC,,"Al Nasr Field Island, Abu Dhabi",97126024518,0.00,0.00
Al Noor Medical Center WLL - Al Ain,AUH,CLINIC,Al Ain City,"Zayed Bin Sultan Street
P.O. Box: 15706, Al Ain",97137662072,24.220074,55.773941
Al Nuaman Dental Medical Center (Al Naser Street) Abu Dhabi,AUH,CLINIC,,KHALIFA KHALAF AL MAZROUI BLDG.AL NASER STREET ABU DHABI UAE,97126348482,24.48079,54.3513
Al Qabail Medical Centre L.L.C,AUH,CLINIC,,"GROUND FLOOR , ICAD ROAD",97125575531,24.494076,54.378835
Al Qadi Medical Center- Abu Dhabi,AUH,CLINIC,,"P.O : 468,ST30, ZONE- 2 ,SECTOR-78
 New Al Maharbha Area,Opp Chinese embassy
Abu Dhabi.",97124437777,24.441914,54.368704
Al Rafa Medical Centre (Khalidiya)  - Abu Dhabi,AUH,CLINIC,,"United Square Building, Beside Khalidiya Mall, Khalidiya - Abu Dhabi",97126266672,24.490549,54.363533
Al Raha Medical Center - Abu Dhabi prvsly Rahat Medical Centre - Abu Dhabi,AUH,CLINIC,,"Abu Dhabi, UAE",97126333924,24.4885,54.364393
Al Raneen Medical Centre (Lucky Plaza Bldg.) Al Ain,AUH,CLINIC,Al Ain City,"Lucky Plaza Bldg., Main Street, Al Ain",97137655602,24.2216156,55.7707662
Al Rayashi Dental Center - Abu Dhabi,AUH,CLINIC,,"Shk Khalifa Street, Sheraton Area, Dona Moda Bldg, Flat 101, Abu Dhabi",97126792647,,
Al Rayyan Medical Center owned by Jaber Jasem Almheiri Sole,AUH,CLINIC,,"P.O Box 30520, Musaffah, M/E 12,
Bldg No: 21, First Floor 102
Abu Dhabi",97125522262,24.327091,54.534674
Al Razi City Medical Center (Khalidiyah St) Abu Dhabi,AUH,CLINIC,,"Al Awqaf Building M01, Khalidiyah Area, Abu Dhabi",97126224431,24.4289402,54.4436294
Al Riyadh Medical Centre (Baniyas) Abu Dhabi,AUH,CLINIC,,"Al Shawamekh, Baniyas, Abu Dhabi",97125829949,0.00,0.00
Al Safwa Medical Center - Abu Dhabi,AUH,CLINIC,,"Marjan Plaza Bulding P.O.Box 46704
Abu Dhabi- UAE",97126262989,24.489497,54.362133
Al Sultan Advanced Polyclinic - Al Ain,AUH,CLINIC,Al Ain City,"PO Box 15484, Falaj Hazza, 
Al Ain, UAE.",97137806111,24.1758999,55.706262
Al Tadamon Medical Center - Abu Dhabi,AUH,CLINIC,,"Building No. C299, Mussafa Shabia – 10, Street No. 47
P.O. Box: 10541, Abu Dhabi",97125545000,24.335545,54.546225
Al Taweelah Medical Center - Abu Dhabi,AUH,CLINIC,,Khalifa Industrial Zone Abu Dhabi,97123083145,24.782061,54.738243
Al Wahda Medical Centre - Abu Dhabi,AUH,CLINIC,,"P.O.Box: 71469
Defence Road
Abu Dhabi, UAE",97126418383,24.471432,54.37083
Al Waqar Medical Centre - Al Ain,AUH,CLINIC,Al Ain City,"Mohd Sherif Al Khury Building, Villa 16A, 16B, Al Ain",97137664521,55.770887,24.222130
Al Zhoor Medical Center - Al Ain,AUH,CLINIC,Al Ain City,"Oud Althoba st., Near Air Arabia
Floor M1, Room 104
P.O Box: 85995
Al Ain",97137857365,,
All Care Medical Center  - Abu Dhabi,AUH,CLINIC,,"Villa #726, Delma Street, Bet Airport Road & Muroor Road, Opp Of Zayed Educational Campus, Abu Dhabi",97126660818,24.463914,54.380058
Alpha Medical Centre - Abu Dhabi,AUH,CLINIC,Mussafah,"Plot No. 1 Al Firdous Business Center, Sanaya M3, Mussafah",97125558383,24.3691777,54.5144668
Alqatia Island Clinic - Abu Dhabi,AUH,CLINIC,,"Alqatia Island, Abu Dhabi, UAE",97126024518,0.00,0.00
Ambulance Department-ADCD (Al Muroor Road) Abu Dhabi,AUH,CLINIC,,"Al Muroor Road, Abu Dhabi, UAE",97125131555,24.450735,54.394779
American Center for Psychiatry & Neuro.(Al Manaseer) Abu Dhabi,AUH,CLINIC,,"Villa No. 533 Intersection Hazza Bin Zayed (11th) Street and Mubarak Bin Mohammed (26th St after Moroccan and Japanese Embassies - Abu Dhabi, UAE",97126979999,24.461277,54.362526
American Center for Psychiatry & Neurology LLC - Branch 1 - Al Ain,AUH,CLINIC,Al Ain City,"Between Al Jahili Roundabout and Industrial Roundabout, Al Ain",97137131700,24.211884,55.74589
American Crescent Healthcare Center - Abu Dhabi,AUH,CLINIC,,"P.O. Box 29669
Abu Dhabi-UAE",97126325000,24.479272,54.355842
American Dental Center (Najda St.)  AUH,AUH,CLINIC,,"H & M Building, Najda Street, Next to Al Maha Arjaan Hotel, Beside ibn Al-Nafees Medical Center Building, Abu Dhabi, UAE",97126219800,24.49195,54.3681
Amrita Medical Center - Abu Dhabi,AUH,CLINIC,Khalidiyah,"Hamdan Bin Mohammed St., Near Family Park, W7-01, Khalidiya - Abu Dhabi - United Arab Emirates",97126661555,24.476508,54.347826
Amwaj Medical Centre (Khalifa St) Abu Dhabi,AUH,CLINIC,,"Khalifa Street, Abu Dhabi",97126273888,24.491512,54.359852
Ansari Medical Centre (Al Nasr St) Abu Dhabi,AUH,CLINIC,,"Al-Hosn, West, 4 Building, Afra Muhammad Saif Assistant, Al Khalidiya, Abu Dhabi, UAE",97126394139,24.475779,54.351475
Apollo Medical Centre (Hamdan Street) - Abu Dhabi,AUH,CLINIC,,"M102, Muraijeb Tower, Near ADCB Bank, Hamdan Street, Abu Dhabi",97126397733,24.489711,54.364112
Arabian Island Medical Center - AUH,AUH,CLINIC,,"BLOCK 187 , SH 20 , Al Shamkha , Baniyas AUH, UAE",97128865922,24.369088,54.703466
Arzanah Clinic - Abu Dhabi,AUH,CLINIC,,"Umm Al Nar, Near Al Maqta Bridge - Abu Dhabi",97126020575,0.00,0.00
Asmat Dental Clinic (Liwa Street) Abu Dhabi,AUH,CLINIC,,"E20 Al Souq Tower, Liwa Street, Abu Dhabi",97126216063,24.466667,54.366669
Aster Primary Care (Musaffah) Abu Dhabi,AUH,CLINIC,,"P.O. Box: 8703, Near 1st singal, Indultrial Area, Musaffah
Abu Dhabi",97125557078,24.382585,54.513654
Awazen Center  - Abu Dhabi,AUH,CLINIC,,"Wahda Commercial Tower, 8th Floor, HAzaa bin Zayed Street, Airport Road, Abu Dhabi",97124411944,24.471163,54.374063
B F MEDICAL CENTER (STREET NO 14) ABU DHABI,AUH,CLINIC,,"FIRST CITY PROPERTIES, STREET NO 14, BATHA AL HAYER ABU DHABI UAE",97137532777,24.19030095,55.75731901
BAB AL MADINA MEDICAL CENTER (MUSSAFAH) ABU DHABI,AUH,CLINIC,,"16TH STREET, Mussafah M-26,  Shop no. 04, near Grand Mosque, Abu Dhabi, UAE",97126422464,24.350482,54.520582
BAB AL TEB MEDICAL CENTRE (MUSSAFAH) ABU DHABI,AUH,CLINIC,Mussafah,"PLOT # 61 SANAIYA M-6, Almarmoumiya 1 St,MUSSAFAH",97126737896,24.37256307,54.5126649
BEAUTICA DENTAL CENTER (AL DANAH) ABU DHABI,AUH,CLINIC,,"AL DANAH, HAMDAN ST. ABU DHABI UNITED ARAB EMIRATES",97124465599,24.49278408,54.36696569
BEAUTY TRICK MEDICAL CENTER (AL MANHAL) ABU DHABI,AUH,CLINIC,Al Manhal,VILLA 21 AL KARAMA STREET,97126422771,24.45915316,54.37333952
BELLEVUE MEDICAL CENTER (AL DANAH) ABU DHABI,AUH,CLINIC,,"old Honda Showroom Building, E11,Maznine Floor, fLAT nO.7&8,Electra street,Abu Dhabi, U.A.E",97125844879,24.49167254,54.37220597
BIDA AL OSHANAH CLINIC (WESTERN REGION) ABU DHABI,AUH,CLINIC,Western Region,"ZAYED CITY, WESTERN REGION, BU HASAH ROAD",97128954318,23.7393941,53.5205413
BLOOM PLUS MEDICAL CENTER ABU DHABI PRVSLY AL FALAH MEDICAL CENTRE - ABU DHABI,AUH,CLINIC,,"711-Z20, Al Anwar St., Mohammad Bin Zayed City, Abu Dhabi, UAE",97128865880,24.486099,54.361647
BREEZE MEDICAL CENTRE (AL DHAFRA) ABU DHABI,AUH,CLINIC,Western Region,ADCS BUILDING	SHEIKHA SALAMA BINT BUTTI RD,97128869855,23.65239418,53.7059764
BURJEEL MEDICAL CENTER (AL SHAMKHA) ABU DHABI,AUH,CLINIC,,"Makani Mall, Al Shamkha, Abu Dhabi",9725085511,24.3742632,54.7082568
Baniyas  Al Ahli Medical Center - Abu Dhabi,AUH,CLINIC,,"37/146, Near Ahmed Salem Al - Mahrami Mosque, Opp Al Madina hypermarket, M-37, Mussaffah, Abu Dhabi, UAE",97125510606,24.285538,54.640511
Baniyas Medical Clinics - Abu Dhabi,AUH,CLINIC,,P.O.Box: 57407,97125831116,24.294137,54.657365
Basel Medical Centre - Abu Dhabi,AUH,CLINIC,,"Mafraq Centre, 1st Floor, Room 221, Workers City 2, Baniyas, Abu Dhabi",97126316831,24.49153,54.368143
Be Well Speciliazed Medical Center - Abu Dhabi,AUH,CLINIC,,"Al Mushrif Area, Khaleej Al Arabi Street, Abu Dhabi",97126660149,24.4606,54.3539
Blue Ocean Medical Center - Abu Dhabi,AUH,CLINIC,,"MUSAFFAH(SHABIYA)-ME 10/ BUILDING NO. C344, MUSAFFAH SHABIYA- ME10, ABU DHABI",97124481981,24.335823,54.537012
Boston Dental Center  - Abu Dhabi,AUH,CLINIC,,"Al Falah St., Mubarak Bin Mohammed St., Behind Khalidiya Mall",97126667070,24.467518,54.353047
Boulevard Medical Centre (Deerfields Mall) Abu Dhabi,AUH,CLINIC,,"Deerfields Mall, Al Bahya, Abu Dhabi",97125850858,24.522433,54.670469
Bourn Hall LLC Branch of Abu Dhabi 1 (AL KHALIDIYA) ABU DHABI,AUH,CLINIC,Khalidiyah,"AL KHALIDIYA, ABU DHABI",971501960464,24.459993,54.35647
Bu Sikeen Island Clinic - Abu Dhabi,AUH,CLINIC,,"Abu Dhabi Marine Operating SARB Island, Abu Dhabi, UAE",97126024518,0.00,0.00
Burjeel Medical Centre Alzeina LLC - Abu Dhabi,AUH,CLINIC,,"Retail B1, Ground Floor, Al Zeina, Al RAha, Abu Dhabi",97122054306,24.456382,54.612923
Burjeel Medical Centre Barari - Al Ain,AUH,CLINIC,Al Ain City,"Barari Outlet Mall, Shop 01, 02 Upper Second Floor, Abu Dhabi, Al Ain",97137991555,24.086358,55.829961
Burjeel Orthopedic & Sports Medicine Centre (Al Reem Island) - Abu Dhabi,AUH,CLINIC,,"The ARC Tower, Flat No. R1-01 + RG-01, Floor No. R1-0 + RG01, Al Reem Island, Abu Dhabi",97123079732,24.4948702,54.4088544
CELESTE MEDICAL CENTER (ASHARIJ) AL AIN,AUH,CLINIC,Al Ain City,"Asharej District Bidaa Bin Ammar St., Number 4 Flat 4&5, Al Ain",97137673298,24.1985717,55.663154
CONTINENTAL DENTAL CLINIC (KHALIFA STREET) ABU DHABI,AUH,CLINIC,,"101,AL ANSARI EXCHANGE BUILDING ,KHALIFA BIN ZAYED THE FIRST STREET, P.O BOX 28909 ,ABUDHABI -UAE",97126730013,24.48818,54.36535472
COSMESURGE CLINICS L.L.C BRANCH ABU DHABI 1- (BANIYAS) ABU DHABI,AUH,CLINIC,,"BAWABAT AL SHARQ MALL, BANIYAS, ABU DHABI",97125859024,24.313829,54.620075
COSMESURGE ZAKHER MEDICAL CENTER LLC - AL AIN,AUH,CLINIC,Al Ain City,"Twam street no 3, Villa no 29A - Al Ain ,Al Shuibah Area, Al Ain",97137089000,24.3925586,54.4602743
COSMPOLITAN MEDICAL CENTRE (HAMEEM WORKERS CITY) ABU DHABI,AUH,CLINIC,,"Opposite Al Ibrahimi Restaurant, Above Trans-Arabian Air Services, Abu Dhabi",97126314422,24.4886019,54.3645203
Canadian Dental Clinic- Al Ain,AUH,CLINIC,Al Ain City,"Khalifa St., Al AIn
email: mohazia@gmail.com ; mohazia@canadiandentalclinic.ae",97137666696,24.225603,55.761382
Canadian Medical & Rehabilitation Center (Khalifa City A) Abu Dhabi,AUH,CLINIC,,"Khalifa City A, Near Al Yasmina School, Abu Dhabi",97125551231,24.402868,54.577632
Canadian Medical Center Sole Proprietorship LLC (Delma St.) Abu Dhabi,AUH,CLINIC,,"Building number 1791, Villa number 1 - 13 Rashid Bin Saeed Al Maktoum St(2nd St)-(Delma St.), Opp Public Works Division, Abu Dhabi, UAE",97124469004,24.462051,54.377067
Care Point Clinic  LLC - Abu Dhabi,AUH,CLINIC,,"Al Jaber Camp, Mafraq Workers City 1, Above Madina Hypermarket, Baniyas west, Abu Dhabi",97126228383,24.2860105,54.604043
Central Clinic - Abu Dhabi,AUH,CLINIC,,"Level-2, New Emistate Tower. Hamdan Street, Next to Marks & Spencer",97126323497,24.487099,54.360266
Charisma Medical Center LLC - Abu Dhabi,AUH,CLINIC,,"Hamdan St., Ziani Area, Near Al Futaihi Textile Shops, Abu Dhabi",97126775775,24.497014,54.369796
Classic Care Medical Center - Al Ain,AUH,CLINIC,Sweihan,"Flat 106 & 107, Building 1535, Sweihan, Beside FAB Bank, Al Ain",97137346454,24.4591522,55.3191104
