PROVIDER NAME,EMIRATE,PROVIDER TYPE,AREA,ADDRESS,TELEPHONE,lat,lon
Ambulance And Public Safety Department,AUH,Clinic,Baniyas,"Baniyas, Abu Dhabi",600520002,,
Ansari Medical Centre,AUH,Clinic,Al Nasr,"Opp.Marks& Spencer, Safe Travel& Services Building, Airport Road, Abudhabi, Po Box: 27467",26394139,,
Apex Medical Centre,AUH,Clinic,Ghayathi Industrial,"Bin Asheer Building, Ghayathi New Industrial Area, Abu Dhabi, UAE PO Box 38542",26500485,,
ARZANAH CLINIC,AUH,CLINIC,UMM AL NAR,"UMM AL NAR, NEAR AL MAQTA BRIDGE - ABU DHABI",02 6023882,,
Asab Clinic - Auh,AUH,Clinic,Al Ruwais,"Al Dhafra ,Western Region,Onshore Abudhabi",26034222,,
Bab Al Madina Medical Center Llc,AUH,Clinic,Musaffah,"M-26, Mussafah, Shop No. 06, Near Grand Mosque, Abu Dhabi - Uae",26422464,,
Bf Medical Center,AUH,Clinic,Sanaiya,"14th street, Saniya,P.O Box: 8888, Al Ain, UAE",37532777,,
BIDA AL OSHANAH CLINIC,AUH,CLINIC,WESTERN REGION,"ZAYED CITY WESTERN REGION, ABU DHABI",02 6023882,,
Blue Ocean Medical Center,AUH,Clinic,Musaffah Shabiya,"Hamed Ghanim Bin Hamoodah building- C344, Musaffah Shabiya-ME10, Mohamed Bin Zayed City, Abu Dhabi, UAE",24481981,,
Buhasa Clinic  - Auh,AUH,Clinic,Al Ruwais,"Al Dhafra ,Western Region,Onshore Abudhabi",26035272,,
Burjeel Day Surgery Center L.L.C.,AUH,Clinic,Al Reem Island,"Burjeel Day Surgery Center  - Gate And Arc Towers, R1-01 + Rg-01, Boutik Mall",80055,,
Burjeel Medical Centre Al Zeina Ex: Medeor Medical Centre Llc,AUH,Clinic,Al Zeina,"Precinct B-01, Al Raha Beach, Al Zeina - Abu Dhabi",80055,,
Burjeel Medical Centre Barari Llc,AUH,Clinic,Al Ain,Burjeel Outlet Mall Upper Second Third Floor Shope No1 & 2,80055,,
Burjeel Oasis Medical Centre Llc,AUH,Clinic,Madinat Zayed,"Aldhafra Region, Madinat Zayed, Main Street, Aldhafra Sports Club Buildings Block B",80055,,
BUSIKEEN ISLAND CLINIC,AUH,CLINIC,SARB ISLAND,"ABU DHABI MARINE OPERATING SARB ISLAND, ABU DHABI, UAE",02 6023882,,
Central Island Clinic,AUH,Clinic,Offshore,Off Shore Abudhabi,26059602,,
Clarion Medical Center,AUH,Clinic,Al khalidiya,"Clarion Medical Center- Mezannine Floor, Health First Pharmacy Building (Behind Choitrams Supermarket) Al Khalidiya, Abu Dhabi, Uae",26666675,,
Cosmpolitan Medical Centre-Sole Proprietorship Llc,AUH,Clinic,Al Dhafra,"201, First Floor, Hameem Mall, Al Dhafrah, Abu Dhabi, UAE",25555328,,
Dabbayia Clinic - Auh,AUH,Clinic,Al Ruwais,"Al Dhafra ,Western Region,Onshore Abudhabi",26046789,,
Dar Al Shifa Medical Center Abu Dhabi,AUH,Clinic,Nadi Al Syahi,"Bldg No 137, Al Nowais Bldg, Electra St Tourist Club Area, Behind Dana Hotel, Abu Dhabi, Uae",24400500,,
Dar Al Shifaa Day Care Surgery Llc,AUH,Clinic,Mussafah,"Najda Street, Abu Dhabi, Uae",26900903,,
Das Medical Centre (Ex: Abu Dhabi Marine Operating Company Clinic (Adma Opco),AUH,Clinic,Abu Dhabi,Off shore abudhabi,26063300,,
Dr. Moopen'S Medical Polyclinic Abu Dhabi,AUH,Clinic,Musaffah,"Near 1St Signal (Masjid), Sector-9, Sannayah, Musaffah, Abu Dhabi Uae",24400500,,
DUO PRIME CARE MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C.,AUH,Clinic,Musaffah,"Musaffah M4, Plot Number 11, street no. 4, Abu Dhabi, UAE. P. O Box- 92638",25828139,,
Ever Care Medical Center,AUH,Clinic,Musaffah 17,"Musaffah 17, near Shati al madina – Musaffah, P.O. Box 90862, Abu Dhabi",24457667,,
Excellent Medical Center L.L.C,AUH,Clinic,Al Mafraq,"Sawaeed Residential Compound,Worker City 2,Al Mafraq Abu Dhabi",25544469,,
Freedom Medical Centre (Ex. Al Dhaheri Clinic),AUH,Clinic,Electra,"Building No4,Musafah M4,1St Floor",26336744,,
Gh Medical Center L.L.C,AUH,Clinic,Al Jaber Camp,"Al Madina Hypermarket, Al Jaber Camp, P.O Box 128777, Abu Dhabi",26289933,,
Golden Choice Medical Center,AUH,Clinic,Musaffah,"Musafah- Sanayya , M14, Auh -Uae",25535544,,
Golden Sands Medical Centre Llc,AUH,Clinic,Al Falah,"Golden Sands Medical Centre Llc, Al Falah Street, Above Sands Pharmacy, Jumma Eid Almeraikhi Building, Abu Dhabi , Ph-02642717",26427171,,
Gulf International Cancer Center - Auh,AUH,Clinic,Shahama,"1 Floor, Al Bahia Sheikh Zayed 5 KM South of Al Raha Beach Hotel, Abu Dhabi",25635558,,
Habshan Medical Center - AUH,AUH,Clinic,AL RUWAIS,"Al Dhafra ,Western Region,Onshore Abudhabi",26038331,,
Healthline Medical Center Llc,AUH,Clinic,Shamkha,"Near One Time supermarket Al Riyadh, Shamkha Abu Dhabi",25668600,,
High Life Medical Center,AUH,Clinic,Al Mafraq,"Shop No G02, F2C4-7, Building No.07 Parco Mall,",25850081,,
Holistic Medical Centre Sole Propreitorship Llc,AUH,Clinic,Khalifa A,Https://Goo.Gl/Maps/E5Rxlrwsatzb1Hym6,26661567,,
Hope Medical Center Llc,AUH,Clinic,Al Mafraq,"Gcc New Office Building, Plot :384 / Building  Mafraq Worker City 1Al Mafraq Industrial Area  Abu Dhabi.",25551430,,
INDUS MEDICAL CENTRE LLC,AUH,CLINIC,AL MAFRAQ INDUSTRIAL,AL MAFRAQ INDUSTRIAL AREA WORKERS CITY 2 NEAR PARCO HYPERMARKET,02-4467700,,
Intercare Health Center L.L.C.,AUH,Clinic,Marina,"Unit B35, Marina Village, Marina Mall Marina Area, Abu Dhabi",26390080,,
Jabel Dhana Clinic - Auh,AUH,Clinic,Al Ruwais,"Jabal Al Dhana Field, Al Dhafra Region, Abu Dhabi, Uae",26022336,,
L.L.H Mobile Clinic L.L.C,AUH,Clinic,Electra,"Al Marwa Tower, Electra Street Abu Dhabi",80055,,
L.L.H Mobile Medical Unit L.L.C,AUH,Clinic,Electra,"Al Marwa Tower, Electra Street Abu Dhabi",80055,,
La Fami Medical Complex L.L.C,AUH,Clinic,Wadi Al Ain,80 Al Kawakib 7 St - Al Noud - Wadi Al Ain 1 - Abu Dhabi,37221136,,
Lifecare Clinic L.L.C,AUH,Clinic,Al Wathba,"Magenta Real Estate Management Llc, Magenta Pearl Village, Al Mafraq Workers City 2, Abu Dhabi",80055,,
Lifecare Medical Center L.L.C,AUH,Clinic,Al Wathba,"Al Wathba Razeen Labor City, Abu Dhabi",80055,,
Llh Medical Centre Al Musaffah Llc Branch 1,AUH,Clinic,Mafraq Industry,"Near Labotel Camp, Mafraq Industry",80055,,
Llh Medical Centre Al Musaffah Llc-Branch 3,AUH,Clinic,Musaffah,"M40, Km Trading Building, Icad, 16 Street
Musaffah.",80055,,
LLH Medical Centre Al Najda LLC(Ex. Al Fuad Medical Centre L.L.C.),AUH,Clinic,Electra Street,"H.E. Shaikh Abdulla Bin Butti Al Hamed Bldg., Same Building Grand Outlet Electra Street, Najda Street, Fatima Bint Mubarak St. Al Danah",25599444,,
Llh Medical Centre Llc,AUH,Clinic,AL Markazya,"Building No. C55, Musaffah Shabiya Me Ii, Po Box 92313",80055,,
M26 Medical Center,AUH,Clinic,Musafah,"Plot No 94, Near Gujrat restaurant, Musafah 26, Abu Dhabi. UAE. P. O Box- 92552",28867789,,
Marbella Medical Centre,AUH,Clinic,AL Jimi district,"Opposite Al Noor bakery, 10th street selmi, AL Jimi district, Al Ain",37639000,,
Mariam Medical Center L.L.C,AUH,Clinic,Baniyas,"Po Box 8680 Shop No 2B Plot No F2C4_1 Magenta Pearl Village, Al Mafraq Industrial 2 (China Camp) Abudhabi",26214626,,
Max Cure Medical Care Center - L.L.C,AUH,Clinic,Al Saada,"Dharweesh Tower, Ground Floor, near to the embassy, Juma Bin Kasla Al Rumaithi St, Al Saada, Abu Dhabi",26221102,,
Maxim Mmedical Centre,AUH,Clinic,ICAD,"Al Dhafra Workers Villege, Icad-3, Mussaffa",25500161,,
Medical Speciality Centre Llc,AUH,Clinic,Khalidhiya,"Yateem Opticals Building, Opp. Grant Store, Zayed The 1St Street, Khalidhiya",26336325,,
Medline Medical Centre Llc,AUH,Clinic,Musaffah,"M26,Industrial Area,Mussafah,Abudhabi",25530577,,
Medlux Medical Center L.L.C,AUH,Clinic,Mafraq,"Medlux Medical Center Llc, Near Al Ameen Super Market, Industrial Area Zone 1, Mafraq, Abu Dhabi",24455993,,
Medstar Clinics Sanaiya Al Ain Llc,AUH,Clinic,New Sanaiya,"Po Box 222766, Al Ain Town Center, Near Taqwa Mosque, Al Ain, Uae",37621007,,
Medstar Icad Medical Center Llc,AUH,Clinic,Mussafah,"Po Box 106964, Icad Residential City, Mussafah, Abu Dhabi, Near Fresh & More Hypermarket",25845657,,
Moon Light Medical Center Llc,AUH,Clinic,Al Ain,"15, Batha Al Hayer, Al Sanaiya, Al Ain Abu Dhabi",37519966,,
Mubarak Medical Center - Aan,AUH,Clinic,Old immigration road,"Near K.M. Trading, Old immigration road, Al Ain",37642978,,
Mubarak Medical Center - Branch 1 - Auh,AUH,Clinic,Baniyas,"Al Eshoush, Worker City-2,Baniyas",25837772,,
NEW HEALTHLINE MEDICAL CENTER (Ex:New Sadd Maareb Medical Centre-AUH),AUH,Clinic,SHAHAMA,"Old Shahama,Near To Adnoc Petrol Station,Abudhabi,Uae",25668600,,
New Hyderabad Clinic,AUH,Clinic,New Mussafah,Building No C143 Floor M M02 and M04 shabiya ME12 MBZ Abu Dhabi UAE,25522252,,
NEW NATIONAL MEDICAL CENTRE,AUH,CLINIC,MUSAFFAH,"MUSAFFAH ROAD, F-1 SHABIYA ROAD",02-5520100,,
New National Medical Centre Llc-Branch 1 - Auh,AUH,Clinic,Mussafah,Mussafah Sanaya Sector M36,25852420,,
Noor Al Shifa Medical Center,AUH,Clinic,New Shahama,"New Shahama Duabi -Mafreq Road, Auh -Uae",25633380,,
Noor Alahli Medical Center - Branch 3,AUH,Clinic,Hamdan Street,"Bldg. No. C72, Behind Liwa Center, Electra, P.O. Box - 2419",26811533,,
Noor Alahli Medical Center- Branch 5,AUH,Clinic,Baniyas,"Near Zenith Supermarket / Daar -Al Uloom Private School, Baniyas, P.O. Box - 2419",25821206,,
North Island Clinic,AUH,Clinic,Offshore,Off Shore Abudhabi,26059406,,
Oasis Medical Centre- Branch 1,AUH,Clinic,Al Falah Street,"Mezzanine Floor, Oasis Bldg., Al Falah Street (Old Passport Road), Near Citibank, P.O. Box - 2419",26763282,,
Oxford Medical Center - Auh,AUH,Clinic,Muroor,"Building Number - 8, Behind Lulu Express, B/W 23Rd And 25Th St, Muroor Road, Po Box - 53275",24489666,,
Pride Medical Center,AUH,Clinic,Sanaiya,"Near Km Hypermarket And Beside Auto Spa Cars,  Abu Obaida Bin Al Jarrah St., Al Falah St.",23799892,,
Prime Cure Medical Center (Ex. Prime Medical Center - Auh),AUH,Clinic,Airport Road,"Mezar Salem Besude Wear Mart, Carrefour and Kalyan Silk Airport Road Al Falah Street Abu Dhabi",26342424,,
QUSAHWIRA MEDICAL CENTER,AUH,CLINIC,AL DHAFRA,"AL DHAFRA REGION, P.O. BOX : 898, ABU DHABI",02 6023882,,
Rayhan Primary Healthcare Centre,AUH,Clinic,Al Ain,"Building 8, Al Yaseeral Murubba, Central District, P.O Box:86517, Al Ain UAE",37510043,,
Saba Medical Center Llc,AUH,Clinic,Musaffah Industrial M37,"13 Al Jazzeem 2 Street, Musaffah Industrial M37, P.O Box: 92396",25523300,,
Sadd Maareb Medical Centre - Auh,AUH,Clinic,Baniyas,"Adnoc Petrol, East 8, Baniyas, Abu Dhabi",25832629,,
Sahara Medical Center Llc,AUH,Clinic,Mussafah,"Sahara Medical Center, M44 Musaffah Abu Dhabi",25556393,,
Sahel Clinic  - Auh,AUH,Clinic,Al Ruwais,"Al Dhafra ,Western Region,Onshore Abudhabi",26049928,,
Sas Al Nakhl Clinic,AUH,Clinic,Umm Al Nar,Adr Refinary  Abudhabi,26022011,,
Shah Al Hosn Plq Clinic,AUH,Clinic,Al Dhafra,"Western Region,Al Dhafra, Abu Dhabi",26023882,,
Shah Clinic - Auh,AUH,Clinic,Al Ruwais,"Al Dhafra ,Western Region,Onshore Abudhabi",26020541,,
Sheikh Khalifa Energy Clinic-Adnoc,AUH,Clinic,Corniche,Skec 1 Tower 1 Abudhabi,26020012,,
Sir Baniyas Clinic,AUH,SEHA CLINIC,WESTERN REGION,"BANI YAS, ABU DHABI, UNITED ARAB EMIRATES",02-8070000,,
South Island Clinic,AUH,Clinic,Offshore,Off Shore Abudhabi,26059012,,
Stanford Medical Center-Sole Proprietorship LLC ( Ex. Ghanem Medical Clinic),AUH,Clinic,Al Bateen,"Villa 438, Al Khaleej Al Arabi 10, Bur Al Yirab St., Al Bateen Area, Abu Dhabi, UAE PO Box 127711",27775777,,
Star Al Ahalia Medical Center Llc,AUH,Clinic,Gayathi City,"C76, Near Gayathi Market,Gayathi, P.O. Box - 2419",28744677,,
Sun Medical Clinic,AUH,Clinic,Sanaiya 5,"Flat No 101, First Floor, Mahmoud Al Baloushi Building, Near Mouzam Trading, Street No 4, Sanaiya, Al Ain, U.A.E",37215434,,
Sun Medical Clinic Branch,AUH,Clinic,Sanaiya 8th,"Flat No 108, First Floor, Mabrook Trading Building, Near Mubarak Hyper Market, Street No 7, Sanaiya, Al Ain, U.A.E",37803177,,
Taha Medical Centre- Auh (Ex-Taha Dental & Medical Centre),AUH,Clinic,Old Passport,"Mezzanine Floor, Opposite Fatima supermarket",26343438,,
UMM AL DAKH CLINIC,AUH,CLINIC,UMM AL DAKH,"UMM AL DAKH OILFIELD, ABU DHABI",02 6023882,,
Umm Lulu Clinic,AUH,Clinic,Umm Al Lulu Island,"Umm Al Lulu Island, Abu Dhabi UAE",26023882,,
Umm Shaif Field Clinic,AUH,Clinic,Umm Shaif,"Umm Shaif Field, Abu Dhabi",26023882,,
Unique Alahalia Ophthalmology One Day Surgery Medical Center,AUH,Clinic,Airport Road,"Sector 1-19, Plot No. 6, Delma Street, Old Air Port Road, P.O. Box - 2419",24439777,,
Uniteam Primary Health Care Center Llc,AUH,Clinic,Shakhbout City,"PLOT P2, 19-13 Al Ttaba' Street, Shakhbout City, Abu Dhabi, UAE",800200700,,
Uniteam Primary Health Care Center Llc Branch - Abu Samra,AUH,Clinic,Abu Samra,"PLOT 6, 6th Street, Al Khaznah, Abu Samrah, Abu Dhabi, UAE",800200700,,
Uniteam Primary Health Care Center Llc Branch - Al Dahra,AUH,Clinic,Al Dahra,"PLOT 5, 22nd Street, Al Dahrah, Al Ain, Abu Dhabi, UAE",800200700,,
Uniteam Primary Health Care Center Llc Branch - Al Salamat,AUH,Clinic,Al Salamat,"PLOT 2, Al Farhan Street, Al Salamat 1, Al Salamat, Al Ain, Abu Dhabi, UAE",800200700,,
Uniteam Primary Health Care Center Llc Branch - Al Wathba,AUH,Clinic,Al Wathba,"PLOT P37, Zahr Al Oyoun Street, Al Wathba South, Abu Dhabi, UAE",800200700,,
Uniteam Primary Health Care Center Llc Branch - Um Ghaffa,AUH,Clinic,Um Ghaffa,"PLOT 225, Ahl Al Hazm Street, Um Ghaffah, Al Ain, Abu Dhabi, UAE",800200700,,
UPPER ZAKUM CLINIC,AUH,CLINIC,WESTERN REGION,"UPPER ZAKUM OILFIELD, ABU DHABI",02 6023882,,
WEST ISLAND CLINIC,AUH,CLINIC,WESTERN REGION,"WEST ISLAND OILFIELD, ABU DHABI",02 6023882,,
Yas Health Care Llc Branch 1,AUH,Clinic,Al Saada,Al Mustarhim St - Sultan Bin Zayed The First St - Abu Dhabi,23336999,,
Yas Healthcare Llc,AUH,Clinic,Muroor,"Dusit Thani Commercial Complex - P.O. Box 44852 - Muroor Road, Opposite Al Jazeera Club - Abu Dhabi, U A E",23336999,,
Zakum West Super Complex Clinic,AUH,Clinic,Zakum West Island,"Zakum West Island, Abu Dhabi",26023882,,
ZIRKU MEDICAL CENTER,AUH,CLINIC,WESTERN REGION,"ZIRKU ISLAND, ABU DHABI",02 6023882,,
Accuracy Plus Medical Laboratory,AUH,Dx & Lab,Hamdan,"Aster Pharmacy Building, M02, Hamdan Street, Abu Dhabi",26333923,,
Advanced Medical Centre - (Ex.Advanced Medical Laboratory),AUH,Dx & Lab,Al Ain Main St.,"Flat  Mz3, Mezzanine Floor, O General Building, Above Kabab Kofta Restaurant Near Clock Tower Al Ain U.A.E",37641441,,
Al Taj Medical Laboratory,AUH,DX & Lab,Town Center,"Flat  Mz1, Mezzanine Floor, Al Fardan Exchange Building, Above Al Fardan Exchange, Main Street, Al Ain U.A.E",23766682,,
Dar Al Mouasah Diagnostic Centre - Auh,AUH,Dx & Lab,hamdan street,"Mezzanine Floor,Plaza Tower,Hamdan Bin Mohammed Street,Opp. Al Maha Rota",26260066,,
IDEAL CLINICAL LABORATORIES,AUH,DIAGNOSTICS,MUSAFFAH,"C44,SHABIYAH SECTOR-10, MUSAFFAH",02-5558448,,
Life Medical Centre (Ex: Life Diagnostic Centre),AUH,Dx & Lab,Lulu,"Marina Plaza Building, Office Floor 1, Flat Na:101-102, Abu Dhabi",26332300,,
Life Medical Diagnostics Llc - Al Ain Branch,AUH,Dx & Lab,Al Ain,"Emirates Commercial Complex, Sheikh Khalifa Bin Zayed Street, P.O Box: 7917, Abu Dhabi, UAE",600551636,,
Proficiency Healthcare Diagnostic Laboratories Llc,AUH,Dx & Lab,Electra,"201 Tower C Bldg., Behind City Seasons Hotel Al Hamra, Electra St., Abu Dhabi, Uae",24919300,,
Proficiency Healthcare Diagnostic Laboratories Llc Branch 1,AUH,Dx & Lab,Zayed Bin Sultan,"2Nd Floor M2, Etihad Building,Beside Adnoc Station Near Clock Tower Junction, Zayed Bin Sultan Street(Main Street), Al Ain, United Arab Emirates",37660992,,
Al Salama One Day Surgery Center - Auh,AUH,Hospital,Baniyas,"Al Salama One Day Surgery Center Bldg, Opposite Al Roashid Mosque, Sector-7, Baniyas East, Abu Dhabi",25047900,,
BAREEN INTERNATIONAL HOSPITAL,AUH,HOSPITAL,ABU DHABI,Z15 MOHAMMED BIN ZAYED CITY,02-5504664,,
Millennium Hospital Llc,AUH,Hospital,Mussafah,"C 175, ME 9, Shabiyah 9, Mussafah, Abu Dhabi",26113333,,
National Hospital - AUH,AUH,Hospital,Electra Street,"P.O.Box: 30666, Najda, Eldorado Cinema, Electra Street, Najda Area",26711000,,
New Medical Centre Specialty Hospital Llc (Ex: Nmc Specialty Hospital L.L.C Al Ain),AUH,Hospital,Al Mutaredh,"Opp. Police Head Quarter, Near Zayed School",37555999,,
Specialized Medical Care Hospital,AUH,Hospital,Al Jahli,"Al Jahili Area, Near Transport Authority, Al Ain Abu Dhabi",37552291,,
AL ABEER MEDICAL CENTER DAY SURGERY UNIT L.L.C.,AUH,CLINIC,NAJDA,"BLDG. NO. 5022, ISMAEIL ABBAS KHOORI BUILDING, FATIMA BINT MUBARAK ST",02-6330440,,
ABU DHABI PHARMACY,AUH,PHARMACY,ABU DHABI CENTRAL AREA,"NAJDA STREET, BLDG 98",02-8865628,,
Adnoc Onshore Medical Centre Pharmacy,AUH,Pharmacy,Corniche,"Adnoc  Onshore,Khalidiya Abudhabi",26018587,,
ADNOC TECHNICAL INSTITUTE PHARMACY,AUH,PHARMACY,"AL SHAWAMEKH,","AL SHAWAMEKH, NEAR SCHLUMBERGER - ABU DHABI",02 6023882,,
AL ABEER PHARMACY LLC,AUH,PHARMACY,NAJDA,"BLDG. NO. 5022, ISMAEIL ABBAS KHOORI BUILDING, FATIMA BINT MUBARAK ST",02-6330440,,
AL AFDAL PHARMACY,AUH,PHARMACY,ABU DHABI,"AL AFDAL PHARMACY
OPPOSITE ROYAL ROSE HOTEL, ELECTRA STREET, ABUDHABI",02-6334277,,
AL DABBAYIA PHARMACY,AUH,PHARMACY,DHABIYYA,"RAMS DHABIYYA CLINIC,ABU DHABI",02 6023882,,
Al Furqan Pharmacy-Auh,AUH,Pharmacy,AL MAFRAQ WORKERS CITY 2,"Al Fuqan Pharmacy, Mafraq Workers City 2, China Camp, P.O Box 130387, Abu Dhabi.",26440077,,
Al Mafraq Pharmacy,AUH,Pharmacy,Baniyas,"Baladia Souq, Near Hamza Secondary School",25833550,,
Al Magd Center Pharmacy Llc,AUH,Pharmacy,Saniya,"Building Number 5, Behind Al Masood motors, Saniya",37216406,,
ALMAQAM PHARMACY,AUH,PHARMACY,ALMURABAA,137 ZAYED BIN SULTAN STREET HAI ALMURABAA AL AIN CITY PO BOX 123,03-7681188,,
Al Marina Pharmacy - Auh,AUH,Pharmacy,Electra Street,"Near Safa Express Supermarket,Electrea Street",26339722,,
Al Marina Pharmacy Llc Branch 1,AUH,Pharmacy,Musaffah,"Near Desh Bangla Supermarket,M37,Musaffah",25503115,,
Al Raneen Pharmacy Llc,AUH,Pharmacy,Al Murabba,"Building 241, Zayed Bin Sultan, Al Murabba, P.O ox: 14529, Al Ain, UAE",37655602,,
Al Rawdha Pharmacy Llc,AUH,Pharmacy,Al Danah,Behind Adnoc-NDC Building - Al Danah - Zone 1 - Abu Dhabi,25505565,,
Al Salama One Day Surgery Centre Pharmacy - Auh,AUH,Pharmacy,Baniyas,Baniyas - Abu Dhabi,22050366,,
Al Zia Pharmacy - Mussafah_Auh,AUH,Pharmacy,,"P.O.Box: , , shabiya Khalifa, New Mussafah Sector 12,  P.O.Box:13111, Abu Dhabi",25529220,,
Alahliya Alain Pharmacy,AUH,Pharmacy,,"SHAIKH SAID BEN TAHNON  GOLD MARKET BUS STATION STREET MAIN ROAD  GOLD SOUQ AL AIN, AUH",37320095,,
ALAHLYA GRAND PHARMACY,AUH,PHARMACY,ABU DHABI,"MADINAT ZAYED, ABU DHABI",02-4498382,,
Alasaala Pharmacy,AUH,Pharmacy,,"Aldhafrah school Mussafah 9, Muhammed Bin Zayed City",225595400,,
Alpha Care Pharmacy Llc,AUH,Pharmacy,Musaffah,Al Firdous center Opposite -AL Fahim Sanayya-M3 Musaffah,25558383,,
Althakhasysiya Althiqa Pharmacy L.L.C. Ex: Talat Pharmacy,AUH,Pharmacy,Madinat Zayed,"Matam Building, Near to Life Line Hospital, Al Falah Street 9, Al Falah Street, Madinat Zayed",26316477,,
Althiqa Elite Pharmacy LLC ( Ex. Prime Cure Pharmacy - Sole Propreitorship  LLC),AUH,Pharmacy,Airport Road,"Mezar Salem Besude Wear Mart, Carrefour and Kalyan Silk Airport Road Al Falah Street Abu Dhabi",26342424,,
ASAB PHARMACY,AUH,PHARMACY,ASAB AREAD,"ASAB AREA, ABU DHABI",02 6023882,,
ASTER PHARMACIES GROUP  LLC- BRANCH OF ABUDHABI 2,AUH,PHARMACY,ELEKTRA,"PLOT C88, SECTION W9,ICT UNITED SQUARE, NEXT TO KHALIDIYA MALL, MUBARAK BIN MOHAMMAD STREET, KHALDIYA, ABU DHABI",02-6279989,,
Aster Pharmacies Group  Llc- Branch Of Abudhabi 1,AUH,Pharmacy,Al Falah,"Al Hamed Building, Al Falah Street, Blue Diamond,  Behind Jumbo Electronics",26437625,,
Aster Pharmacies Group  Llc- Branch Of Abudhabi 3,AUH,Pharmacy,Hamdan,"Building No. Ec –C-19, Hamdan Street, Near To Lulu International Exchange",26229870,,
ASTER PHARMACIES GROUP L.L.C - ABU DHABI BRANCH 15,AUH,PHARMACY,ABU DHABI,"37, AL RAWNAQ ST, AL NAHYAN, ABU DHABI",02-6431619,,
Aster Pharmacies Group L.L.C - Abu Dhabi Branch 20,AUH,PHARMACY,BANIYAS,"SHOP NO.1, THIBAN BUILDING, PLOT S17, AL TAATUF STREET, BANIYAS, ABU DHABI",02-6355490,,
Aster Pharmacies Group L.L.C - Branch Of Abu Dhabi 14,AUH,Pharmacy,Al Danah,"721,Al Meraikhi Trading Building, Hamdan Bin Mohammed St, Beside Choithrams Supermarket, Al Danah",26350204,,
Aster Pharmacies Group L.L.C - Branch Of Abu Dhabi 16,AUH,PHARMACY,AL AIN,"105, BUILDING-PRP74990,SALAHUDDEEN AL AYOUBI ST,CENTRAL DISTRICT, AL AIN, ABU DHABI",04-37342126,,
Aster Pharmacies Group L.L.C - Branch Of Abu Dhabi 17,AUH,PHARMACY,AL WAZN ST,"FF 123, DALMA MALL, AL WAZN ST, ABU DHABI INDUSTRIAL CITY, ICAD I, ABU DHABI",04-25620147,,
Aster Pharmacies Group L.L.C - Branch Of Abu Dhabi 18,AUH,PHARMACY,KHALIFA CITY,"SHOP NO.1, BUILDING C54, AL MIREEF STREET, SECTOR SE45,SOUTHEAST-KHALIFA CITY, KHALIFA CITY, ABU DHABI",02-5845609,,
Aster Pharmacies Group L.L.C - Branch Of Abu Dhabi 19,AUH,PHARMACY,AL SHAHAMAH,"SHOP NO-2, BUILDING-4968, PLOT C123,AL-TAGHROUDA STREET, NEW SHAHAMAH, AL SHAHAMAH, ABU DHABI",02-5837390,,
