PROVIDER NAME,EMIRATE,NETWORK_TIER,AREA,TELEPHONE,PROVIDER TYPE,lat,lon
AL AIN HOSPITAL (EXCLUDING DENTAL),ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",AL JIMI,03-7022414,HOSPITAL,24.233034,55.732929
AIN AL KHALEEJ HOSPITAL,ALAIN,"PLATINUM,G PLUS,GOLD",BEHIND ALJIMI MALL,03-7133333,HOSPITAL,24.246319,55.724198
MEDICLINIC HOSPITALS L.L.C. ( AL JOWHARA HOSPITAL ),ALAIN,"PLATINUM,G PLUS,GOLD,SILVER",CIVIC CENTER,03-7051506,HOSPITAL,24.232547,55.724312
BURJEEL FARHA HOSPITAL LLC,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,ASASI","BIDA BIN AMMAR ST, ASHAREJ",03-7099000,HOSPITAL,24.206548,55.662652
BURJEEL ROYAL HOSPITAL LLC,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER,ASASI","DOWN TOWN COM & RESCENTER, DOWN TOWN DISTRICT, QESAIDAH SECT OR",03-7991111,HOSPITAL,24.223943,55.758361
CZECH REHABILITATION HOSPITAL (EXCLUDING DR.MIODRAG MILENKOVIC - GD8771,ALAIN,"PLATINUM,G PLUS,GOLD,SILVER","AL JIMI, 31ST STREET, BESIDE UNIVERSAL HOSPITAL",03-7665544,HOSPITAL,24.245888,55.721647
DUBAI LONDON CLINIC & SPECIALTY HOSPITAL (EXCLUDING DENTAL),DXB,"PLATINUM,G PLUS,GOLD","JUMEIRAH,SHEIK SAEED VILLA",04-3782999,HOSPITAL,25.152993,55.201414
AMERICAN HOSPITAL-DUBAI (BR.OF MOHD&OBAID AL MULLA)(L.L.C.) (GOLD AND GOLD PLUS NETWORK ADDED EFFECTIVE FROM 01/12/2023),DXB,"PLATINUM,G PLUS,GOLD",OUD METHA ROAD,04-3776777,HOSPITAL,25.236253,55.313069
MEDICLINIC WELCARE HOSPITAL LLC,DXB,"PLATINUM,G PLUS,GOLD",AL GARHOUD,04-2827788,HOSPITAL,25.24687,55.340127
Aster Cedars Hospital Jebel Ali,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA,ASASI","JEBEL ALI,",04-8814000,HOSPITAL,25.01555,55.086853
EMIRATES HOSPITAL (EXCLUDING DENTAL),DXB,"PLATINUM,G PLUS,GOLD",JUMEIRA - 2,04-3496666,HOSPITAL,25.196926,55.237866
BELHOUL SPECIALITY HOSPITAL (LLC),DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,HALA","AL-KHALEEJ STREE, NEAR JESCO MARKET",04-2733333,HOSPITAL,25.280577,55.313221
N.M.C SPECIALTY HOSPITAL LTD - DUBAI BRANCH,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA",AL NAHDA STREET,04-2679999,HOSPITAL,25.28996,55.369213
ZULEKHA HOSPITAL (L L C),DXB,"PLATINUM,G PLUS,GOLD,SILVER",AL HAMAD BIN SOUQAD,04-2678866,HOSPITAL,25.291257,55.38401
IRANIAN HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,HALA",JUMEIRAH 1,04-3440250,HOSPITAL,25.230352,55.269059
MEDICLINIC CITY HOSPITAL FZ LLC,DXB,"PLATINUM,G PLUS,GOLD",DUBAI HEALTHCARE CITY,8001999,HOSPITAL,25.230129,55.322625
MEDCARE HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER",SAFA PARK,04-4079100,HOSPITAL,25.183311,55.242623
CANADIAN SPECIALIST HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",DEIRA,04-7072709,HOSPITAL,25.277332,55.348598
BELHOUL EUROPEAN HOSPITAL (LLC),DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,HALA",AL DIYAFA ROAD,04-3454000,HOSPITAL,25.236452,55.276153
INTERNATIONAL MODERN HOSPITAL (LLC),DXB,"PLATINUM,G PLUS,GOLD","SH.RASHID ST, AL RAFA,BUR DUBAI",04-4063273,HOSPITAL,25.248772,55.28353
AL GARHOUD PRIVATE HOSPITAL LLC,DXB,"PLATINUM,G PLUS,GOLD",GARHOUD AREA,04-4545000,HOSPITAL,25.251547,55.342509
SAUDI GERMAN HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD",SHK ZAYED AL BARSHA,04-3890000,HOSPITAL,25.0973,55.18345
MEDCARE ORTHOPAEDIC & SPINE HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER","2ND INTERCHANGE, SHEIKH ZAYED ROAD",04-3768400,HOSPITAL,25.179243,55.247174
BURJEEL HOSPITAL FOR ADVANCED SURGERY (EXCLUDING DENTAL,DXB,"PLATINUM,G PLUS,GOLD,ASASI","SHEIKH ZAYED ST,NEXT TO NESTLE BLDG",04-2700424,HOSPITAL,25.146639,55.223488
AL ZAHRA (PVT) HOSPITAL DUBAI (LLC),DXB,"PLATINUM,G PLUS,GOLD,SILVER","SH.ZAYED ROAD,AL BARSHA",04-3786666,HOSPITAL,25.105937,55.180705
PRIME HOSPITAL LLC ((INCLUDING SILVER NETWORK EFFECTIVE FROM 15/06/2017)),DXB,"PLATINUM,G PLUS,GOLD,SILVER","CASABLANCA ST,AIRPORT ROAD,GARHOUD",04-2929777,HOSPITAL,25.249825,55.345568
N M C ROYAL HOSPITAL LTD,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","PLOT 5981220, DUBAI INVESTMENT PARK",04-8108866,HOSPITAL,25.002982,55.153913
ASTER HOSPITAL (BR OF ASTER DM HEALTHCAR,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,HALA","KUWAIT STREET,MANKHOOL,SHARAF DG",04-3814800,HOSPITAL,25.252551,55.288874
MEDEOR 24X7 HOSPITAL LLC,DXB,"PLATINUM,G PLUS,GOLD,SILVER,ASASI","EMBASSY DISTRICT, UMM HURAIR ST",04-3500632,HOSPITAL,25.25734,55.306619
THUMBAY HOSPITAL LLC(DUBAI),DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","13 ST,AL QUSAIS 1,LULU SUPERMARKET",04-6030555,HOSPITAL,25.281456,55.365057
AL KUWAIT HOSPITAL DUBAI,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL KHALEEJ AL ARABI,DEIRA",04-6656113,HOSPITAL,25.282407,55.318268
DUBAI HEALTH AUTHORITY - RASHID HOSPITAL (OP SERVICES ADDED EFFECTIVE 15/04/2018),DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","OUD METHA,NEAR PAKISTAN EDU ACADEMY",04-2191000,HOSPITAL,25.244209,55.318134
MEDSTAR HEALTH CARE L.L.C.,DXB,"PLATINUM,G PLUS,GOLD,SILVER","OUD METHA,GULF TOWER, BESIDE DHCC",04-3879999,HOSPITAL,25.233371,55.342682
DUBAI HEALTH AUTHORITY - DUBAI HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","AL KHALEEJA ST, AL BARAHA",04-2195000,HOSPITAL,25.284613,55.321279
DUBAI HEALTH AUTHORITY LATIFA HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","OUD METHA, AL JADAF",04-3374000,HOSPITAL,25.222683,55.318327
DUBAI HEALTH AUTHORITY - HATTA HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",NEAR HATTA HILL PARK,04-8147000,HOSPITAL,24.800338,56.127684
MEDCARE WOMEN AND CHILDREN HOSPITAL (BR OF MEDCARE HOSPITAL (L.L.C.)),DXB,"PLATINUM,G PLUS,GOLD,SILVER","SH.ZAYED ST, NOOR ISLAMIC STATION,",800 633 2273,HOSPITAL,25.161139,55.230566
AL AMAL HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL WASL ROAD,04-6656113,HOSPITAL,25.15442,55.513948
DR SULAIMAN AL HABIB HOSPITAL FZ LLC,DXB,"PLATINUM,G PLUS,GOLD","BUILDING 57,DUBAI HEALTHCARE CITY",04-4297777,HOSPITAL,25.232433,55.320952
EMIRATES SPECIALITY HOSPITAL FZ-LLC,DXB,"PLATINUM,G PLUS,GOLD","DUBAI HEALTHCARE CITY, BUILDING NO-62, OUD METHA,",04-2484500,HOSPITAL,25.232781,55.31862
AL JALILA CHILDREN'S SPECIALITY HOSPITAL FZ-LLC,DXB,"PLATINUM,G PLUS,GOLD","AL WASL ,PLOT 3260585",04-2811000,HOSPITAL,25.2256,55.319
ASTER HOSPITAL BR OF ASTER DM HEALTHCARE,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","9 A STREET, AL QUSAIS INDUSTRIAL AREA 2, AL QUSAIS",04-4546001,HOSPITAL,25.277436,55.39533
MEDICLINIC PARKVIEW HOSPITAL LLC,DXB,"PLATINUM,G PLUS,GOLD",AL BARSHA SOUTH THIRD,04-4168851,HOSPITAL,25.067077,55.249011
DUBAI LONDON CLINIC AND SPECIALITY HOSPITAL (BRANCH),DXB,"PLATINUM,G PLUS,GOLD","THE VILLA CENTRO MALL, NEXT TO SPINNEYS, WADI AL SAFA 5, ON DUBAI-ALAIN ROAD,",04-3782820,HOSPITAL,25.07929,55.289394
ADAM VITAL HOSPITAL L.L.C (EXCLUDING DR. MICHAEL WEBER),DXB,"PLATINUM,G PLUS,GOLD","AL WALEED BUILDING, 10TH STREET, AL GRAHOUD,",04-2068999,HOSPITAL,25.251149,55.343166
NOVOMED SPECIALIZED SURGICAL HOSPITAL L.L.C,DXB,"PLATINUM,G PLUS,GOLD","UM SUQAIM THIRD , GHEDAYERA OBAID MUBARAK BELJAFLA",8006686,HOSPITAL,25.135315,55.196554
KINGS COLLEGE HOSPITAL LONDON BR OF KCH HEALTHCARE LLC (EXCLUDING DENTAL,DXB,"PLATINUM,G PLUS,GOLD","AL MARABEA STEET, AL KHAIL ROAD",04-5199999,HOSPITAL,25.112571,55.254852
GARGASH HOSPITAL LLC,DXB,"PLATINUM,G PLUS,GOLD,SILVER","UMM AL SHEIF, UMM SUQEIM ROAD, DUBAI.",04-7030000,HOSPITAL,25.12772,55.194275
CLEMENCEAU MEDICAL CENTER FZ-LLC,DXB,"PLATINUM,G PLUS,GOLD","PLOT 22, DUBAI HEALTHCARE CITY PHASE 2, AL JADAF",04-2481111,HOSPITAL,25.21269,55.318102
FAKEEH UNIVERSITY HOSPITAL,DXB,PLATINUM,FAKEEH UNIVERSITY HOSPITAL BUILDING,04-4144444,HOSPITAL,25.12119,55.38701
MIRDIFF PRIVATE HOSPITAL,DXB,"PLATINUM,G PLUS,GOLD",MIRDIFF AREA,04-4545000,HOSPITAL,25.236258,55.426399
DUBAI LONDON HOSPITAL LLC,DXB,"PLATINUM,G PLUS,GOLD","JUMEIRAH BEACH ROAD, UMM SUQEIM 2",04-3782999,HOSPITAL,25.222879,55.352656
NEURO SPINAL HOSPITAL FZ-LLC (TEMPORARILY SUSPENDED FROM 27/06/2024),DXB,"PLATINUM,G PLUS,GOLD,SILVER","DUBAI SCIENCE PARK, AL BARSHA SOUTH",04-3153723,HOSPITAL,25.184236,55.227429
ASTER HOSPITAL SONAPUR,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","SONAPUR, ALGERIA STREET, MUHAISNAH",04-4400500,HOSPITAL,25.264627,55.433619
COSMESURGE PLASTIC SURGERY HOSPITAL AND CLINICS L.L.C,DXB,"PLATINUM,G PLUS,GOLD",JUMEIRA-2,04-5200444,HOSPITAL,25.2272,55.2832
NMC SPECIALTY HOSPITAL DIP BR OF NMC ROYAL HOSPITAL LTD,DXB,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA","COMMUNITY ,NEAR EMICOOL HEAD",04-8019129,HOSPITAL,25.009615,55.158817
MEDCARE ROYAL SPECIALITY HOSPITAL BR OF MEDCARE HOSPITAL L.L.C,DXB,"PLATINUM,G PLUS,GOLD","AL QUSAIS SECOND,NAMAAH PREMISES,AL TWAR",56-9217258,HOSPITAL,25.164875,55.212083
BARRAQUER EYE HOSPITAL FZ-LLC,DXB,"PLATINUM,G PLUS,GOLD","DUBAI HEALTHCARE CITY - PHASE II, AL JADAF",04-5739999,HOSPITAL,25.209904,55.31993
NMC ROYAL HOSPITAL LTD - SHJ.BR,SHJ,"PLATINUM,G PLUS,GOLD",AL GHUWAIR,06-5619999,HOSPITAL,25.360392,55.394179
ZULEKHA HOSPITAL LLC - SHARJAH,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,HALA",NEAR FIRE R/A,06-5658866,HOSPITAL,25.3688,55.404688
SHARJAH CORNICHE HOSPITAL L.L.C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI",BUHAIRA CORNICHE STREET,06-5751222,HOSPITAL,25.340812,55.385979
CENTRAL ( PVT ) HOSPITAL LLC.,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,HALA",SHEIKH ZAYED STREET,06-5639900,HOSPITAL,25.361032,55.398151
UNIVERSITY HOSPITAL SHARJAH,SHJ,"PLATINUM,G PLUS,GOLD",UNIVERSITY AIRPORT ROAD,06-5058555,HOSPITAL,25.299022,55.490234
ALQASSIMI HOSPITAL UAE (,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","WASIT STREET,AL KHEZAMIA",04-6656113,HOSPITAL,25.341589,55.430934
AL KUWAIT HOSPITAL (,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",SH RASHID BIN HAMEED STREET,04-6656113,HOSPITAL,25.370302,55.414797
MEDCARE HOSPITAL LLC - SHRAJAH - BR,SHJ,"PLATINUM,G PLUS,GOLD,SILVER",KING FAISAL STREET,52-5094006,HOSPITAL,25.34211,55.388407
KHORFAKKAN HOSPITAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",KHORFAKKAN,04-6656113,HOSPITAL,25.336698,56.341123
KALBA HOSPITAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","KHORFAKKAN ST,KALBA",04-6656113,HOSPITAL,25.036021,56.344144
AL DHAID HOSPITAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","DHAID RD,NEAR DHAID PUBLIC LIBRARY",04-6656113,HOSPITAL,25.280046,55.891974
SAUDI GERMAN HOSPITAL SHJ.BR.,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","36.60 STREET, SHEIKH MOHAMMAD BIN SAGER AL QASIMI",06-5569900,HOSPITAL,25.3774,55.400799
ALQASSIMI WOMENS & CHILDRENS HOSPITAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","SULTAN AL QASSIMI STREET,",04-6656113,HOSPITAL,25.340643,55.433152
BURJEEL SPECIALITY HOSPITAL L.L.C,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,ASASI","AL FAYHA, OPP LULU HYPER MARKE",06-5075073,HOSPITAL,25.3586,55.4063
ASTER HOSPITAL,SHJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","BEHIND MEGA MALL, AL BU DANIQ",04-4400500,HOSPITAL,25.343858,55.40352
THUMBAY HOSPITAL LLC,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",SHAIK ZAYED ROAD,06-7403494,HOSPITAL,25.381952,55.462393
AJMAN SPECIALTY HOSPITAL,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",MAKTOUM STREET,06-7052200,HOSPITAL,25.392827,55.481769
AMINA HOSPITAL LLC,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","DREAMSEA DISCOUNT CENT,SH.RASHID ST",06-7114444,HOSPITAL,25.403734,55.447832
SHEIKH KHALIFA HOSPITAL AJMAN,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","UNIVERSITY STREET, NEAR CITY CENTER AJMAN, AL JURF 1",06-7117777,HOSPITAL,25.415647,55.49711
SHEIKH KHALIFA HOSPITAL MASFOUT,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","NEAR MASJID OBAID AL SHAALI, SAYH MUDAYRAH",04-8099999,HOSPITAL,24.828797,56.113782
SHEIKH KHALIFA MATERNITY AND PAEDIATRIC HOSPITAL,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","UNIVERSITY STREET, NEAR CITY CENTER AJMAN, AL JURF 1",06-7118616,HOSPITAL,25.415659,55.497107
THUMBAY UNIVERSITY HOSPITAL COMPLEX - L.L.C,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE","UNIVERSITY STREET, AL JURF",06-7147555,HOSPITAL,25.310619,55.460203
SAUDI GERMAN HOSPITAL- AJMAN,AJM,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","SHEIKH AMMAR BIN HUMAID STREET (BESIDES CUCA CITY UNIVERSITY COLLEGE OF AJMAN),",04-3890110,HOSPITAL,25.368083,55.50959
RAK HOSPITAL,RAK,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,HALA,ASASI",AL QUSAIDAT,07-2074444,HOSPITAL,25.768446,55.976521
SHEIKH KHALIFA SPECIALTY HOSPITAL (EXCLUDING DENTAL,RAK,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL SHOHADAA ROAD ,",07-2444444,HOSPITAL,25.623187,55.83966
SAQAR HOSPITAL (,RAK,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","AL JUWAIS AREA,",04-6656113,HOSPITAL,25.770249,55.976742
IBRAHIM BIN HAMAD OBAID ALLAH HOSPITAL,RAK,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL NAKHEEL,04-6656113,HOSPITAL,25.796603,55.982797
OBAIDALLAH GERIATRIC HOSPITAL,RAK,"PLATINUM,G PLUS,GOLD",AL ORAIBI,07-2223555,HOSPITAL,25.796612,55.982794
SHAM HOSPITAL,RAK,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE","OPP CHOITHRAM SUPERMARKET,AL NAKHEE",04-6656113,HOSPITAL,26.020805,56.08775
ABDULLAH BIN OMRAN HOSPITAL FOR OBSTETRICS & GYNECOLOGY,RAK,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",AL DIGDAGA,04-6656113,HOSPITAL,25.646987,55.95758
THUMBAY HOSPITAL L.L.C FUJAIRAH BRANCH,FUJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE",NEAR AL FASEEL,09-2244233,HOSPITAL,25.131813,56.341334
ALSHARQ HOSPITAL,FUJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE,BLUE,ASASI","AL FASEEL ROAD, BESIDE PREVENTIVE",09-2059748,HOSPITAL,25.151325,56.351182
DIBBA HOSPITAL,FUJ,"PLATINUM,G PLUS,GOLD,SILVER,BRONZE",DIBA AL FUJAIRAH,09-2446666,HOSPITAL,25.58838,56.266501
