PROVIDER NAME,EMIRATE,PROVIDER TYPE,AREA,ADDRESS,TELEPHONE,lat,lon
AL FUAD MEDICAL CENTRE L.L.C.,AUH,CLINIC,,H.E. SHAIKH ABDULLA BIN BUTTI FATIMA BIND STREET ABUDHABI CITY,02-5599444,24.4899,54.3695
AL FURQAN PHARMACY,AUH,PHARMACY,,MAFRAQ CENTRE NEAR EMIRATES GENERAL MARKET AL MAFRAQ WORKERS CITY 2,02-6316831,24.3174,54.6173
AL HANEEN PHARMACY -YAS GRP,AUH,PHARMACY,,CWRC- AL RAYAN AL MAFRAQ WORKERS CITY,02-5463531,24.2578,54.6287
AL JABER OPTICAL CENTRE LLC BRANCH-ABU D,AUH,OPTICS,,"UNIT NO. B84, , LEVEL 1, ABUDHABI MALL",02-645-6111,24.5103,54.3794
AL KHAJA MEDICAL CENTER,AUH,CLINIC,,AL SEERI BLDG. RM 1 AL DURRI ST. AL DANAH,02-6720048,24.5427,54.61
AL KHAZNA HEALTH MEDICAL CENTER,AUH,CLINIC,AL AIN,AL KHAZNA 1 BUILDING # 03,02-5584609,24.1706,55.1098
AL KHAZNA HEALTH PHARMACY,AUH,PHARMACY,AL AIN,AL KHAZNA 1 BUILDING # 03,028-869238,24.1706,55.1098
AL MAARED PHARMACY,AUH,PHARMACY,,GRND FLOOR MUSAFFAHINDUSTRIAL MUSSAFAH,02-5558810,24.348,54.493
ALMA HEALTH CARE,AUH,CLINIC,,AL KHATEM TOWER 14TH FLOOR AL MARYAH ISLAND,02-5465599,24.4984,54.3891
AL MAMOON MEDICAL CENTRE,AUH,CLINIC,SHEIK KHALIFA ST.,VILLA 38 BESIDE MARRIAGE FUND SHEIKH KHALIFA STREET OUD BIN SAG-HAN,03-7666652,24.2219,55.7143
AL MAQAM PHARMACY,AUH,PHARMACY,,GF HAMAD SUHAIL CREAK OUTLET ZAYED BIN SULTAN STREET TOWN CENTRE,03-7681188,24.4539,54.3773
ALPHA CARE PHARMACY,AUH,PHARMACY,,AL FIRDOUS CENTER GROUND FLOORSANAYYA M3 17TH STREET SANIAYA MUSSAFAH,02-5558383,24.437,54.5003
ALPHA MEDICAL CENTER,AUH,CLINIC,,AL FIRDOUS CENTER GROUND FLOORSANAYYA M3 17TH STREET SANIAYA MUSSAFAH,02-5558383,24.3704,54.517
ALPHA PHARMACY (AUH),AUH,PHARMACY,SALAM STREET,TOURIST CLUB AREA OPPOSITE CITY TERMINAL AL SALAM ST.,02-6440044,24.4918,54.383
AL QABAIL MEDICAL CENTRE L.L.C,AUH,CLINIC,,AL JIMI WORKERS VILLAGE  GROUND FLOOR MUSAFFAH,02-5575531,24.3476,54.5117
ALQATIA ISLAND CLINIC (SARAB NORTH),AUH,CLINIC,,DAS ISLAND  DAS ISLAND,02-6024518,25.1473,52.8794
AL RAZI CITY MEDICAL CENTER LLC,AUH,CLINIC,,MEZZANINE 01 AWFAW BUILDING ELEKTRA ST. KHALIDIYA,02-6224431,24.5255,54.3474
AL REEM HOSPITAL (BLUE APPLE),AUH,HOSPITAL,,OPP SORBONE UNIVERSITY JAZEERATH REEM ISLAND,02-8152000,24.4926,54.4131
AL SILA PHARMACY,AUH,PHARMACY,,UAE EXCHANGE BLDG. AL SILA  WESTERN REGION,028722087,24.0709,51.7638
AL TADAWI PHARMACY-AUH,AUH,PHARMACY,,KHYBER CLINIC BUILDING LIWA STREETNEAR OF KMH SUPER MARK AL DHAFRA,02-8844222,25.257,53.7275
AMERICAN CENTER PHARMACY LLC BRANCH,AUH,PHARMACY,AL AIN,VILLA NO 92 AL SHALLAH ST,03-7051099,24.219,55.6869
AL AMEEN MEDICAL CENTER LLC,AUH,CLINIC,NAJDA STREET,"M FLOOR, BLDG NO 3 NAJDA STREET BTWN AL MAHA & WEARMART",02-6339724,24.3559,54.5013
AL AMEEN MEDICAL CENTER,AUH,CLINIC,ELECTRA STREET,"OFFICE # 103, 1ST FLOOR, NASSE ELECTRA STREET ELECTRA STREET",02-6339722,24.4937,54.3675
AMERICAN CENTER PHARMACY,AUH,PHARMACY,INTERSECTION OF 11TH AND 26TH STREET,AMERICAN CENTER PSY&NEURO BLDG MUBARAK BIN MOHAMED,02-4433114,24.4587,54.3717
AMERICAN CENTER FOR PSYCHIATRY & NEURO,AUH,CLINIC,INTERSECTION OF 11TH AND 26TH STREET,KHALIDIYA AREA NEXT TO KHALIDIYA MALL KHALIDIYA ST,02-6664866,24.4612,54.3624
NEW AMRITA PHARMACY,AUH,PHARMACY,ZAYED STREET,AL NASER STREET VILLA NO 4 CORNICHE GARDEN,02-6661555,24.4751,54.3495
AMWAJ MEDICAL CENTER,AUH,CLINIC,,BLDG 1729 2ND FLOOR RASHID BIN BUTTY BISH KHALIFA STREET,02-6273888,24.4916,54.3602
ANNAB LABORATORIES,AUH,LABORATORY,,OFFICE # 804 8TH FLOOR AL ETIHAD TOWER NEAR AL NOOR HOSPITAL,02-6274767,24.417,54.4626
APOLLO PHARMACY LLC,AUH,PHARMACY,HAMDAN STREET,PLOT C-128,02-6344747,24.4899,54.365
APOTEKE PHARMACY,AUH,PHARMACY,NEAR KHALIFA SQUARE,na,02-8846622,24.4257,54.5633
ARAFAT PHARMACY W LL - BRANCH,AUH,PHARMACY,ELECTRA STREET,GRND FLRHAMAD CNTR ELECTRA STREET  ELECTRA,02-5506906,24.3693,54.507
FIRST GLOBAL CLINIC,AUH,CLINIC,6TH STREET,VILLA#6 OPP BMW SHOWROOM,02-6650015,24.4655,54.3476
ASPEN DENTAL POLYCLINIC LLC,AUH,CLINIC,,101 AL ANSARI EXCHANGE BLDG KHALIFA STREET ABU DHABI,02-6730013,24.4539,54.3773
ASTER PHARMACY BR OF ABUDHABI 19,AUH,PHARMACY,ST NEW  SHAHAMA,SHOP NO 2 BUILDING 4968,02-5837390,24.5292,54.6553
ASTER PHARMACY BR OF ABUDHABI 18,AUH,PHARMACY,SOUTHEAST KHALIFACITY,SHOP NO 1 BUILDING C54,02-5845609,24.4445,54.6122
ASTER PHARMACY ABUDHABI BR 20,AUH,PHARMACY,AL TATUF ST BANIYAS,SHOP NO 1 THIBAN BUILDING,02-6355490,24.3064,54.6121
ASTER PHARMACY BR OF ABUDHABI 21,AUH,PHARMACY,AL RAHA,G-01 BUILDING P 2629,02-8846576,24.4432,54.5794
ASTER PHARMACIES GRP - BR OF AUH 1,AUH,PHARMACY,AL FALAH ST,GRND FLR AL HAMED BLDG. BEHIND JUMBO ELECTRONICS,02-6437625,24.4826,54.3718
ASTER PHARMACIES GRP - BR OF AUH 2,AUH,PHARMACY,DAR AL THALMIYA,SHOP2 GRND FLR UNT 259081 BEHIND AL MUHAIRY CENTRE,02-6280582,24.4785,54.3569
ASTER PHARMACIES GRP - BR OF AUH 3,AUH,PHARMACY,HAMDAN ST,GRND FLR BLDG NO. EC-C-19 NEAR TO LULU INT'L EXCHANGE,02-6229870,24.4788,54.371
ASTER PHARMACIES GROUP LLC - BR OF AUH 4,AUH,PHARMACY,,GRND FLR BODEBIS BLDG DEYYAR,02-4478482,24.4742,54.3781
ASTER PHARMACY BR AUH 5,AUH,PHARMACY,ZAYED STREET,BUILDING NO 7,02-4489240 04-2672946,24.4896,54.3671
ASTER PHARMACY BR AUH 6,AUH,PHARMACY,,NEAR TO JOY ALUKAS JEWELRY,02-5502429 04-2672946,24.3374,54.5366
ASTER PHARMACY BR AUH 8,AUH,PHARMACY,ELECTRA STREET,CANON BUILDING NEXT TO CBI BANK,02-6711831,24.4893,54.3672
ASTER PHARMACIES BR ABU DHABI 10,AUH,PHARMACY,,HEIRS OF DARWISH BIN AHMED BLD ZAYED 1ST ELECTRA STREET,02-8868770,24.4944,54.3583
ASTER PHARMACIES AUH BR 11,AUH,PHARMACY,,SHOP 2 BLDG 193 SECTOR E18 01 NEXT TO ADNOC PETROL STN AIRPORT ROAD,02-6274688,24.4775,54.3609
ASTER PHARMACIES  AUH BR 9,AUH,PHARMACY,,SGOP 2 BLDG. 139 AL WATHIQ ST. SULTAN BIN ZAYED MUROOR ROAD,02-8869464,24.4379,54.4451
ASTER PHARMACIES GROUP L.L.C- BRANCH OF,AUH,PHARMACY,,AL SHAHEEN COMPLEX NEAR CHOTHRAM SUPER MARKET KHALIDIYA,02-6395140,24.4844,54.3365
ASTER PHARMACY AUH 3 AL DANAH,AUH,PHARMACY,AL FALA STREET,SHOP 3 C57 DARWISH BLDG AL FALA ST AL DANA EAST,02-5858396,24.4953,54.3708
ASTER PHARMACY AUH 14,AUH,PHARMACY,HAMDAN BIN MOHAMED STREET,721 MERAIKI TRADING BLDG. HAMDAN BIN MOHAMMED ST AL DANAH,02-6350204,24.4959,54.3709
ASTER PHARMACY GROUP BR OF ABU DHABI 16,AUH,PHARMACY,AL AIN,105 G FLOOR SALAHUDDEEN AL AYOUBI ST,03-7342126,24.2233,55.7647
ASTER PHARMACY GROUP BR OF ABU DHABI 17,AUH,PHARMACY,ICAD,G FLOOR FF 123 DALMA MALL AL WAZN ST,02-5620147,24.3331,54.5214
BAB AL MADINA MEDICAL CENTRE,AUH,CLINIC,,"GROUND FLR,  MOOSA AL AJBAN BUILDING MUSSAFAH 26",02-6422464,24.3507,54.5206
BAB AL MADINA PHARMACY,AUH,PHARMACY,,"GROUND FLR,  MOOSA AL AJBAN BUILDING MUSSAFAH 26",02-6422464,24.3507,54.5206
IBN NAFEES MEDICAL CENTER PHARMACY,AUH,PHARMACY,NAJDA STREET,BIN SAQAR BUILDING NEAR OMAN BANK,02-6349500,24.4917,54.3682
MEDICINA PHARMACY,AUH,PHARMACY,KHALIFA STREET,OPP AL NOOR HOSPITAL,"02-6264041 / 
02-6589543",24.4908,54.5769
PLANET PHARMACY-BANDAR MALL-JULPHAR,AUH,PHARMACY,RAHA BEACH ROAD,BANDAR MALL,02-5577611,24.4578,54.5984
BANGASH PHARMACY,AUH,PHARMACY,,HAMAD MUBARAK HAMAD AL KHAILI NEAR FURTURE INTERNATIONAL SCH BANIYAS EAST,02-5834217,24.2826,54.6478
BANIYAS AHALIA MED CTR (AHALIA GROUP),AUH,CLINIC,ABU DHABI-AIN ROAD,OPP BANIYAS KABARATNEAR DAR AL ULOOM SCHOOL,02-5836634,24.2855,54.6405
BANIYAS HEALTH CTR-SEHA,AUH,CLINIC,BANIYAS,BANIYAS,02-5835599 / 5097111,24.2941,54.6579
BANIYAS HEALTH CENTER PH-SEHA,AUH,PHARMACY,BANIYAS,BANIYAS,02-5835599 / 5097111,24.2939,54.6577
BAREEN INTERNATIONAL HOSPITAL,AUH,HOSPITAL,MOHAMMAD BIN ZAYED ROAD,OPP FATIMA BENT MUBARAK MOSQUE,02-5545555 ext 715,24.3388,54.5543
BAREEN PHARMACY,AUH,PHARMACY,MOHAMMAD BIN ZAYED ROAD,OPP FATIMA BENT MUBARAK MOSQUE,02-5545555 ext 715,24.3392,54.554
BASMAT AL HAYAT MEDICAL CENTER,AUH,CLINIC,BUHAIRAH CORNICHE ST,FLAT NO 1102-1107 SARH AL EMARAT TOWER,06-5597444,25.3396,55.3751
BASCOM PALMER AUG MEDICAL EYE INSTITUTE,AUH,DAY CARE,MOHAMED BIN ZAYED CITY,ME 07 PLOT C1 1ST FLR,02-6767975,24.3525,54.5367
BASCOM PALMER PHARMACY - L.L.C,AUH,PHARMACY,MUSSAFAH,ME07 PLOT C1,02-6767975,24.3523,54.5366
AL BATEEN FAMILY MEDICINE CLINIC-SEHA,AUH,CLINIC,AL BATEEN,AL BATEEN,02-8191850,24.4605,54.3415
BATEEN FAMILY MEDICINE CLINIC PH-SEHA,AUH,PHARMACY,BATEEN DISTRICT,BATEEN DISTRICT,02-8191866,24.4613,54.342
AL BATEEN PHARMACY (LANDMARK),AUH,PHARMACY,ELECTRA STREET,PINK BUILDING NEAR ELDORADO CINEMA,02-6766610,24.4952,54.3724
BAYTI HOME HEALTHCARE LLC,AUH,CLINIC,,AMANA BUILDING OPPOSITE ABU DHABI MUNICIPALIT AL SALAM STREET,02-6280888,24.4992,54.37
BEHAVIOURAL SCIENCE PAVILON-SEHA,AUH,HOSPITAL,KARAMA STREET,KARAMA STREET,02-8190000,24.4725,54.3652
BENEFICIAL PHARMACY,AUH,PHARMACY,,FLAT NUMBER 25 GROUND OPRA REAL ESTATE BUILDING AFRICAN EASTERN M 37 KM TRADING  K.M TRADING STREET MUSAFFAH SANAIYA,02-5513334,24.3474,54.5008
BEST HEALTH CARE PHARMACY L.L.C.,AUH,PHARMACY,,AL-SARAB BUILDING NEAR UBL BANK MUSSAFFAH MUSSAFFAH,02-5755333,24.3752,54.4989
BETTER LIFE PHARMACY LLC-BR 1(AHALIA),AUH,PHARMACY,,AL SHEREIF TOWER NEAR UNION NATIONAL BANK CORNICHE ROAD,02-81119119,24.4889,54.3528
BIDA MUTAWA CLINIC O.P. PH-SEHA,AUH,PHARMACY,WESTERN REGION,WESTERN REGION,02-8777175,23.7888,52.5718
BIDA MUTAWA PRIMARY HEALTH CARE CTR-SEHA,AUH,CLINIC,WESTERN REGION,WESTERN REGION,02-8839140 / 80050,24.5309,54.5162
BIN SINA DANA PLAZA (ALPHAMED),AUH,PHARMACY,,DANA PLAZA,02-6669240,24.4739,54.3467
NEW BIN SINA PHARMACY (ALPHAMED),AUH,PHARMACY,,NEAR MEXICAN CITY,02-5562140,24.4812,54.5619
BIN SINA PHARMACY-MARINA MALL (ALPHAMED),AUH,PHARMACY,MARINA MALL,MARINA MALL,02-6815630,24.4761,54.3224
BINSINA PHARMACY AL FALAH,AUH,PHARMACY,AL FALAH ST,THE GALLERIA LEVEL 2 R2 PARKING,02-4919745,24.5016,54.3897
BIN SINA PHARMACY,AUH,PHARMACY,HAMOUDA BIN ALI AL DHAHERI ST,AREA 107,02-8870931,24.5015,54.3896
BIN SINA AL MUROOR PH (ALPHAMED),AUH,PHARMACY,MUROOR ROAD,UNIT NO. 4 NEAR ABU DHABI COOP,02-4498140,24.4343,54.4394
BLUE OCEAN MEDICAL CENTER,AUH,CLINIC,,HAMED GHANIM BIN HAMOODAH BUIL OPP KARAM ALARAB REST MUSSAFFAH,02-4481981,24.3358,54.5367
BLUE OCEAN PHARMACY,AUH,PHARMACY,,GROUND FLOOR C 344  MOHAMMED BIN ZAYED STREET ME10 MUSSAFFAH,02-5532323,24.3356,54.5367
AL BORG DIAGONOSTIC CENTRE FOR LAB,AUH,LABORATORY,NAJDA STREET,F-1 BEN ARAR BUILDING,02-6761221,24.4846,54.3752
NMC ROYAL WOMENS HOSPITAL LLC,AUH,HOSPITAL,PLOT 36,COMMERCIAL TOWER B JAZIRA SPORTS & CULTURE CLUB,800 7676/02-5082000,24.457,54.3921
BRIGHT POINT PHARMACY LLC - NMC,AUH,PHARMACY,PLOT NO 36,COMMERCIAL TOWER B JAZIRA SPORTS & CULTURE CLUB,02-5558825,24.4527,54.3934
BRIGHT & SHINE PHARMACY LLC,AUH,PHARMACY,,PLOT NO: S3  GROUND FR BANIYAS EAST MAFREQ  BANIYAS EAST,02-6426212,24.3103,54.6067
BRITISH NEUROLOGY PSYCHIATRY CENTER LLC,AUH,CLINIC,,VILLA 2 OPP-MERCBENZ SR AIRPORT ROAD,02-4442285,24.4265,54.449
BSP PHARMACY-OUTPATIENT-SEHA,AUH,PHARMACY,AIRPORT ROAD,BEHIND SKMC,02-8194189,24.4723,54.3648
BURJEEL HOSPITAL (VPS),AUH,HOSPITAL,AL NAJDA STREET,NEAR SHABIA POLICE STATION,02-2222332,24.4797,54.3811
BURJEEL MEDICAL CENTRE (VPS),AUH,DAY CARE,ABU DHABI-SHAHAMA RD,GROUND FLR DEERFIELDS MALL,02-5821555,24.5302,54.6716
BURJEEL MEDICAL CENTER AL SHAMKHA -VPS,AUH,DAY CARE,31ST STREET,1ST FLR MAKANI MALL,02-5085511,24.3885,54.7232
BURJEEL PHARMACY (VPS),AUH,PHARMACY,ABU DHABI-SHAHAMA RD,GROUND FLR DEERFIELDS MALL,02-5821555,24.5223,54.6706
BURJEEL PHARMACY L.L.C - BRANCH 1,AUH,PHARMACY,,SHABIA-9  NEAR LLH MC MUSAFFAH,02-2051433,24.3422,54.5375
BURJEEL PHARMACY L.L.C - BRANCH 3,AUH,PHARMACY,,EMPOST BUILDING NR SUPER MAR KHALIFA CITY,02- 2051433,24.515,54.5449
BURJEEL PHARMACY L.L.C - BRANCH 6,AUH,PHARMACY,,"AL WAHDA MALL- EXT. BUILDING, NEAR ABU DHABI BUS STATION",02- 2051433,24.4817,54.3744
BURJEEL PHARMACY AL MARINA LLC,AUH,PHARMACY,,MARINA MALL WEST ENTRANCE CORNICHE ROAD,02-3338340,24.4776,54.3195
BURJEEL AL REEM PHARMACY LLC,AUH,PHARMACY,,GATE AND ARE TOWER SHAMS BOUTIK REEM ISLAND,02-3079998,24.495,54.4081
BURJEEL PHARMACY AL SHAMKHA LLC (VPS),AUH,PHARMACY,31ST STREET,1ST FLR MAKANI MALL,02-2051303,24.3878,54.7233
BURJEEL DAY SURGERY CENTER L.L.C,AUH,CLINIC,,AL REEM ISLAND AL REEM ISLAND AL REEM ISLAND,02-3079999,24.4952,54.4088
BURJEEL MEDICAL CITY LLC,AUH,HOSPITAL,,28TH STREET MOHAMED BIN ZAYED CITY MUSAFFAH,02-7773333,24.3545,54.5396
BURJEEL OASIS MEDICAL CENTRE L.L.C,AUH,CLINIC,,BLOCK B AL DHAFRA CLUB BLDG MADINA ZAYED ST AL DHAFRA AREA MADINA ZAYED,02-8946666,23.6701,53.6978
BURJEEL PHARMACY AL DHAFRA MALL,AUH,PHARMACY,,AL SARA ST. UGF AL DHAFRA MALL AL DHAFRA WEST REGION,02-8848989,23.6978,53.8219
BU SIKEEN ISLAND CLINIC (SARAB SOUTH),AUH,CLINIC,,DAS ISLAND  DAS ISLAND,02-6024518,25.1473,52.8774
CANADIAN MEDICAL& REHABILATION CENTER,AUH,CLINIC,12TH STREET,A VILLA 9 12TH  STREET KHALIFA CITY,02-5558888,24.4511,54.5411
CLEVELAND CLINIC ABU DHABI LLC,AUH,HOSPITAL,AL FALAH ST,13FLR AL MAQAM TOWER,02-5019000 800 82223,24.4975,54.388
CENTRAL CLINIC LLC,AUH,CLINIC,,204 LEVEL 2 EMI TOWER HAMDAN SBIN MOHAMMAD ST. AL DAHNA,02-6323497,24.4857,54.3579
CLINIX PHARMACY,AUH,PHARMACY,,LAZAT REST STREET 1 MUSSAFAH,02-5530240,24.3606,54.5105
CANADIAN MEDICAL CENTER LLC,AUH,CLINIC,AL MAKTOUM STREET,BLDG 1791 VILLA NUMBER 1 BESIDE UNIVERSAL HOSPITAL,02-4469006,24.4621,54.3771
CONSULTANTS MEDICAL CENTRE EXCL.ENT&CARD,AUH,CLINIC,HAMDAN STREET,LANDMARK PLAZA BUILDING,02-6794100,24.4992,54.3759
CORAL DENTAL CLINIC,AUH,DENTAL,,1ST FLR GOLD SOUQ TOWN CENTRE  OPPOSITE AL AIN COOPERATIVE TOWN CENTER,03-7370047,24.2939,55.7759
COSMOPOLITAN MEDICAL CENTER,AUH,CLINIC,,"201, 1ST FLOOR, HAMEEM MALL AL SALAM CITY AREA AL DHAFRA REGION",02-5555328,24.1576,54.4248
DAAR AL MISBAH MEDICAL CENTER,AUH,CLINIC,,BUILDING NO 1 PLOT 20. 1ST FLOOR NEAR BANGALI MOSQUE 12TH STREET  MUSAFFAH SANAIYA,02-6213119,24.3605,54.5038
