SL_NO,EMIRATE,UAE_EMIRATE,PROVIDER_TYPE,PROVIDER_NAME,FACILITY_ID,AREA,ADDRESS,PHONE,GOOGLE_MAPS_LINK,WEBSITE,WHATSAPP,NOTES
35,AJM,Ajman,CLINIC,AURA MEDICAL CENTER L. L.C,MOH-F-1000545,JURF 2,"RAINBOW BUILDING, JURF 2 AJMAN, BEHIND CIVIL DEFENSE, AJMAN, UAE",06-526 5455,https://www.google.com/maps/search/?api=1&query=RAINBOW%20BUILDING%2C%20JURF%202%20AJMAN%2C%20BEHIND%20CIVIL%20DEFENSE%2C%20AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
36,AJM,Ajman,CLINIC,ASTER MEDICAL CENTRE BR.(AJMAN),MOH2590,AJMAN,"SHAIKH KHALIFA BIN ZAYED STREET, AJMAN UAE",06-7314799,https://www.google.com/maps/search/?api=1&query=SHAIKH%20KHALIFA%20BIN%20ZAYED%20STREET%2C%20AJMAN%20UAE%2C%20Ajman%2C%20UAE,,,
37,AJM,Ajman,CLINIC,ACCESS MEDICAL CENTRE (BR. OF DM) - AJMAN,MOH6733,IND AREA-1,"AL HAMRAIN SOUQ, AJMAN INDUSTRIAL AREA 1,NEAR NESTO HYPERMARKET, AJMAN",06-7404778,https://www.google.com/maps/search/?api=1&query=AL%20HAMRAIN%20SOUQ%2C%20AJMAN%20INDUSTRIAL%20AREA%201%2CNEAR%20NESTO%20HYPERMARKET%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
38,AJM,Ajman,CLINIC,SARAH MEDICAL CENTRE,MOH-F-1000064,MASFUT,"PO. BOX, 12457, AL RASHID AL BADAWANI BLDG, FLOOR 1, HATTA ROAD, MUZEIRAH, MASFUT, AJMAN",04-8522116,https://www.google.com/maps/search/?api=1&query=PO.%20BOX%2C%2012457%2C%20AL%20RASHID%20AL%20BADAWANI%20BLDG%2C%20FLOOR%201%2C%20HATTA%20ROAD%2C%20MUZEIRAH%2C%20MASFUT%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
39,AJM,Ajman,CLINIC,AL HEMAYA GENERAL CLINIC LLC,MOH-F-1000581,AL JURF 1,"SHOP NO 8 ,AL JURF INSUDTRAIL ZONE 1, NEAR LULU EXCHANGE,AJMAN",06-5225374,https://www.google.com/maps/search/?api=1&query=SHOP%20NO%208%20%2CAL%20JURF%20INSUDTRAIL%20ZONE%201%2C%20NEAR%20LULU%20EXCHANGE%2CAJMAN%2C%20Ajman%2C%20UAE,,,
40,AJM,Ajman,CLINIC,NORTHERN AL AHLIAH MEDICAL CENTRE (AJMAN),MOH-F-1000521,AL BUSTAN,"AL WAKF BLDG., BEHIND AJMAN GENERAL POST OFFICE & NBAD, AL BUSTAN",06-7404941,https://www.google.com/maps/search/?api=1&query=AL%20WAKF%20BLDG.%2C%20BEHIND%20AJMAN%20GENERAL%20POST%20OFFICE%20%26%20NBAD%2C%20AL%20BUSTAN%2C%20Ajman%2C%20UAE,,,
41,AJM,Ajman,CLINIC,AHALIA MEDICAL CENTER,MOH-F-1000405,AL ITTIHAD STREET,"NEAR EMIRATES MARKET, ASYAD TOWER, AL ITTIHAD STREET",06-7497557,https://www.google.com/maps/search/?api=1&query=NEAR%20EMIRATES%20MARKET%2C%20ASYAD%20TOWER%2C%20AL%20ITTIHAD%20STREET%2C%20Ajman%2C%20UAE,,,
42,AJM,Ajman,CLINIC,MEDICARE MEDICAL CENTRE LLC,MOH-F-1000718,SHEIKH RASHID STREET,"SHEIKH RASHID STREET, M.CITY MART BUILDING,AJMAN,UAE",06-7475171,https://www.google.com/maps/search/?api=1&query=SHEIKH%20RASHID%20STREET%2C%20M.CITY%20MART%20BUILDING%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
43,AJM,Ajman,CLINIC,JABAL SINA MEDICAL CENTRE LLC,MOH-F-1000565,ESCAPE TOWER,"GROUND FLOOR ESCAPE TOWER,AJMAN,UNITED ARAB EMIRATES",06-740 2255,https://www.google.com/maps/search/?api=1&query=GROUND%20FLOOR%20ESCAPE%20TOWER%2CAJMAN%2CUNITED%20ARAB%20EMIRATES%2C%20Ajman%2C%20UAE,,,
44,AJM,Ajman,CLINIC,ABDUL AZIZ MEDICAL CENTRE L.L.C,MOH-F-1000112,AL HAMIDIYA,"AL SALAM BUILDING FLOOR F, OFFICE NO. 5 SHEIKH MAKTOUM BIN RASHID ST AL HAMIDIYA AJMAN UAE","054-3358211,056-4990000",https://www.google.com/maps/search/?api=1&query=AL%20SALAM%20BUILDING%20FLOOR%20F%2C%20OFFICE%20NO.%205%20SHEIKH%20MAKTOUM%20BIN%20RASHID%20ST%20AL%20HAMIDIYA%20AJMAN%20UAE%2C%20Ajman%2C%20UAE,,,
45,AJM,Ajman,CLINIC,SEHA MEDICAL CENTER,MOH-F-1000658,NUAIMIYA-1,"AL ITTEHAD ROAD, NUAIMIYA-1,AJMAN,UNITED ARAB EMIRATES",06-7404045,https://www.google.com/maps/search/?api=1&query=AL%20ITTEHAD%20ROAD%2C%20NUAIMIYA-1%2CAJMAN%2CUNITED%20ARAB%20EMIRATES%2C%20Ajman%2C%20UAE,,,
46,AJM,Ajman,CLINIC,GOLDEN STAR MEDICAL CENTER,MOH-F-1000355,AJMAN,"45 ABDULLAH BIN ABUD STREET, RM 7&8, NOOR BUILDING, AJMAN, UAE",058-8978647,https://www.google.com/maps/search/?api=1&query=45%20ABDULLAH%20BIN%20ABUD%20STREET%2C%20RM%207%268%2C%20NOOR%20BUILDING%2C%20AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
47,AJM,Ajman,CLINIC,AL NAHRAIN SPECIALTY MEDICAL CENTER - LLC,MOH-F-1000266,AL NUAIMIA 2,"AL NUAIMIA 2,AJMAN,UAE",06-7449144,https://www.google.com/maps/search/?api=1&query=AL%20NUAIMIA%202%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
48,AJM,Ajman,CLINIC,AL NAHRAIN MEDICAL CENTER 1 LLC,MOH-F-1000729,AL HELIO 2,"AL HELIO 2, HELIO 2,AJMAN,UAE",06-7484778,https://www.google.com/maps/search/?api=1&query=AL%20HELIO%202%2C%20HELIO%202%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
49,AJM,Ajman,CLINIC,DEAR HEALTH MEDICAL CENTER,MOH-F-1000099,RASHIDIYA 3,"AL SWAN TOWER, RASHIDIYA 3,AJMAN,UAE",06-7413344,https://www.google.com/maps/search/?api=1&query=AL%20SWAN%20TOWER%2C%20RASHIDIYA%203%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
50,AJM,Ajman,CLINIC,MAGENTA HEALTH PLUS MEDICAL CENTER LLC (SOLE PROPRIETORSHIP),MOH-F-1000712,JURF,"AHMED ABDULLA ALMEHDAR BUILDING, JURF IND.AREA1 ,AJMAN,UAE",06-7449095,https://www.google.com/maps/search/?api=1&query=AHMED%20ABDULLA%20ALMEHDAR%20BUILDING%2C%20JURF%20IND.AREA1%C2%A0%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
51,AJM,Ajman,CLINIC,ORIANA MEDICAL CENTER LLC SOLE PROPRIETORSHIP,MOH-F-1000666,AL JURF ,AL JURF INDUSTRIAL 1 - AJMAN,06-5918889,https://www.google.com/maps/search/?api=1&query=AL%20JURF%20INDUSTRIAL%201%20-%20AJMAN%2C%20Ajman%2C%20UAE,,,
52,AJM,Ajman,CLINIC,EAZY CARE MEDICAL CENTER L.L.C,MOH-F-1000785,MOWAIHAT-3,"MOWAIHAT-3, NEAR ADNOC PETROL STATION ,AJMAN,UAE",06-7458050,https://www.google.com/maps/search/?api=1&query=MOWAIHAT-3%2C%20NEAR%20ADNOC%20PETROL%20STATION%20%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
53,AJM,Ajman,CLINIC,NATIONAL CLINIC (AJMAN),MOHI1000,AJMAN,NEW SANAIYA - AJMAN,06-7432292/8007400,https://www.google.com/maps/search/?api=1&query=NEW%20SANAIYA%20-%20AJMAN%2C%20Ajman%2C%20UAE,,,
54,AJM,Ajman,CLINIC,AL SANAIYA CLINIC (AJMAN),MOHM2114,AJMAN,"OFFICE 105, SHEIKH AMMAR BIN HUMAID STREET, JURF INDUSTRIAL 1, AJMAN, UNITED ARAB EMIRATES",06-7484078/8007400,https://www.google.com/maps/search/?api=1&query=OFFICE%20105%2C%20SHEIKH%20AMMAR%20BIN%20HUMAID%20STREET%2C%20JURF%20INDUSTRIAL%201%2C%20AJMAN%2C%20UNITED%20ARAB%20EMIRATES%2C%20Ajman%2C%20UAE,,,
55,AJM,Ajman,CLINIC,RIGHT HEALTH AL NUAIMIA CLINIC (AJMAN)(FORMERLY AL NAUMIA CLINIC (AJMAN),MOHI117,AJMAN,"HASSAN BIN HAITHAM STREET, AJMAN",06-7432292/8007400,https://www.google.com/maps/search/?api=1&query=HASSAN%20BIN%20HAITHAM%20STREET%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
56,AJM,Ajman,CLINIC,DR RAJEEVANS MEDICAL CENTRE,MOH5717,NEW SANIYA,"NEAR IND. AREA,NEW SANIYA, AJMAN",06-7431330,https://www.google.com/maps/search/?api=1&query=NEAR%20IND.%20AREA%2CNEW%20SANIYA%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
57,AJM,Ajman,CLINIC,MAX CARE MEDICAL CENTER (S.P.S - L.L.C),MOH-F-1000832,RASHIDIYA 1,"RASHIDIYA 1, NEAR RAWABI MARKET,AJM,UAE",056-4131644,https://www.google.com/maps/search/?api=1&query=RASHIDIYA%201%2C%20NEAR%20RAWABI%20MARKET%2CAJM%2CUAE%2C%20Ajman%2C%20UAE,,,
58,AJM,Ajman,CLINIC,AL BUSTAN MEDICAL CENTER,MOH-F-1000181,JURG,"NEAR LUCKY CENTRE, NEAR CHINA MALL, JURF , AJMAN",06-7488202,https://www.google.com/maps/search/?api=1&query=NEAR%20LUCKY%20CENTRE%2C%20NEAR%20CHINA%20MALL%2C%20JURF%20%2C%20AJMAN%2C%20Ajman%2C%20UAE,,,
59,AJM,Ajman,CLINIC,AL MUBARAK MEDICAL CENTER SPS - LLC,MOH-F-1000861,JURF 1,"PLAT NO 60, UNIT NO 11, JURF 1 INDUSTRIAL AREA NEAR AJMAN FESTIVAL OPPOSITE TO AJMAN NEW PUBLIC MARKET,UAE",06-5248727,https://www.google.com/maps/search/?api=1&query=PLAT%20NO%2060%2C%20UNIT%20NO%2011%2C%20JURF%201%20INDUSTRIAL%20AREA%20NEAR%20AJMAN%20FESTIVAL%20OPPOSITE%20TO%20AJMAN%20NEW%20PUBLIC%20MARKET%2CUAE%2C%20Ajman%2C%20UAE,,,
60,AJM,Ajman,CLINIC,TAHANI MEDICAL CENTER,MOH-F-1000827,RASHIDIA 1,"RASHDIYA 1,AJMAN,UAE",054-4340247,https://www.google.com/maps/search/?api=1&query=RASHDIYA%201%2CAJMAN%2CUAE%2C%20Ajman%2C%20UAE,,,
61,AJM,Ajman,CLINIC,AL MADAR MEDICAL CENTER - L.L.C,MOH-F-1000019,SHEIKH KHALIFA ST,"AL GHUMLASI BLDG, SHEIKH KHALIFA ST.PO BOX 15028 | AJMAN, UAE",06-7412202,https://www.google.com/maps/search/?api=1&query=AL%20GHUMLASI%20BLDG%2C%20SHEIKH%20KHALIFA%20ST.PO%20BOX%2015028%C2%A0%7C%C2%A0AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
62,AJM,Ajman,CLINIC,VPM INTERNATIONAL HEALTH CARE LLC,MOH-F-1000635,SHEIKH KHALIFA BIN ZAYED ST,EMIRATES NBD BUILDING- GULFA BRIDGE - SHEIKH KHALIFA BIN ZAYED ST - AJMAN,050-6505840,https://www.google.com/maps/search/?api=1&query=EMIRATES%20NBD%20BUILDING-%20GULFA%20BRIDGE%20-%20SHEIKH%20KHALIFA%20BIN%20ZAYED%20ST%20-%20AJMAN%2C%20Ajman%2C%20UAE,,,
63,AJM,Ajman,CLINIC,PESHAWAR MEDICAL CENTER LLC-AJMAN,MOH-F-1000844,LUCKY ROUND ABOUT,"INDUSTRIAL AREA 2, LUCKY ROUND ABOUT LANDMARK: GIFT MART AJMAN, UAE",06-5210982,https://www.google.com/maps/search/?api=1&query=INDUSTRIAL%20AREA%202%2C%20LUCKY%20ROUND%20ABOUT%20LANDMARK%3A%20GIFT%20MART%20AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
64,AJM,Ajman,CLINIC,BYNOONA MEDICAL CENTER L.L.C (SOLE PROPRIETORSHIP),MOH-F-1000465,NUAIMIYA 2,"NUAIMIYA 2, AJMAN, UAE",06-7430015,https://www.google.com/maps/search/?api=1&query=NUAIMIYA%202%2C%20AJMAN%2C%20UAE%2C%20Ajman%2C%20UAE,,,
