Index,match_method,zavis_id,zavis_name,zavis_url,zavis_city,zavis_category,zavis_address,zavis_phone,zavis_lat,zavis_lon,zavis_email,zavis_maps_url
33,phone,eve-medical-center-ajman,Eve Medical Center,https://www.zavis.ai/directory/ajman/clinics/eve-medical-center-ajman,Ajman,clinics,J1 Building Floor 1 Garden City Al-Jurf Ajman بناية J1 ، طابق 1، جاردن ستي، - الجرف - الحميدية 1 - عجمان - United Arab Emirates,+971 6 749 8042,25.404016,55.507345,,"https://www.google.com/maps?q=25.404016,55.507345"
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,phone,al-narjes-physiotherapy-center-ajman,AL Narjes Physiotherapy Center,https://www.zavis.ai/directory/ajman/physiotherapy/al-narjes-physiotherapy-center-ajman,Ajman,physiotherapy,Sheikh Rashid bin Humaid road - opposite Ajman One tower - Al Rumailah - Al Rumailah 3 - Ajman - United Arab Emirates,+971 6 741 8880,,,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,name,al-hemaya-general-clinic-l-l-c-ajman,AL Hemaya General Clinic,https://www.zavis.ai/directory/ajman/clinics/al-hemaya-general-clinic-l-l-c-ajman,Ajman,clinics,CGMG+FRG - Al Jerf Industrial 1 - Ajman - United Arab Emirates,+971 56 693 6376,25.4336865,55.527087,,"https://www.google.com/maps?q=25.4336865,55.527087"
42,,,,,,,,,,,,
43,name,ahalia-medical-centre-ajman,Ahalia Medical Centre,https://www.zavis.ai/directory/ajman/clinics/ahalia-medical-centre-ajman,Ajman,clinics,Ahalia Medical Center - Ajman Industrial 2 - Ajman - United Arab Emirates,+971 6 749 7557,25.3871005,55.4686209,,"https://www.google.com/maps?q=25.3871005,55.4686209"
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,phone,abdul-aziz-medical-centre-ajman,Abdul Aziz Medical Centre,https://www.zavis.ai/directory/ajman/clinics/abdul-aziz-medical-centre-ajman,Ajman,clinics,"Office #5, F.Floor, Al Salam Building - شارع الشيخ مكتوم بن راشد - الروضة 1 - عجمان - United Arab Emirates",+971 54 335 8211,25.3957651,55.5220267,,"https://www.google.com/maps?q=25.3957651,55.5220267"
47,,,,,,,,,,,,
48,phone,golden-star-medical-center-ajman,Golden Star Medical Center,https://www.zavis.ai/directory/ajman/clinics/golden-star-medical-center-ajman,Ajman,clinics,"Rashideya 2 Ajman , Beside Ajman Sports Club & Mc Donalds - Al Rashidiya 2 - عجمان - United Arab Emirates",+971 58 897 8647,25.3929743,55.4483088,,"https://www.google.com/maps?q=25.3929743,55.4483088"
49,name,al-nahrain-specialty-medical-center-ajman,AL Nahrain Specialty Medical Center,https://www.zavis.ai/directory/ajman/clinics/al-nahrain-specialty-medical-center-ajman,Ajman,clinics,Sheikh Khalifa Bin Zayed St - 2 Al Nuaimia - Ajman - United Arab Emirates,+971 6 744 9144,25.3899255,55.4513056,,"https://www.google.com/maps?q=25.3899255,55.4513056"
50,phone,al-nahrain-medical-center-1-l-l-c-ajman,AL Nahrain Medical Center 1,https://www.zavis.ai/directory/ajman/clinics/al-nahrain-medical-center-1-l-l-c-ajman,Ajman,clinics,Sheikh Khalifa Bin Zayed St - 2 Al Nuaimia - Ajman - United Arab Emirates,+971 6 748 4778,25.3803804,55.6030121,,"https://www.google.com/maps?q=25.3803804,55.6030121"
51,name,dear-health-medical-center-ajman,Dear Health Medical Center,https://www.zavis.ai/directory/ajman/clinics/dear-health-medical-center-ajman,Ajman,clinics,AL SWAN TOWER - SHEIKH RASHID BIN HUMAID AL NUAIMI STREET - Al Rashidiya 3 - Ajman - United Arab Emirates,+971 50 530 0187,25.4041345,55.4403882,,"https://www.google.com/maps?q=25.4041345,55.4403882"
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,name,eazy-care-medical-center-l-l-c-ajman,Eazy Care Medical Center,https://www.zavis.ai/directory/ajman/clinics/eazy-care-medical-center-l-l-c-ajman,Ajman,clinics,Al Muwaihat 3 - Ajman - United Arab Emirates,+971 6 745 8050,25.3662299,55.4921813,,"https://www.google.com/maps?q=25.3662299,55.4921813"
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,phone,dr-rajeevans-medical-centre-l-l-c-ajman,Dr Rajeevans Medical Centre,https://www.zavis.ai/directory/ajman/clinics/dr-rajeevans-medical-centre-l-l-c-ajman,Ajman,clinics,9FGH+962 - Ajman Industrial 2 - Ajman - United Arab Emirates,+971 6 743 1330,25.3758833,55.4780113,,"https://www.google.com/maps?q=25.3758833,55.4780113"
59,phone,ultra-medical-center-l-l-c-al-ain,Ultra Medical Center,https://www.zavis.ai/directory/al-ain/clinics/ultra-medical-center-l-l-c-al-ain,Al Ain,clinics,Mall and Al Safa Center - Al Izdihar St - near Al Jimi - Al Jimi - Ugdat Al Ameriya - Abu Dhabi - United Arab Emirates,+97137625552,24.2424725,55.7285731,info@umc-alain.ae,"https://www.google.com/maps?q=24.2424725,55.7285731"
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,phone,al-noor-medical-center-wll-al-ain,AL Noor Medical Center,https://www.zavis.ai/directory/al-ain/clinics/al-noor-medical-center-wll-al-ain,Al Ain,clinics,"Al Ain, Al Ain",+9713-7662072,24.2199978,55.7739496,bhargav@emirates.net.ae,"https://www.google.com/maps?q=24.2199978,55.7739496"
63,phone,index-medical-center-l-l-c-al-ain,Index Medical Center,https://www.zavis.ai/directory/al-ain/clinics/index-medical-center-l-l-c-al-ain,Al Ain,clinics,"Al Ain, Al Ain",+971(971)-3-7513939,24.2279716,55.7600309,eye@eye.ae,"https://www.google.com/maps?q=24.2279716,55.7600309"
64,phone,al-waqar-medical-centre-al-ain,AL Waqar Medical Centre,https://www.zavis.ai/directory/al-ain/clinics/al-waqar-medical-centre-al-ain,Al Ain,clinics,"Al Ain, Al Ain",+97137664521,24.222499,55.7715207,alwaqarmedical@gmail.com,"https://www.google.com/maps?q=24.222499,55.7715207"
65,phone,fatima-medical-center-l-l-c-al-ain,Fatima Medical Center,https://www.zavis.ai/directory/al-ain/clinics/fatima-medical-center-l-l-c-al-ain,Al Ain,clinics,Abu Backer siddiq Street - above Dammas collections - Central District - Hai Al Salama - Abu Dhabi - United Arab Emirates,+97137513883,24.2244418,55.7708567,shajahan_222@yahoo.com,"https://www.google.com/maps?q=24.2244418,55.7708567"
66,name,gems-medical-clinic-llc-al-ain,Gems Medical Clinic,https://www.zavis.ai/directory/al-ain/clinics/gems-medical-clinic-llc-al-ain,Al Ain,clinics,"Al Ain, Al Ain",+97137855575,24.2220533,55.7724417,drsaleemd@yahoo.com,"https://www.google.com/maps?q=24.2220533,55.7724417"
67,phone,medlife-medical-centre-l-l-c-al-ain,Medlife Medical Centre,https://www.zavis.ai/directory/al-ain/clinics/medlife-medical-centre-l-l-c-al-ain,Al Ain,clinics,Al Hili - 7Q8C+PCR - Industrial Area - Ndood Jham - Abu Dhabi - United Arab Emirates,+971 3 733 1033,24.2667795,55.7706023,drsaleemd@yahoo.com,"https://www.google.com/maps?q=24.2667795,55.7706023"
68,,,,,,,,,,,,
69,name,al-khazna-health-medical-center-al-ain,AL Khazna Health Medical Center,https://www.zavis.ai/directory/al-ain/clinics/al-khazna-health-medical-center-al-ain,Al Ain,clinics,1st St - Al Khaznah - Al Khaznah 1 - Abu Dhabi - United Arab Emirates,+971 2 558 4609,24.1704936,55.1102689,kashif1pak@yahoo.com,"https://www.google.com/maps?q=24.1704936,55.1102689"
70,,,,,,,,,,,,
71,phone,al-ain-alahili-medical-centre-al-ain,AL Ain Alahili Medical Centre,https://www.zavis.ai/directory/al-ain/clinics/al-ain-alahili-medical-centre-al-ain,Al Ain,clinics,"Al Ain, Al Ain",+97137559990,24.2251644,55.7568335,alainamc@ahaliagroup.ae,"https://www.google.com/maps?q=24.2251644,55.7568335"
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,phone,rayhan-primary-healthcare-centre-sole-proprietorship-l-l-c-al-ain,Rayhan Primary Healthcare Centre,https://www.zavis.ai/directory/al-ain/clinics/rayhan-primary-healthcare-centre-sole-proprietorship-l-l-c-al-ain,Al Ain,clinics,al marabba - yasser street - Central District - Hai Al Murabbaa - Abu Dhabi - United Arab Emirates,+971 3 751 0043,24.22239,55.77358,shef.dubai@gmail.com,"https://www.google.com/maps?q=24.22239,55.77358"
75,phone,al-mamoon-medical-center-l-l-c-al-ain,AL Mamoon Medical Center,https://www.zavis.ai/directory/al-ain/clinics/al-mamoon-medical-center-l-l-c-al-ain,Al Ain,clinics,"Muwaiji-2, Street-2, Villa No. 38 - Sheik Khalifa Bin Zayed St - near Marriage Fund - Al Muwaij'i - Al Ain City - Abu Dhabi - United Arab Emirates",+97137666652,24.22101,55.71362,haneesh@almamoon.ae,"https://www.google.com/maps?q=24.22101,55.71362"
76,phone,al-mirage-medical-center-al-ain,AL Mirage Medical Center,https://www.zavis.ai/directory/al-ain/clinics/al-mirage-medical-center-al-ain,Al Ain,clinics,"Al Ain, Al Ain",+971(971)-3-7516774,24.2192741,55.7595513,walayethabibi@hotmail.com,"https://www.google.com/maps?q=24.2192741,55.7595513"
77,name,healing-touch-medical-center-al-ain,Healing Touch Medical Center,https://www.zavis.ai/directory/al-ain/clinics/healing-touch-medical-center-al-ain,Al Ain,clinics,Al Jimi - Al Ameriya - Abu Dhabi - United Arab Emirates,+971 3 753 0090,24.2570296,55.7391729,htmc2016@yahoo.com,"https://www.google.com/maps?q=24.2570296,55.7391729"
78,,,,,,,,,,,,
79,phone,mission-medical-center-al-ain,Mission Medical Center,https://www.zavis.ai/directory/al-ain/clinics/mission-medical-center-al-ain,Al Ain,clinics,Al Ain - Industrial Area - Batha Al Hayer - Abu Dhabi - United Arab Emirates,+971 3 722 4188,24.1908364,55.7536056,mission.mc2016@gmail.com,"https://www.google.com/maps?q=24.1908364,55.7536056"
80,,,,,,,,,,,,
81,,,,,,,,,,,,
82,phone,sultan-medical-centre-al-ain,Sultan Medical Centre,https://www.zavis.ai/directory/al-ain/clinics/sultan-medical-centre-al-ain,Al Ain,clinics,Central District Alain - وسط المدينة - حي السوق - أبو ظبي - United Arab Emirates,+971(971)-3-7641525,24.2217428,55.7693731,mazen7175@yahoo.com,"https://www.google.com/maps?q=24.2217428,55.7693731"
83,name,zia-medical-centre-l-l-c-abu-dhabi,Zia Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/zia-medical-centre-l-l-c-abu-dhabi,Abu Dhabi,clinics,51st Street - Mohamed Bin Zayed City - ME12 - Abu Dhabi - United Arab Emirates,+97125522201,24.3240545,54.5310433,drzia67@yahoo.com,"https://www.google.com/maps?q=24.3240545,54.5310433"
84,name,peshawar-medical-centre-l-l-c-abu-dhabi,Peshawar Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/peshawar-medical-centre-l-l-c-abu-dhabi,Abu Dhabi,clinics,40 شارع ١٦ - Musaffah - M40 - Abu Dhabi - United Arab Emirates,+971(971)-2-5522201,24.3461811,54.4845654,drzia67@yahoo.com,"https://www.google.com/maps?q=24.3461811,54.4845654"
85,phone,poly-clinic-swat-medical-l-l-c-o-p-c-abu-dhabi,Poly Clinic Swat Medical,https://www.zavis.ai/directory/abu-dhabi/clinics/poly-clinic-swat-medical-l-l-c-o-p-c-abu-dhabi,Abu Dhabi,clinics,9F2R+WPG - Musaffah - Musaffah Industrial - Abu Dhabi - United Arab Emirates,+97125550038,24.3523014,54.4915088,swat.100515@gmail.com,"https://www.google.com/maps?q=24.3523014,54.4915088"
86,phone,lahore-medical-centre-sole-proprietorship-l-l-c-abu-dhabi,Lahore Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/lahore-medical-centre-sole-proprietorship-l-l-c-abu-dhabi,Abu Dhabi,clinics,79 Ad Diman 6 St - Musaffah - M26 - Abu Dhabi - United Arab Emirates,+97125462548,24.3489662,54.5185291,drzia67@yahoo.com,"https://www.google.com/maps?q=24.3489662,54.5185291"
87,name,bab-al-teb-medical-centre-sole-proprietorship-l-l-c-abu-dhabi,Bab AL Teb Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/bab-al-teb-medical-centre-sole-proprietorship-l-l-c-abu-dhabi,Abu Dhabi,clinics,8FXF+8FJ - Musaffah - M44 - Abu Dhabi - United Arab Emirates,+971 55 897 9364,24.3718008,54.5126649,drzia67@yahoo.com,"https://www.google.com/maps?q=24.3718008,54.5126649"
88,,,,,,,,,,,,
89,name,llh-medical-centre-l-l-c-abu-dhabi,Llh Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/llh-medical-centre-l-l-c-abu-dhabi,Abu Dhabi,clinics,Zone 1E3-02 - Muroor Road - Al Danah - E3-02 - Abu Dhabi - United Arab Emirates,+971 800 55,24.340937,54.5373561,saad.lifeline@vpshealth.com,"https://www.google.com/maps?q=24.340937,54.5373561"
90,name,occu-med-clinic-l-l-c-abu-dhabi,Occu Med Clinic,https://www.zavis.ai/directory/abu-dhabi/clinics/occu-med-clinic-l-l-c-abu-dhabi,Abu Dhabi,clinics,"M-4, Office No 15G, Ground Floor, Global Ascent Business Center - مصفح - مصفح 4 - أبو ظبي - United Arab Emirates",+971 2 513 4013,24.363085,54.5244527,saad.lifeline@vpshealth.com,"https://www.google.com/maps?q=24.363085,54.5244527"
91,,,,,,,,,,,,
92,name,lifecare-medical-center-l-l-c-abu-dhabi,Lifecare Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/lifecare-medical-center-l-l-c-abu-dhabi,Abu Dhabi,clinics,7HPP5RVX+CR - Al Wathba - Qasr Al Wathbah South - Abu Dhabi - United Arab Emirates,+971 56 406 0318,24.2150106,54.7546205,saadsaleh@burjeelholdings.com,"https://www.google.com/maps?q=24.2150106,54.7546205"
93,,,,,,,,,,,,
94,phone,shaheen-medical-centre-abu-dhabi,Shaheen Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/shaheen-medical-centre-abu-dhabi,Abu Dhabi,clinics,Al Falah St - Al Danah - Zone 1 - Abu Dhabi - United Arab Emirates,+971 2 641 1345,24.4780462,54.3693255,shaheenmedicalcentre@gmail.com,"https://www.google.com/maps?q=24.4780462,54.3693255"
95,,,,,,,,,,,,
96,name,sarhad-medical-center-abu-dhabi,Sarhad Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/sarhad-medical-center-abu-dhabi,Abu Dhabi,clinics,Street # 17 - Musaffah - M2 - Abu Dhabi - United Arab Emirates,+9712-5544887,24.3768238,54.5178881,sayedmohammad@hotmail.com,"https://www.google.com/maps?q=24.3768238,54.5178881"
97,phone,saba-medical-center-l-l-c-n-abu-dhabi,Saba Medical Center L.L.C N,https://www.zavis.ai/directory/abu-dhabi/clinics/saba-medical-center-l-l-c-n-abu-dhabi,Abu Dhabi,clinics,13 Al Jazzeem 2 St - Musaffah - M37 - Abu Dhabi - United Arab Emirates,+97125523300,24.3533527,54.5006804,care@sabamedicalcenter.com,"https://www.google.com/maps?q=24.3533527,54.5006804"
98,name,right-choice-medical-center-abu-dhabi,Right Choice Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/right-choice-medical-center-abu-dhabi,Abu Dhabi,clinics,Abu Dhabi Musaffah industrial area block - مصفح - مصفح 10 - أبو ظبي - United Arab Emirates,+97124917600,24.3709679,54.5048275,Admin@rightchoicemedicalcenter.ae,"https://www.google.com/maps?q=24.3709679,54.5048275"
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,phone,tabibak-medical-clinic-l-l-c-s-p-c-abu-dhabi,Tabibak Medical Clinic,https://www.zavis.ai/directory/abu-dhabi/clinics/tabibak-medical-clinic-l-l-c-s-p-c-abu-dhabi,Abu Dhabi,clinics,Habshan - Abu Dhabi - United Arab Emirates,+971 2 884 8442,24.1501929,54.4317213,saeed.hassan@righthealth.ae,"https://www.google.com/maps?q=24.1501929,54.4317213"
102,name,medstar-icad-medical-center-l-l-c-o-p-c-abu-dhabi,Medstar Icad Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/medstar-icad-medical-center-l-l-c-o-p-c-abu-dhabi,Abu Dhabi,clinics,Musaffah - ICAD Residential city - Abu Dhabi - United Arab Emirates,+971 2 554 4212,24.34058,54.484259,sherifzoghly@gmail.com,"https://www.google.com/maps?q=24.34058,54.484259"
103,,,,,,,,,,,,
104,phone,new-famous-medical-centre-l-l-c-abu-dhabi,New Famous Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/new-famous-medical-centre-l-l-c-abu-dhabi,Abu Dhabi,clinics,Musaffah - Mussafah 32/1 - Abu Dhabi - United Arab Emirates,+971 2 553 8040,24.3503324,54.5128027,newfamousmedical@gmail.com,"https://www.google.com/maps?q=24.3503324,54.5128027"
105,phone,mubarak-medical-center-sole-proprietorship-l-l-c-branch-abu-dhabi,Mubarak Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/mubarak-medical-center-sole-proprietorship-l-l-c-branch-abu-dhabi,Abu Dhabi,clinics,Al Eshosh Village - Jarn Yafour - Mafraq Industrial Area - Abu Dhabi - United Arab Emirates,+971 2 583 7772,24.25888,54.63172,mmcbr1@mmcbr1.ae,"https://www.google.com/maps?q=24.25888,54.63172"
106,phone,medline-medical-centre-l-l-c-abu-dhabi,Medline Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/medline-medical-centre-l-l-c-abu-dhabi,Abu Dhabi,clinics,14th St - Musaffah - M26 - Abu Dhabi - United Arab Emirates,+9712-5530577,24.3539049,54.5222175,ayyarilibrahim@gmail.com,"https://www.google.com/maps?q=24.3539049,54.5222175"
107,phone,maxim-medical-centre-l-l-c-abu-dhabi,Maxim Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/maxim-medical-centre-l-l-c-abu-dhabi,Abu Dhabi,clinics,8FRF+7J6 - Musaffah - M43 - Abu Dhabi - United Arab Emirates,+97125500161,24.3405881,54.4740926,rajeshpurakattu@gmail.com,"https://www.google.com/maps?q=24.3405881,54.4740926"
108,phone,m-26-medical-center-abu-dhabi,M 26 Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/m-26-medical-center-abu-dhabi,Abu Dhabi,clinics,Musaffah - M26 - Abu Dhabi - United Arab Emirates,+971 2 886 7789,24.34703,54.51802,fornaxservices@hotmail.com,"https://www.google.com/maps?q=24.34703,54.51802"
109,,,,,,,,,,,,
110,phone,falcon-pharmacy-l-l-c-abu-dhabi,Falcon Pharmacy,https://www.zavis.ai/directory/abu-dhabi/pharmacy/falcon-pharmacy-l-l-c-abu-dhabi,Abu Dhabi,pharmacy,"Industrial Sector 18, Saniya, Ghayathi - Opposite to Main Mosque - غياثي - غياثي الصناعية - أبو ظبي - United Arab Emirates",+971 2 874 3164,23.91474,52.804492,falconphy.ghayathi@gmail.com,"https://www.google.com/maps?q=23.91474,52.804492"
111,phone,abu-salman-medical-centre-l-l-c-abu-dhabi,Abu Salman Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/abu-salman-medical-centre-l-l-c-abu-dhabi,Abu Dhabi,clinics,"Mohamed Bin Zayed City, Abu Dhabi",+97125522549,24.3370524,54.5353197,abusalaman@gmail.com,"https://www.google.com/maps?q=24.3370524,54.5353197"
112,phone,al-naseem-medicalcentre-l-l-c-abu-dhabi,AL Naseem Medicalcentre,https://www.zavis.ai/directory/abu-dhabi/clinics/al-naseem-medicalcentre-l-l-c-abu-dhabi,Abu Dhabi,clinics,"Abu Dhabi, Abu Dhabi",+97126399090,24.4870913,54.3616616,Alnaseemmc@outlook.com,"https://www.google.com/maps?q=24.4870913,54.3616616"
113,phone,al-qabail-medical-centre-l-l-c-l-l-c-abu-dhabi,AL Qabail Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/al-qabail-medical-centre-l-l-c-l-l-c-abu-dhabi,Abu Dhabi,clinics,Abu Dhabi - Musaffah - M33 - Abu Dhabi - United Arab Emirates,+97125575531,24.3473343,54.5101448,Medicaldirector@alqabailmedicalcenter.ae,"https://www.google.com/maps?q=24.3473343,54.5101448"
114,phone,providence-international-medical-cosmetic-center-l-l-c-abu-dhabi,Providence International Medical & Cosmetic Center,https://www.zavis.ai/directory/abu-dhabi/clinics/providence-international-medical-cosmetic-center-l-l-c-abu-dhabi,Abu Dhabi,clinics,Unnamed Road - Musaffah - M38 - Abu Dhabi - United Arab Emirates,+971 2 445 4867,24.3556539,54.4957285,dr_shahidwazir@hotmail.com,"https://www.google.com/maps?q=24.3556539,54.4957285"
115,,,,,,,,,,,,
116,phone,prime-care-medical-center-l-l-c-abu-dhabi,Prime Care Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/prime-care-medical-center-l-l-c-abu-dhabi,Abu Dhabi,clinics,Mohamed Bin Zayed City - Mussafah Community - Abu Dhabi - United Arab Emirates,+971(971)-2-5538188,24.3293426,54.5332936,pcmc.ae@gmail.com,"https://www.google.com/maps?q=24.3293426,54.5332936"
117,phone,dr-gupta-medical-center-l-l-c-abu-dhabi,DR Gupta Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/dr-gupta-medical-center-l-l-c-abu-dhabi,Abu Dhabi,clinics,Zayed 2nd Street (Electra Road - الدانة - Zone 1 - أبو ظبي - United Arab Emirates,+97126337357,24.4860292,54.3638877,drguptamedicalcenter2020@gmail.com,"https://www.google.com/maps?q=24.4860292,54.3638877"
118,phone,high-life-medical-center-sole-proprietorship-l-l-c-abu-dhabi,High Life Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/high-life-medical-center-sole-proprietorship-l-l-c-abu-dhabi,Abu Dhabi,clinics,Parco Mall - Al Istinarah St - Jarn Yafour - Al Mafraq Workers City - Abu Dhabi - United Arab Emirates,+971 2 585 0081,24.25998,54.63055,fornaxservices@hotmail.com,"https://www.google.com/maps?q=24.25998,54.63055"
119,name,health-clear-medical-center-l-l-c-abu-dhabi,Health Clear Medical Center,https://www.zavis.ai/directory/abu-dhabi/clinics/health-clear-medical-center-l-l-c-abu-dhabi,Abu Dhabi,clinics,"Plot 85, Shop No 06 Musffah Industrial Area M - 13 10th St - Musaffah - M13 - Abu Dhabi - United Arab Emirates",+971 2 553 5582,24.3688373,54.4957841,healthclearmc2016@gmail.com,"https://www.google.com/maps?q=24.3688373,54.4957841"
120,name,golden-tulip-medical-centre-l-l-c-o-p-c-abu-dhabi,Golden Tulip Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/golden-tulip-medical-centre-l-l-c-o-p-c-abu-dhabi,Abu Dhabi,clinics,9F8P+5M4 - Musaffah - M17 - Abu Dhabi - United Arab Emirates,+97125556608,24.3630321,54.4910506,dr.ramdayal@yahoo.com,"https://www.google.com/maps?q=24.3630321,54.4910506"
121,phone,freedom-medical-poly-clinic-l-l-c-abu-dhabi,Freedom Medical Poly Clinic,https://www.zavis.ai/directory/abu-dhabi/clinics/freedom-medical-poly-clinic-l-l-c-abu-dhabi,Abu Dhabi,clinics,Building No 4 - مصفح - مصفح 4 - أبو ظبي - United Arab Emirates,+9712-6336744,24.3650456,54.5168469,shahid@freedomedicalcenter.com,"https://www.google.com/maps?q=24.3650456,54.5168469"
122,phone,cosmpolitan-medical-centre-sole-proprietorship-l-l-c-abu-dhabi,Cosmpolitan Medical Centre,https://www.zavis.ai/directory/abu-dhabi/clinics/cosmpolitan-medical-centre-sole-proprietorship-l-l-c-abu-dhabi,Abu Dhabi,clinics,"Abu Dhabi, Abu Dhabi",+97125555328,24.1555625,54.4250625,sdoc.ad@gmail.com,"https://www.google.com/maps?q=24.1555625,54.4250625"
123,name,care-point-clinic-l-l-c-abu-dhabi,Care Point Clinic,https://www.zavis.ai/directory/abu-dhabi/clinics/care-point-clinic-l-l-c-abu-dhabi,Abu Dhabi,clinics,Jarn Yafour - Mafraq Industrial Area - Abu Dhabi - United Arab Emirates,+97126228383,24.2818189,54.6038212,cliniccarepoint@gmail.com,"https://www.google.com/maps?q=24.2818189,54.6038212"
