Index,P,PROVIDER TYPE,PROVIDER NAME,AREA,ADDRESS,TELEPHONE,lat,lon,formatted,confidence,attribution
41,AJM,CLINIC,AL HEMAYA GENERAL CLINIC LLC,AL JURF-1,"SHOP NO 8 ,AL JURF INSUDTRAIL ZONE 1, NEAR LULU EXCHANGE,AJMAN",06-5225374,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
42,AJM,CLINIC,NORTHERN AL AHLIAH MEDICAL CENTRE (Ajman),AL BUSTAN,"AL WAKF BLDG., BEHIND AJMAN GENERAL POST OFFICE & NBAD, AL BUSTAN",06-7404941,25.672763,55.993935,"Al Bustan Street, RK, United Arab Emirates",0.111111111111111,© OpenStreetMap contributors
43,AJM,CLINIC,AHALIA MEDICAL CENTER,AL ITTIHAD STREET,"NEAR EMIRATES MARKET, ASYAD TOWER, AL ITTIHAD STREET",06-7497557,25.712035,55.833058,"Al Ittihad Road, RK, United Arab Emirates",0.520833333333333,© OpenStreetMap contributors
44,AJM,CLINIC,MEDICARE MEDICAL CENTRE LLC,SHEIKH RASHID STREET,"SHEIKH RASHID STREET, M.CITY MART BUILDING,AJMAN,UAE",06-7475171,25.3243061,55.3772962405756,"rashid al sheikh bdg, Al Khan Street, Al Khan, Sharjah, United Arab Emirates",0.81,© OpenStreetMap contributors
45,AJM,CLINIC,JABAL SINA MEDICAL CENTRE LLC,ESCAPE TOWER,"GROUND FLOOR ESCAPE TOWER,AJMAN,UNITED ARAB EMIRATES",06-740 2255,25.402864,55.4392513477599,"escape tower, Sheikh Rashid Bin Humaid Al Nuaimi Street, Al sawan, Ajman, Ajman Emirate, United Arab Emirates",1,© OpenStreetMap contributors
46,AJM,CLINIC,ABDUL AZIZ MEDICAL CENTRE L.L.C,AL HAMIDIYA,"AL SALAM BUILDING FLOOR F, OFFICE NO. 5 SHEIKH MAKTOUM BIN RASHID ST AL HAMIDIYA AJMAN UAE","054-3358211,056-4990000",25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.25,© OpenStreetMap contributors
47,AJM,CLINIC,SEHA MEDICAL CENTER,NUAIMIYA-1,"AL ITTEHAD ROAD, NUAIMIYA-1,AJMAN,UNITED ARAB EMIRATES",06-7404045,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.2480625,© OpenStreetMap contributors
48,AJM,CLINIC,GOLDEN STAR MEDICAL CENTER,AJMAN,"45 ABDULLAH BIN ABUD STREET, RM 7&8, NOOR BUILDING, AJMAN, UAE",058-8978647,,,,,
49,AJM,CLINIC,AL NAHRAIN SPECIALTY MEDICAL CENTER - LLC,AL NUAIMIA 2,"AL NUAIMIA 2,AJMAN,UAE",06-7449144,25.3843557,55.4542636,"Al Nuaimia, Ajman Emirate, United Arab Emirates",0,© OpenStreetMap contributors
50,AJM,CLINIC,AL NAHRAIN MEDICAL CENTER 1 LLC,AL HELIO 2,"AL HELIO 2, HELIO 2,AJMAN,UAE",06-7484778,25.006162,55.250476,"2 Al Thamam, Remraam, Dubai, DU, United Arab Emirates",0.1,© OpenStreetMap contributors
51,AJM,CLINIC,DEAR HEALTH MEDICAL CENTER,RASHIDIYA 3,"AL SWAN TOWER, RASHIDIYA 3,AJMAN,UAE",06-7413344,25.2241,55.39165,"Al Rashidiya, DU, United Arab Emirates",0.285714285714286,GeoNames
52,AJM,CLINIC,MAGENTA HEALTH PLUS MEDICAL CENTER L.L.C (SOLE PROPRIETORSHIP),JURF,"AHMED ABDULLA ALMEHDAR BUILDING, JURF IND.AREA1 ,AJMAN,UAE",06-7449095,,,,,
53,AJM,CLINIC,ORIANA MEDICAL CENTER LLC SOLE PROPRIETORSHIP,AL JURF,AL JURF INDUSTRIAL 1 - AJMAN,06-5918889,25.392561,55.573474,"Al Aamra Street, Al Helio, Ajman, AJ, United Arab Emirates",0.9,© OpenStreetMap contributors
54,AJM,CLINIC,EAZY CARE MEDICAL CENTER L.L.C,MOWAIHAT-3,"MOWAIHAT-3, NEAR ADNOC PETROL STATION ,AJMAN,UAE",06-7458050,,,,,
55,AJM,CLINIC,NATIONAL CLINIC (AJMAN),AJMAN,NEW SANAIYA - AJMAN,06-7432292/8007400,25.3979404,55.502882,"New Bake, Sheikh Zayed Street, Al Zahraa, Ajman, AJ, United Arab Emirates",0.568421052631579,© OpenStreetMap contributors
56,AJM,CLINIC,AL SANAIYA CLINIC (AJMAN),AJMAN,"OFFICE 105, SHEIKH AMMAR BIN HUMAID STREET, JURF INDUSTRIAL 1, AJMAN, UNITED ARAB EMIRATES",06-7484078/8007400,25.403356,55.524396,"Ajman, AJ, United Arab Emirates",0.5,Who's On First
57,AJM,CLINIC,AL NAUMIA CLINIC (AJMAN),AJMAN,"HASSAN BIN HAITHAM STREET, AJMAN",06-7432292/8007400,25.403356,55.524396,"Ajman, AJ, United Arab Emirates",0.5,Who's On First
58,AJM,CLINIC,DR. RAJEEVANS MEDICAL CENTRE,NEW SANIYA,"NEAR IND. AREA,NEW SANIYA, AJMAN",06-7431330,25.3936557,55.4451432,"Ajman, Ajman Emirate, United Arab Emirates",0.222222222222222,© OpenStreetMap contributors
59,ALAIN,CLINIC,ULTRA MEDICAL CENTER,AL JIMI MALL,"AL AIN, JIMI ALONG THE NEW SAFA'S PARKING & BEFORE CAREFOUR AL JIMI MALL",03 762 5552,24.244955,55.725501,"Al Jimi Mall, Al Jimi, Al Ain, AZ, United Arab Emirates",0,© OpenStreetMap contributors
60,ALAIN,CLINIC,MEDSTAR CLINICS SANAIYA ALAIN LLC,AL AIN TOWN CENTER,"PO BOX 222766, AL AIN TOWN CENTER, NEAR TAQWA MOSQUE, AL AIN, UAE",03-7621007,24.204759,55.793045,"Al Ain City Centre, Al Sarooj, Al Ain, AZ, United Arab Emirates",0.06613488,© OpenStreetMap contributors
61,ALAIN,CLINIC,MUBARAK MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C.,OLD IMIGRATION ROAD,"OLD IMIGRATION ROAD, NEAR K.M.TRADE.AL AIN",03-7642978,25.3588448,55.5130715,"Emrats road old, Sheikh Mohammed Bin Zayed Road, Muntazy, Emirates City, AJ, United Arab Emirates",0.0332150625,© OpenStreetMap contributors
62,ALAIN,CLINIC,AL NOOR MEDICAL CENTRE,MURABBA MAIN STREET,MURABBA MAIN STREET,03-7662072,,,,,
63,ALAIN,CLINIC,INDEX MEDICAL CENTER L.L.C,ALTAWBA,"2ND FLOOR, AL REEM BUILDING, AUD ALTAWBA, AL AIN,ABU DHABI, UAE",03-7513939,24.4961347,54.4073301,"Art Central, RG-17, Ground Floor, Al Reemah Street, Al Reem Island, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",0.168,© OpenStreetMap contributors
64,ALAIN,CLINIC,AL WAQAR MEDICAL CENTRE,"MAIN STREET,","MOHD SHERIF ALKHURI BLDNG, VILLA 20, BEHIND BABYMART, MAIN STREET, AL AIN",03-7664521,24.28394,55.62129,"Al Ain International Airport, AZ, United Arab Emirates",0.25,GeoNames
65,ALAIN,CLINIC,FATIMA MEDICAL CENTER L L C,KHALIFA STREET,"ABOVE DAMAS BUILDING ,KHALIFA STREET AL IAN",03-7513883,25.308985,55.44604,"Sheikh Khalifa Street, Industrial Area 13, Sharjah, SH, United Arab Emirates",0.0833333333333333,© OpenStreetMap contributors
66,ALAIN,CLINIC,​GEMS MEDICAL CLINIC LLC​,TOWN CENTER,"TOWN CENTER ,MAIN STREET .AL AIN",03-7641852,24.194877,55.705282,"Al Imtiyaz Street, Al Muwaiji, Al Ain, AZ, United Arab Emirates",0.142857142857143,© OpenStreetMap contributors
67,ALAIN,CLINIC,MEDLIFE MEDICAL CENTRE LLC-ALLAIN,ALAIN,"NEAR QURAN STUDY CENTRE, KALIMA HYPERMARKET BUILDING,",03-7331033,,,,,
68,ALAIN,CLINIC,EMIRATES INTERNATIONAL POLYCLINIC - L.L.C.,TOWN CENTER,"ZAYED BIN SULTAN STREET,LANDMARK: BEHIND AL-AIN COOPORATIVE SOCIETY,TOWN CENTER, AL-AIN, UAE",03-7669888,24.4956704,54.3718818,"Hamdan St / Shk. Zayed Bin Sultan St, Hamdan Bin Mohammed Street, Al Danah, Abu Dhabi, AZ, United Arab Emirates",0.0354105260362358,© OpenStreetMap contributors
69,ALAIN,CLINIC,AL KHAZNA HEALTH MEDICAL CENTER,AL KHAZNA 1,"AL KHAZNA 1, AL KHAZNA , AL AIN,UAE",02-5584609,25.112654,55.193111,"1 Al Barsha, Al Barsha 1, Dubai, DU, United Arab Emirates",0.10551724137931,© OpenStreetMap contributors
70,ALAIN,CLINIC,AL FARHAN MEDICAL CENTER,BANIYAS EAST9,"NEAR SULTAN BAKERY, BANIYAS EAST9 ,ABU DHABI AL AIN ROAD",02-5833417,24.30047,54.63611,"Baniyas, AZ, United Arab Emirates",0.25,GeoNames
71,ALAIN,CLINIC,AL AIN ALAHILI MEDICAL CENTRE,SHABIYA KHALIFA STREET,"SHABIYA KHALIFA STREET, NEAR TO AL HILAL BANK, AL AIN",03-7559990,24.147005,55.749511,"Al Ain, AZ, United Arab Emirates",0.1,Who's On First
72,ALAIN,CLINIC,EASTERN ALAHILI MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C. - BRANCH 1,HAMDAN STREET,"OPP HAMDAN CENTER, HAMDAN STREET, HAMDAN",02-4442235,24.4888154,54.3626291,"Hamdan Center, Hamdan Bin Mohammed Street, Al Danah, Abu Dhabi, AZ, United Arab Emirates",0.675,© OpenStreetMap contributors
73,ALAIN,CLINIC,NOOR ALAHLI MEDICAL CENTER L.L.C.,SANAYA,"SANAYA, NEAR OLD POLICE STATION, AL AIN",03-7665852,24.147005,55.749511,"Al Ain, AZ, United Arab Emirates",0.1,Who's On First
74,ALAIN,CLINIC,RAYHAN PRIMARY HEALTHCARE CENTRE - SOLE PROPRIETORSHIP L.L.C,"YASEAR STREET, AL MARUBBA","BUILDING 8, YASEAR STREET, AL MARUBBA, CENTRAL DISTRICT, AL AIN,ABU DHABI,UAE",03-7510043,24.2262715,55.7376796,"Canadian Cart Medical Center, 8 Al Daqal Street, Al Mutarad, Al Mu'tarid, AZ, United Arab Emirates",0.184771664067721,© OpenStreetMap contributors
75,ALAIN,CLINIC,AL MAMOON MEDICAL CENTER L.L.C,AL MUWAIJI,"AL MUWAIJI, AL AIN",03-7666652,24.2114301,55.70755,"Al Muwaiji, Abu Dhabi Emirate, United Arab Emirates",0.5,© OpenStreetMap contributors
76,ALAIN,CLINIC,AL MIRAGE MEDICAL CENTER,AL AIN SPORT CLUB,"2ND FLOOR, AL AIN SPORT CLUB BUILDING, NEXT TO AL REEM COMPLEX, AL AIN, UAE.",03-7516774,24.496135,54.40733,"RG-17, Ground Floor Boutik Mall, Al Reem Island, Al Reem Island, Abu Dhabi, AZ, United Arab Emirates",0,© OpenStreetMap contributors
77,ALAIN,CLINIC,HEALING TOUCH MEDICAL CENTER,"ALJIMI, AL AMERIYA","1st FLOOR, ABOVE AATI LAUNDRY, ALJIMI, AL AMERIYA, PO BOX68001, AL AIN,UAE",03-7850150,24.25323,55.72991,"Al Jimi, Al Ain, AZ, United Arab Emirates",0,GeoNames
78,ALAIN,CLINIC,AL RANEEN MEDICAL CENTRE LLC,ZAYED BIN SULTAN STREET,"M2 FLOOR, LUCKY PLAZA BUILDING, TOWN CENTER, NEAR HAYAT CENTER, ZAYED BIN SULTAN STREET, AL AIN",03-7655602,24.147005,55.749511,"Al Ain, AZ, United Arab Emirates",0.025,Who's On First
79,ALAIN,CLINIC,MISSION MEDICAL CENTER,SANIYAH ALAIN,"SANIYAH AL AIN,UAE",03-7224188,24.20308435,55.761786356645,"LuLu Hypermarket & Department Store, Saniyah-Al Ain, Al Mawsou'ah 4 Street, Industrial Area, Abu Dhabi Emirate, United Arab Emirates",0,© OpenStreetMap contributors
80,ALAIN,CLINIC,AL JIMI MEDICAL POLYCLINICS L.L.C,ALAIN,ALAIN,03-7656269,24.23277055,55.774065684143,"LuLu Hypermarket kuwaitat alain, Al Sarrah Street, Central District, Abu Dhabi Emirate, United Arab Emirates",1,© OpenStreetMap contributors
81,ALAIN,CLINIC,AL JIMI MEDICAL POLYCLINICS L.L.C-BRANCH,ALAIN,ALAIN,03-7656269,24.23277055,55.774065684143,"LuLu Hypermarket kuwaitat alain, Al Sarrah Street, Central District, Abu Dhabi Emirate, United Arab Emirates",1,© OpenStreetMap contributors
82,ALAIN,CLINIC,ALSULTAN ADVANCED MEDICAL CLINICS,FALAJ HAZZA ALAIN,"FULL BUILDING, NEAR ZAYED EST FOR SPECIAL NEEDS , STREET 70, JAFEER JADEED, FALAJ HAZZA ALAIN",03-7806111,25.2589889,55.473883706051,"70 68 Street, Al Khawaneej, Dubai, DU, United Arab Emirates",0.0096,© OpenStreetMap contributors
83,ALAIN,CLINIC,SULTAN MEDICAL CENTRE,AL AINCENTRAL MARKET,"NEAR COOPERATIVE SOCIETY, AL AINCENTRAL MARKET AL AINCENTRAL MARKET AL AIN",03-7641525,24.1959,55.7621418,"Al Ain Gift Market, 3rd Street, Industrial Area, AZ, United Arab Emirates",0,© OpenStreetMap contributors
84,AUH,CLINIC,ZIA MEDICAL CENTRE LLC,SHABIYA 12 MBZ CITY,BUILDING #104 SHABIYA 12 MBZ CITY ABU DHABI UAE,02-5522201,,,,,
85,AUH,CLINIC,PESHAWAR MEDICAL CENTRE LLC,MUSSAFAH,"OPPOSITE TO ICAD GATE 1 , SANAIYA M-40 MUSSAFAH ABU DHABI,UAE",02-5508987,24.16595,55.75736,"Sanaiya, AZ, United Arab Emirates",0.25,GeoNames
86,AUH,CLINIC,SWAT MEDICAL POLY CLINIC,MUSSAFAH,"NEAR SPINNEYS SUPERMARKET SANAIYA M-40 MUSSAFAH ABU DHABI,UAE",02-5550038,,,,,
87,AUH,CLINIC,LAHORE MEDICAL CENTRE-SOLE PROPRIETORSHIP L.L.C,SANAIYA,"NEAR SHABAB MUSSAFAH SUPERMARKET, SANAIYA M-26 MUSSAFAH ABU DHABI,UAE",02-5462548,,,,,
88,AUH,CLINIC,BAB AL TEB MEDICAL CENTRE LLC-SOLE PROPRIETORSHIP L.L.C,SANAIYA M-44,"SANAIYA M-44 MUSSAFAH ABU DHABI,UAE",02-6261914,,,,,
89,AUH,CLINIC,LLH MEDICAL CENTRE AL MUSAFFAH L.L.C,SHABIA 9,"PLOT - C173,M FLOOR, SHABIA 9 , MUSAFFAH, ABU DHABI",02-4116444,24.3306061,54.5349895,"shabia, Al Daraj Street, ME10, Abu Dhabi, AZ, United Arab Emirates",0.5,© OpenStreetMap contributors
90,AUH,CLINIC,LLH MEDICAL CENTRE L.L.C,MUSAFFAH SHABIYA ME II,"BUILDING NO. C55, MUSAFFAH SHABIYA ME II, PO BOX 92313",02-6282222,25.2929652,55.4594562,"Building No : 3255, Sheikh Khalifa Street, Muweilah Commercial, Sharjah, Muwailih, United Arab Emirates",0.1542564,© OpenStreetMap contributors
