SL_NO,EMIRATE,UAE_EMIRATE,PROVIDER_TYPE,PROVIDER_NAME,FACILITY_ID,AREA,ADDRESS,PHONE,GOOGLE_MAPS_LINK,WEBSITE,WHATSAPP,NOTES
MOH-F-1000552,AJM,Ajman,CLINIC,MAPLE MEDICAL CENTER L.L.C,MOH-F-1000552,RAWDA STREET,"ABDUL HAQUE BUILDING,FLAT NO:559,AL SALAM STREET,RAWDA-3,AJMAN,UAE",06-5955921,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000359,AJM,Ajman,CLINIC,RED MAPLE MEDICAL CENTER L.L.C,MOH-F-1000359,AL JURF 3,"ABDUL HAQUE BUILDING,BAHIYA,INDUSTRIAL AREA, AL JURF-3,NEAR BROTHERS STEEL",06-5955921,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000295,AJM,Ajman,CLINIC,AL AIN MEDICAL CENTER,MOH-F-1000295,AL NUAIMIA,"AL AIN BUILDING, HAFIZ IBRAHIM STREET, FIRST FLOOR 104, 105, AL NUAIMIA, AJMAN",06-7406661,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000226,AJM,Ajman,CLINIC,AL SHROOQ POLYCLINIC,MOH-F-1000226,AL BUSTAN,"UAE EXCHANGE, KARAMA PLAZA BUILDING, 1ST FLOOR 104 A BLOCK, ALBUSTAN, AJMAN",06 7455688,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000380,AJM,Ajman,CLINIC,AL RUKN MEDICAL CENTER,MOH-F-1000380,RASHIDIYA-3,"AL ZAHEER STREET,RASHIDIYA-3,AJMAN,UAE",06-7482005,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000003,AJM,Ajman,CLINIC,AL GHARAFA MEDICAL CENTRE,MOH-F-1000003,AL BUSTAN,"3RD FLOOR, UAE EXCHANGE BUILD.LULU AREA",06-7448322,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000093,AJM,Ajman,CLINIC,LLH SPECIALIST MEDICAL CENTER,MOH-F-1000093,AL NUAIMIA,"MAIRAM TOWER, AL NUAIMIA, KING FAISAL STREET",06-7486747,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH7061,AJM,Ajman,CLINIC,KHALID LALA MEDICAL CLINIC LLC,MOH7061,AL JURF,"AL JURF INDISTRIAL AREA -2 , AL JEDDAH STREET,AJMAN",06-7483485,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH6877,AJM,Ajman,CLINIC,ALENAYA MEDICAL CLINIC LLC,MOH6877,AL KHAN,ALBUSTAN TOWER FLAT NO 209 NEAR MASHRIQ BANK,06-7449666,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000009,AJM,Ajman,CLINIC,AJMAN MEDICAL CENTER,MOH-F-1000009,AJMAN,AL ZARAH BLDG MOEHAT ROUND ABOUT NEW INDUSTRIAL AREA AJMAN,06-7430088,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000227,AJM,Ajman,CLINIC,MEDO MEDICAL CENTER,MOH-F-1000227,NUAIMIA,"OFFICE 105, SHEIKH AMMAR BIN HUMAID STREET, JURF INDUSTRIAL 1, AJMAN, UNITED ARAB EMIRATES",06-5556303,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000279,AJM,Ajman,CLINIC,CAREPLUS MEDICAL CENTER LLC AJMAN,MOH-F-1000279,AJMAN,"K.M TRADING BUILDING 1ST FLOOR FLAT NO: 115 OPP. LULU HYPERMARKET, AJMAN",06-7473341,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000680,AJM,Ajman,CLINIC,NOOR AL SHIFA CLINIC LLC,MOH-F-1000680,JURF,METRO BUILDING - JURF- AJMAN,06-5234870,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,"Coordinates approximate for Jurf 1, Industrial Area 3, Ajman (landmark: opposite Lucky Centre); exact building pin requires on-site verification. Landline parsed as +971 6 767 7511. No publicly verified WhatsApp number available; set to null. Website domain should be confirmed as clinic may use alternate domain."
MOH-F-1000204,AJM,Ajman,CLINIC,AALIYA MEDICAL CENTRE,MOH-F-1000204,AL BUSTAN,"CITY MART BUILDING, OPP-KUWAIT HOSPITAL, LULU HYPER MARKET, KUWAITE HOSPITAL STREET, AL BUSTAN, AJMAN",06-7475599,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000202,AJM,Ajman,CLINIC,FAMILY MEDICAL CENTRE,MOH-F-1000202,NEW IND AREA AL ZAHRA,"NEAR AL HARAMAIN PERFUMES, NEW INDUSTRIAL AREA AL ZAHRA AJMAN, NEW INDUSTRIAL AREA, AJMAN",06-7434800,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000203,AJM,Ajman,CLINIC,IBIN SINA MEDICAL CENTRE (AJMAN AL QUDS),MOH-F-1000203,AL QUDS STREET,"AL QUDS BUILDING, NEAR ENBD BANK AJMAN, AL QUDS STREET, AJMAN",06-7457755,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000205,AJM,Ajman,CLINIC,NEW IBINSINA MEDICAL CENTRE (AJMAN JURF),MOH-F-1000205,AL JURF,"CANADIAN BUILDING, NEAR AJMAN TARAFFIC & LICENSING DEPARTMENT, AL JURF, AJMAN",06-7413330,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000245,AJM,Ajman,CLINIC,SHEIKHA CLINIC LLC (FORMERLY FIRSTAID CLINIC LLC),MOH-F-1000245,JURF-3,"JURF 3, AJMAN, UAE",06-7407042,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000365,AJM,Ajman,CLINIC,COST CARE GENERAL CLINIC,MOH-F-1000365,NUAIMIA 1,"AL MARZOOKI BUILDING, SHOP NO: 1, GROUND FLOOR, NUAIMEYA 1, AJMAN. PO BOX: 42789",06-5275643,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000472,AJM,Ajman,CLINIC,EVE MEDICAL CENTRE LLC(AJM),MOH-F-1000472,AL JURF 2,J1 BUILDING 1ST FLOOR GARDEN CITY AL JURF 2 AJMAN,06-7498042,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000607,AJM,Ajman,CLINIC,ELAJ MEDICAL CENTRE  L.L.C 01,MOH-F-1000607,AL NUAIMIA 2,"37 COLLEGE ST - AL NUAIMIYA 2, AJMAN, UAE",06-7488808,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000259,AJM,Ajman,CLINIC,INTERNATIONAL SPECIALIST MEDICAL CENTRE,MOH-F-1000259,AL NUAIMIA,"FISRT FLOOR,SHAFIQ RANA BUILDING,ABOVE AL HEKMAH PHARMACY, KUWAITI STREET. NAUIMIYA 1. AJMAN, PO BOX 2164",06-7463400,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000255,AJM,Ajman,CLINIC,ELAJ MEDICAL CENTRE LLC,MOH-F-1000255,AL RUMAILAH,AL RUMAILAH AREA AJMAN UAE,67418880,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000545,AJM,Ajman,CLINIC,AURA MEDICAL CENTER L. L.C,MOH-F-1000545,JURF 2,"RAINBOW BUILDING, JURF 2 AJMAN, BEHIND CIVIL DEFENSE, AJMAN, UAE",06-526 5455,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH2590,AJM,Ajman,CLINIC,ASTER MEDICAL CENTRE BR.(AJMAN),MOH2590,AJMAN,"SHAIKH KHALIFA BIN ZAYED STREET, AJMAN UAE",06-7314799,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH6733,AJM,Ajman,CLINIC,ACCESS MEDICAL CENTRE (BR. OF DM) - AJMAN,MOH6733,IND AREA-1,"AL HAMRAIN SOUQ, AJMAN INDUSTRIAL AREA 1,NEAR NESTO HYPERMARKET, AJMAN",06-7404778,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000064,AJM,Ajman,CLINIC,SARAH MEDICAL CENTRE,MOH-F-1000064,MASFUT,"PO. BOX, 12457, AL RASHID AL BADAWANI BLDG, FLOOR 1, HATTA ROAD, MUZEIRAH, MASFUT, AJMAN",04-8522116,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000581,AJM,Ajman,CLINIC,AL HEMAYA GENERAL CLINIC LLC,MOH-F-1000581,AL JURF 1,"SHOP NO 8 ,AL JURF INSUDTRAIL ZONE 1, NEAR LULU EXCHANGE,AJMAN",06-5225374,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000521,AJM,Ajman,CLINIC,NORTHERN AL AHLIAH MEDICAL CENTRE (AJMAN),MOH-F-1000521,AL BUSTAN,"AL WAKF BLDG., BEHIND AJMAN GENERAL POST OFFICE & NBAD, AL BUSTAN",06-7404941,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000405,AJM,Ajman,CLINIC,AHALIA MEDICAL CENTER,MOH-F-1000405,AL ITTIHAD STREET,"NEAR EMIRATES MARKET, ASYAD TOWER, AL ITTIHAD STREET",06-7497557,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000718,AJM,Ajman,CLINIC,MEDICARE MEDICAL CENTRE LLC,MOH-F-1000718,SHEIKH RASHID STREET,"SHEIKH RASHID STREET, M.CITY MART BUILDING,AJMAN,UAE",06-7475171,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000565,AJM,Ajman,CLINIC,JABAL SINA MEDICAL CENTRE LLC,MOH-F-1000565,ESCAPE TOWER,"GROUND FLOOR ESCAPE TOWER,AJMAN,UNITED ARAB EMIRATES",06-740 2255,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000112,AJM,Ajman,CLINIC,ABDUL AZIZ MEDICAL CENTRE L.L.C,MOH-F-1000112,AL HAMIDIYA,"AL SALAM BUILDING FLOOR F, OFFICE NO. 5 SHEIKH MAKTOUM BIN RASHID ST AL HAMIDIYA AJMAN UAE","054-3358211,056-4990000","https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000658,AJM,Ajman,CLINIC,SEHA MEDICAL CENTER,MOH-F-1000658,NUAIMIYA-1,"AL ITTEHAD ROAD, NUAIMIYA-1,AJMAN,UNITED ARAB EMIRATES",06-7404045,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000355,AJM,Ajman,CLINIC,GOLDEN STAR MEDICAL CENTER,MOH-F-1000355,AJMAN,"45 ABDULLAH BIN ABUD STREET, RM 7&8, NOOR BUILDING, AJMAN, UAE",058-8978647,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000266,AJM,Ajman,CLINIC,AL NAHRAIN SPECIALTY MEDICAL CENTER - LLC,MOH-F-1000266,AL NUAIMIA 2,"AL NUAIMIA 2,AJMAN,UAE",06-7449144,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000729,AJM,Ajman,CLINIC,AL NAHRAIN MEDICAL CENTER 1 LLC,MOH-F-1000729,AL HELIO 2,"AL HELIO 2, HELIO 2,AJMAN,UAE",06-7484778,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000099,AJM,Ajman,CLINIC,DEAR HEALTH MEDICAL CENTER,MOH-F-1000099,RASHIDIYA 3,"AL SWAN TOWER, RASHIDIYA 3,AJMAN,UAE",06-7413344,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000712,AJM,Ajman,CLINIC,MAGENTA HEALTH PLUS MEDICAL CENTER LLC (SOLE PROPRIETORSHIP),MOH-F-1000712,JURF,"AHMED ABDULLA ALMEHDAR BUILDING, JURF IND.AREA1 ,AJMAN,UAE",06-7449095,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000666,AJM,Ajman,CLINIC,ORIANA MEDICAL CENTER LLC SOLE PROPRIETORSHIP,MOH-F-1000666,AL JURF ,AL JURF INDUSTRIAL 1 - AJMAN,06-5918889,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOH-F-1000785,AJM,Ajman,CLINIC,EAZY CARE MEDICAL CENTER L.L.C,MOH-F-1000785,MOWAIHAT-3,"MOWAIHAT-3, NEAR ADNOC PETROL STATION ,AJMAN,UAE",06-7458050,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOHI1000,AJM,Ajman,CLINIC,NATIONAL CLINIC (AJMAN),MOHI1000,AJMAN,NEW SANAIYA - AJMAN,06-7432292/8007400,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOHM2114,AJM,Ajman,CLINIC,AL SANAIYA CLINIC (AJMAN),MOHM2114,AJMAN,"OFFICE 105, SHEIKH AMMAR BIN HUMAID STREET, JURF INDUSTRIAL 1, AJMAN, UNITED ARAB EMIRATES",06-7484078/8007400,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
MOHI117,AJM,Ajman,CLINIC,RIGHT HEALTH AL NUAIMIA CLINIC (AJMAN)(FORMERLY AL NAUMIA CLINIC (AJMAN),MOHI117,AJMAN,"HASSAN BIN HAITHAM STREET, AJMAN",06-7432292/8007400,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://righthealth.ae,,"Coordinates are approximate for Al Jurf Industrial Zone 2, Ajman (near Sheikh Mohammed Bin Zayed Road); exact shop-level position may vary slightly. Phone numbers on record: 06-7494969 and toll-free 8007400. Website belongs to the Right Health clinic chain operating in the UAE. No verified WhatsApp number available; use listed phone lines to confirm."
MOH5717,AJM,Ajman,CLINIC,DR RAJEEVANS MEDICAL CENTRE,MOH5717,NEW SANIYA,"NEAR IND. AREA,NEW SANIYA, AJMAN",06-7431330,"https://www.google.com/maps/@?api=1&map_action=map&center=25.4053692,55.4976581&zoom=15",https://www.shifaaljazeera.com,,Coordinates derived from area-level geocoding. Verify against Google Maps. Phone numbers are landline format. Website and WhatsApp to be confirmed on a per-clinic basis.
