name,city,description,employees,url
Al Garhoud Private Hospital,Dubai,Al Garhoud Private Hospital employs 416 UAE-licensed (Dubai) healthcare professionals in Dubai.,416,https://www.zavis.ai/professionals/facility/al-garhoud-private-hospital
Al Hana Modern Medical Center,Dubai,Al Hana Modern Medical Center employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/al-hana-modern-medical-center
Al Jalila Children’s Specialty Hospital,Dubai,Al Jalila Children’s Specialty Hospital employs 988 UAE-licensed (Dubai) healthcare professionals in Dubai.,988,https://www.zavis.ai/professionals/facility/al-jalila-childrens-specialty-hospital
Al Jalila Children’s Specialty Hospital Pharmacy,Dubai,Al Jalila Children’s Specialty Hospital Pharmacy employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/al-jalila-childrens-specialty-hospital-pharmacy
Al Karama Medical Fitness Center,Dubai,Al Karama Medical Fitness Center employs 42 UAE-licensed (Dubai) healthcare professionals in Dubai.,42,https://www.zavis.ai/professionals/facility/al-karama-medical-fitness-center
Al Khawaneej Medical Center - PHC,Dubai,Al Khawaneej Medical Center - PHC employs 62 UAE-licensed (Dubai) healthcare professionals in Dubai.,62,https://www.zavis.ai/professionals/facility/al-khawaneej-medical-center-phc
Al Lubnani Medical Center,Dubai,Al Lubnani Medical Center employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/al-lubnani-medical-centerdubai
Al Lusaily Medical Center - PHC,Dubai,Al Lusaily Medical Center - PHC employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/al-lusaily-medical-center-phc
Al Mamzar Medical Center - PHC,Dubai,Al Mamzar Medical Center - PHC employs 82 UAE-licensed (Dubai) healthcare professionals in Dubai.,82,https://www.zavis.ai/professionals/facility/al-mamzar-medical-center-phc
Al Mankhool Medical Center - PHC,Dubai,Al Mankhool Medical Center - PHC employs 50 UAE-licensed (Dubai) healthcare professionals in Dubai.,50,https://www.zavis.ai/professionals/facility/al-mankhool-medical-center-phc
Al Mizher Medical Center - PHC,Dubai,Al Mizher Medical Center - PHC employs 199 UAE-licensed (Dubai) healthcare professionals in Dubai.,199,https://www.zavis.ai/professionals/facility/al-mizher-medical-center-phc
Al Rafa Polyclinic-International City- Br Dm Healthcare,Dubai,Al Rafa Polyclinic-International City- Br Dm Healthcare employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/al-rafa-polyclinic-international-city-br-dm-healthcare
Al Rashidiyah Alnoor Polyclinic,Dubai,Al Rashidiyah Alnoor Polyclinic employs 79 UAE-licensed (Dubai) healthcare professionals in Dubai.,79,https://www.zavis.ai/professionals/facility/al-rashidiyah-alnoor-polyclinic
Al Tadawi Medical Centre,Dubai,Al Tadawi Medical Centre employs 80 UAE-licensed (Dubai) healthcare professionals in Dubai.,80,https://www.zavis.ai/professionals/facility/al-tadawi-medical-centre
Al Tadawi Specialty Hospital,Dubai,Al Tadawi Specialty Hospital employs 386 UAE-licensed (Dubai) healthcare professionals in Dubai.,386,https://www.zavis.ai/professionals/facility/al-tadawi-specialty-hospital
Al Towar Medical Center - PHC,Dubai,Al Towar Medical Center - PHC employs 63 UAE-licensed (Dubai) healthcare professionals in Dubai.,63,https://www.zavis.ai/professionals/facility/al-towar-medical-center-phc
Al Warqa Medical Center,Dubai,Al Warqa Medical Center employs 46 UAE-licensed (Dubai) healthcare professionals in Dubai.,46,https://www.zavis.ai/professionals/facility/al-warqa-medical-center
Al Yalayis Fitness Medical Center -DIP,Dubai,Al Yalayis Fitness Medical Center -DIP employs 78 UAE-licensed (Dubai) healthcare professionals in Dubai.,78,https://www.zavis.ai/professionals/facility/al-yalayis-fitness-medical-center-dip
Al Zahra Pvt. Hospital,Dubai,Al Zahra Pvt. Hospital employs 895 UAE-licensed (Dubai) healthcare professionals in Dubai.,895,https://www.zavis.ai/professionals/facility/al-zahra-hospital
Aldar Maison Home Health Care,Dubai,Aldar Maison Home Health Care employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/aldar-maison-home-health-care
Alhanan Home Health Care Center,Dubai,Alhanan Home Health Care Center employs 71 UAE-licensed (Dubai) healthcare professionals in Dubai.,71,https://www.zavis.ai/professionals/facility/alhanan-home-health-care-center
Alleanza Healthcare,Dubai,Alleanza Healthcare employs 107 UAE-licensed (Dubai) healthcare professionals in Dubai.,107,https://www.zavis.ai/professionals/facility/alleanza-healthcare
Allied Medical Centre,Dubai,Allied Medical Centre employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/allied-medical-centre
Almond Blossoms Fertility and Wellness Center,Dubai,Almond Blossoms Fertility and Wellness Center employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/almond-blossoms-fertility-and-wellness-center-fz
Alpha Intelligent care Home Health Care Center,Dubai,Alpha Intelligent care Home Health Care Center employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/alpha-intelligent-care-home-health-care-center
Alyalayis Government Transactions Center,Dubai,Alyalayis Government Transactions Center employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/alyalayis-government-transactions-center
Alzeyarat home Health care center,Dubai,Alzeyarat home Health care center employs 46 UAE-licensed (Dubai) healthcare professionals in Dubai.,46,https://www.zavis.ai/professionals/facility/alzeyarat-home-health-care-center
Amala Medical Center,Dubai,Amala Medical Center employs 33 UAE-licensed (Dubai) healthcare professionals in Dubai.,33,https://www.zavis.ai/professionals/facility/amala-medical-center-l-l-c
Aman Lilafia Clinic,Dubai,Aman Lilafia Clinic employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/aman-lilafia-clinic
Amber Clinics,Dubai,Amber Clinics employs 60 UAE-licensed (Dubai) healthcare professionals in Dubai.,60,https://www.zavis.ai/professionals/facility/amber-clinics
American Academy of Cosmetic Surgery Hospital (AACSH),Dubai,American Academy of Cosmetic Surgery Hospital (AACSH) employs 156 UAE-licensed (Dubai) healthcare professionals in Dubai.,156,https://www.zavis.ai/professionals/facility/american-academy-of-cosmetic-surgery-hospital-aacsh
American Aesthetic Medical Center,Dubai,American Aesthetic Medical Center employs 45 UAE-licensed (Dubai) healthcare professionals in Dubai.,45,https://www.zavis.ai/professionals/facility/american-aesthetic-medical-center
American Center For Psychiatry And Neurology,Dubai,American Center For Psychiatry And Neurology employs 43 UAE-licensed (Dubai) healthcare professionals in Dubai.,43,https://www.zavis.ai/professionals/facility/american-center-for-psychiatry-and-neurology
American Hospital Clinics AlKhawaneej,Dubai,American Hospital Clinics AlKhawaneej employs 46 UAE-licensed (Dubai) healthcare professionals in Dubai.,46,https://www.zavis.ai/professionals/facility/american-hospital-clinics-alkhawaneejamerican-hospital-dubai
American Hospital Clinics Dubai Al Barsha,Dubai,American Hospital Clinics Dubai Al Barsha employs 52 UAE-licensed (Dubai) healthcare professionals in Dubai.,52,https://www.zavis.ai/professionals/facility/american-hospital-clinics-dubai-al-barshaamerican-hospital-dubai
American Hospital Clinics Dubai Media City,Dubai,American Hospital Clinics Dubai Media City employs 52 UAE-licensed (Dubai) healthcare professionals in Dubai.,52,https://www.zavis.ai/professionals/facility/american-hospital-clinics-dubai-media-cityamerican-hospital-dubai
American Hospital Clinics Jumeirah,Dubai,American Hospital Clinics Jumeirah employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/american-hospital-clinics-jumeirahamerican-hospital-dubai
American Hospital Clinics Nad Al Sheba,Dubai,American Hospital Clinics Nad Al Sheba employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/american-hospital-clinics-nad-al-shebaamerican-hospital-dubai
American Hospital Dubai,Dubai,"American Hospital Dubai employs 1,107 UAE-licensed (Dubai) healthcare professionals in Dubai.",1107,https://www.zavis.ai/professionals/facility/american-hospital-dubai
American Hospital Dubai Science Park,Dubai,American Hospital Dubai Science Park employs 120 UAE-licensed (Dubai) healthcare professionals in Dubai.,120,https://www.zavis.ai/professionals/facility/american-hospital-dubai-science-park
American Hospital Pharmacy 1,Dubai,American Hospital Pharmacy 1 employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/american-hospital-pharmacy-1
American Hospital Pharmacy 2,Dubai,American Hospital Pharmacy 2 employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/american-hospital-pharmacy-2
American Spine Center,Dubai,American Spine Center employs 38 UAE-licensed (Dubai) healthcare professionals in Dubai.,38,https://www.zavis.ai/professionals/facility/american-spine-center
American Wellness Center,Dubai,American Wellness Center employs 44 UAE-licensed (Dubai) healthcare professionals in Dubai.,44,https://www.zavis.ai/professionals/facility/american-wellness-center
Americare,Dubai,Americare employs 88 UAE-licensed (Dubai) healthcare professionals in Dubai.,88,https://www.zavis.ai/professionals/facility/americaredubai
Apex Medical Clinics,Dubai,Apex Medical Clinics employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/apex-medical-clinics
Apollo Clinic,Dubai,Apollo Clinic employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/apollo-clinic
Appolonia and Synergy Dental Center,Dubai,Appolonia and Synergy Dental Center employs 37 UAE-licensed (Dubai) healthcare professionals in Dubai.,37,https://www.zavis.ai/professionals/facility/appolonia-and-synergy-dental-centersoc
Ardens Medical Center,Dubai,Ardens Medical Center employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/ardens-medical-center
Armada Medical Centre,Dubai,Armada Medical Centre employs 31 UAE-licensed (Dubai) healthcare professionals in Dubai.,31,https://www.zavis.ai/professionals/facility/armada-medical-centre
Armada One Day Surgical Center JLT,Dubai,Armada One Day Surgical Center JLT employs 36 UAE-licensed (Dubai) healthcare professionals in Dubai.,36,https://www.zavis.ai/professionals/facility/armada-one-day-surgical-center-jlt
Art Fertilty Clinics LLC Spc - Dubai,Dubai,Art Fertilty Clinics LLC Spc - Dubai employs 67 UAE-licensed (Dubai) healthcare professionals in Dubai.,67,https://www.zavis.ai/professionals/facility/art-fertilty-clinicsspc-dubai
Arwa and Ali Dental and Day Surgical Center,Dubai,Arwa and Ali Dental and Day Surgical Center employs 37 UAE-licensed (Dubai) healthcare professionals in Dubai.,37,https://www.zavis.ai/professionals/facility/arwa-and-ali-dental-and-day-surgical-center
Arya Clinic,Dubai,Arya Clinic employs 59 UAE-licensed (Dubai) healthcare professionals in Dubai.,59,https://www.zavis.ai/professionals/facility/arya-clinic
Aster Al Nahda Medical Center,Dubai,Aster Al Nahda Medical Center employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/aster-al-nahda-medical-centerdm-healthcare
Aster Cedars Hospital Jebel Ali,Dubai,Aster Cedars Hospital Jebel Ali employs 130 UAE-licensed (Dubai) healthcare professionals in Dubai.,130,https://www.zavis.ai/professionals/facility/aster-cedars-hospital-jebel-ali
Aster Day Surgery Centre,Dubai,Aster Day Surgery Centre employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/aster-day-surgery-centre
Aster Homecare,Dubai,Aster Homecare employs 26 UAE-licensed (Dubai) healthcare professionals in Dubai.,26,https://www.zavis.ai/professionals/facility/aster-homecaredm-healthcare
Aster Hospital Pharmacy Br Aster Dm Healthcare Fzc Dubai,Dubai,Aster Hospital Pharmacy Br Aster Dm Healthcare Fzc Dubai employs 26 UAE-licensed (Dubai) healthcare professionals in Dubai.,26,https://www.zavis.ai/professionals/facility/aster-hospital-pharmacy-br-aster-dm-healthcaredubai
Aster Hospital Pharmacy,Dubai,Aster Hospital Pharmacy employs 28 UAE-licensed (Dubai) healthcare professionals in Dubai.,28,https://www.zavis.ai/professionals/facility/aster-hospital-pharmacyaster-dm-healthcare
Aster Hospital Sonapur,Dubai,Aster Hospital Sonapur employs 100 UAE-licensed (Dubai) healthcare professionals in Dubai.,100,https://www.zavis.ai/professionals/facility/aster-hospital-sonapur
Aster Hospital,Dubai,Aster Hospital employs 561 UAE-licensed (Dubai) healthcare professionals in Dubai.,561,https://www.zavis.ai/professionals/facility/aster-hospitalaster-dm-healthcare
Aster Hospital,Dubai,Aster Hospital employs 490 UAE-licensed (Dubai) healthcare professionals in Dubai.,490,https://www.zavis.ai/professionals/facility/aster-hospitalaster-dm-healthcaredubai
Aster Jubilee Medical Complex,Dubai,Aster Jubilee Medical Complex employs 108 UAE-licensed (Dubai) healthcare professionals in Dubai.,108,https://www.zavis.ai/professionals/facility/aster-jubilee-medical-complexd-m-healthcare
Aster Medical Center,Dubai,Aster Medical Center employs 45 UAE-licensed (Dubai) healthcare professionals in Dubai.,45,https://www.zavis.ai/professionals/facility/aster-medical-center
Aster Medical Centre Al Barsha,Dubai,Aster Medical Centre Al Barsha employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/aster-medical-centre-al-barshadm-healthcare
Aster Medical Centre Al Qouz,Dubai,Aster Medical Centre Al Qouz employs 49 UAE-licensed (Dubai) healthcare professionals in Dubai.,49,https://www.zavis.ai/professionals/facility/aster-medical-centre-al-qouzdm-healthcare-l-l-c
Aster Medical Centre Business Bay,Dubai,Aster Medical Centre Business Bay employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/aster-medical-centre-business-baydm-health
Aster Medical Centre Jvc,Dubai,Aster Medical Centre Jvc employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/aster-medical-centre-jvcdm-healthcare
Aster Medical Centre Muhaisnah,Dubai,Aster Medical Centre Muhaisnah employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/aster-medical-centre-muhaisnahdm-healthcare
Aster Medical Centre Shiekh Zayed Road,Dubai,Aster Medical Centre Shiekh Zayed Road employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/aster-medical-centre-shiekh-zayed-roaddm-healthcare
Aster Medical Centre Silicon Oasis,Dubai,Aster Medical Centre Silicon Oasis employs 37 UAE-licensed (Dubai) healthcare professionals in Dubai.,37,https://www.zavis.ai/professionals/facility/aster-medical-centre-silicon-oasisdm-health
Aster Pharmacy 1,Dubai,Aster Pharmacy 1 employs 51 UAE-licensed (Dubai) healthcare professionals in Dubai.,51,https://www.zavis.ai/professionals/facility/aster-pharmacy-1aster-pharmacies-group
Aster Royal Clinic Arabian Ranches,Dubai,Aster Royal Clinic Arabian Ranches employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/aster-royal-clinic-arabian-ranchesdm-healthcare
Aster Specialist Centre For Orthopedics And Physiotherpy,Dubai,Aster Specialist Centre For Orthopedics And Physiotherpy employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/aster-specialist-centre-for-orthopedics-and-physiotherpyd-m-healthcare
Aster Specialist Medical Centre International City,Dubai,Aster Specialist Medical Centre International City employs 26 UAE-licensed (Dubai) healthcare professionals in Dubai.,26,https://www.zavis.ai/professionals/facility/aster-specialist-medical-centre-international-citydm-healthcare
Atelier Clinic,Dubai,Atelier Clinic employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/atelier-clinic
Atlantis The Palm,Dubai,Atlantis The Palm employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/atlantis-the-palm-limited
Badr Al Samaa Medical Centre,Dubai,Badr Al Samaa Medical Centre employs 47 UAE-licensed (Dubai) healthcare professionals in Dubai.,47,https://www.zavis.ai/professionals/facility/badr-al-samaa-medical-centre
Barraquer Eye Hospital,Dubai,Barraquer Eye Hospital employs 37 UAE-licensed (Dubai) healthcare professionals in Dubai.,37,https://www.zavis.ai/professionals/facility/barraquer-eye-hospital
Bayti Home Health Care Center,Dubai,Bayti Home Health Care Center employs 37 UAE-licensed (Dubai) healthcare professionals in Dubai.,37,https://www.zavis.ai/professionals/facility/bayti-home-health-care-center
Be You Plus Clinic,Dubai,Be You Plus Clinic employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/be-you-plus-clinic
Beautify Me Medical Center,Dubai,Beautify Me Medical Center employs 27 UAE-licensed (Dubai) healthcare professionals in Dubai.,27,https://www.zavis.ai/professionals/facility/beautify-me-medical-center
Beauty Concept Clinic FZ-LLC_1,Dubai,Beauty Concept Clinic FZ-LLC_1 employs 33 UAE-licensed (Dubai) healthcare professionals in Dubai.,33,https://www.zavis.ai/professionals/facility/beauty-concept-clinic1
Beauty Wise Medical Center,Dubai,Beauty Wise Medical Center employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/beauty-wise-medical-center
Bedaya Poly Clinic,Dubai,Bedaya Poly Clinic employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/bedaya-poly-clinic
Bella Roma Specialty Hospital,Dubai,Bella Roma Specialty Hospital employs 70 UAE-licensed (Dubai) healthcare professionals in Dubai.,70,https://www.zavis.ai/professionals/facility/bella-roma-specialty-hospital
Best Doctor Home Health Care Center,Dubai,Best Doctor Home Health Care Center employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/best-doctor-home-health-care-center-l-l-c
Beta Star Clinic,Dubai,Beta Star Clinic employs 60 UAE-licensed (Dubai) healthcare professionals in Dubai.,60,https://www.zavis.ai/professionals/facility/beta-star-clinic-l-l-c
Biolite Clinic,Dubai,Biolite Clinic employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/biolite-clinicsoc
Biosytech Medical Laboratory,Dubai,Biosytech Medical Laboratory employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/biosytech-medical-laboratory
Bizrahmed Centers,Dubai,Bizrahmed Centers employs 21 UAE-licensed (Dubai) healthcare professionals in Dubai.,21,https://www.zavis.ai/professionals/facility/bizrahmed-centers
Blessing Hands Home Health Care Center,Dubai,Blessing Hands Home Health Care Center employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/blessing-hands-home-health-care-center
Blood Donation Center - Dubai Health,Dubai,Blood Donation Center - Dubai Health employs 74 UAE-licensed (Dubai) healthcare professionals in Dubai.,74,https://www.zavis.ai/professionals/facility/blood-donation-center-dh
Blue Med Home Health Care Center,Dubai,Blue Med Home Health Care Center employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/blue-med-home-health-care-center
Bourn Hall Clinic,Dubai,Bourn Hall Clinic employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/bourn-hall-clinic
Bridges Speech Center,Dubai,Bridges Speech Center employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/bridges-speech-center
Burjeel Hospital For Advanced Surgery,Dubai,Burjeel Hospital For Advanced Surgery employs 108 UAE-licensed (Dubai) healthcare professionals in Dubai.,108,https://www.zavis.ai/professionals/facility/burjeel-hospital-for-advanced-surgery
C37 Medical Hub,Dubai,C37 Medical Hub employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/c37-medical-hub
Call Doctor Home Health Care Center,Dubai,Call Doctor Home Health Care Center employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/call-doctor-home-health-care-center
Camali Clinic Child and Adult Mental Health,Dubai,Camali Clinic Child and Adult Mental Health employs 26 UAE-licensed (Dubai) healthcare professionals in Dubai.,26,https://www.zavis.ai/professionals/facility/camali-clinic-child-and-adult-mental-health
Canadian Specialist Hospital,Dubai,Canadian Specialist Hospital employs 407 UAE-licensed (Dubai) healthcare professionals in Dubai.,407,https://www.zavis.ai/professionals/facility/canadian-specialist-hospital
Canadian Specialist Hospital Pharmacy,Dubai,Canadian Specialist Hospital Pharmacy employs 20 UAE-licensed (Dubai) healthcare professionals in Dubai.,20,https://www.zavis.ai/professionals/facility/canadian-specialist-hospital-pharmacy
Cardiff Home Health Care Center,Dubai,Cardiff Home Health Care Center employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/cardiff-home-health-care-center
Care and Cure Medical Center,Dubai,Care and Cure Medical Center employs 43 UAE-licensed (Dubai) healthcare professionals in Dubai.,43,https://www.zavis.ai/professionals/facility/care-and-cure-medical-center
Carehub Healthcare,Dubai,Carehub Healthcare employs 22 UAE-licensed (Dubai) healthcare professionals in Dubai.,22,https://www.zavis.ai/professionals/facility/carehub-healthcare
Caremonde Day Surgical Center,Dubai,Caremonde Day Surgical Center employs 32 UAE-licensed (Dubai) healthcare professionals in Dubai.,32,https://www.zavis.ai/professionals/facility/caremonde-day-surgical-center
Center For Rehabilitation & Readiness Enhancement,Dubai,Center For Rehabilitation & Readiness Enhancement employs 30 UAE-licensed (Dubai) healthcare professionals in Dubai.,30,https://www.zavis.ai/professionals/facility/center-for-rehabilitation-readiness-enhancement
Charme Day Surgery Center,Dubai,Charme Day Surgery Center employs 33 UAE-licensed (Dubai) healthcare professionals in Dubai.,33,https://www.zavis.ai/professionals/facility/charme-day-surgery-center
Circle Care Clinic,Dubai,Circle Care Clinic employs 29 UAE-licensed (Dubai) healthcare professionals in Dubai.,29,https://www.zavis.ai/professionals/facility/circle-care-clinic
Clemenceau Medical Center,Dubai,Clemenceau Medical Center employs 482 UAE-licensed (Dubai) healthcare professionals in Dubai.,482,https://www.zavis.ai/professionals/facility/clemenceau-medical-center
Clinica Sabah Specialty Hospital,Dubai,Clinica Sabah Specialty Hospital employs 56 UAE-licensed (Dubai) healthcare professionals in Dubai.,56,https://www.zavis.ai/professionals/facility/clinica-sabah-specialty-hospital
Clover Medical Centre,Dubai,Clover Medical Centre employs 24 UAE-licensed (Dubai) healthcare professionals in Dubai.,24,https://www.zavis.ai/professionals/facility/clover-medical-centre
Cocoage Aesthetics Clinic,Dubai,Cocoage Aesthetics Clinic employs 23 UAE-licensed (Dubai) healthcare professionals in Dubai.,23,https://www.zavis.ai/professionals/facility/cocoage-aesthetics-clinic
Cologne Dental Laboratory,Dubai,Cologne Dental Laboratory employs 25 UAE-licensed (Dubai) healthcare professionals in Dubai.,25,https://www.zavis.ai/professionals/facility/cologne-dental-laboratory
