SL_NO,PROVIDER_NAME,EMIRATE,PROVIDER_TYPE,INSURANCE_NETWORK,NOTES_EXCERPT
MOH-F-1000202,FAMILY MEDICAL CENTRE,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000203,IBIN SINA MEDICAL CENTRE (AJMAN AL QUDS),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000205,NEW IBINSINA MEDICAL CENTRE (AJMAN JURF),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000245,SHEIKHA CLINIC LLC (FORMERLY FIRSTAID CLINIC LLC),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000365,COST CARE GENERAL CLINIC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000472,EVE MEDICAL CENTRE LLC(AJM),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000607,ELAJ MEDICAL CENTRE  L.L.C 01,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000259,INTERNATIONAL SPECIALIST MEDICAL CENTRE,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000255,ELAJ MEDICAL CENTRE LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000545,AURA MEDICAL CENTER L. L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH2590,ASTER MEDICAL CENTRE BR.(AJMAN),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH6733,ACCESS MEDICAL CENTRE (BR. OF DM) - AJMAN,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000064,SARAH MEDICAL CENTRE,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000581,AL HEMAYA GENERAL CLINIC LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000521,NORTHERN AL AHLIAH MEDICAL CENTRE (AJMAN),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000405,AHALIA MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000718,MEDICARE MEDICAL CENTRE LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000565,JABAL SINA MEDICAL CENTRE LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000112,ABDUL AZIZ MEDICAL CENTRE L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000658,SEHA MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000355,GOLDEN STAR MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000266,AL NAHRAIN SPECIALTY MEDICAL CENTER - LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000729,AL NAHRAIN MEDICAL CENTER 1 LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000099,DEAR HEALTH MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000712,MAGENTA HEALTH PLUS MEDICAL CENTER LLC (SOLE PROPRIETORSHIP),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000666,ORIANA MEDICAL CENTER LLC SOLE PROPRIETORSHIP,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000785,EAZY CARE MEDICAL CENTER L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOHI1000,NATIONAL CLINIC (AJMAN),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOHM2114,AL SANAIYA CLINIC (AJMAN),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOHI117,RIGHT HEALTH AL NUAIMIA CLINIC (AJMAN)(FORMERLY AL NAUMIA CLINIC (AJMAN),AJM,CLINIC,Right Health / DARIC,"Coordinates are approximate for Al Jurf Industrial Zone 2, A"
MOH5717,DR RAJEEVANS MEDICAL CENTRE,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000832,MAX CARE MEDICAL CENTER (S.P.S - L.L.C),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000181,AL BUSTAN MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000861,AL MUBARAK MEDICAL CENTER SPS - LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000827,TAHANI MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000019,AL MADAR MEDICAL CENTER - L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000635,VPM INTERNATIONAL HEALTH CARE LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000844,PESHAWAR MEDICAL CENTER LLC-AJMAN,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000465,BYNOONA MEDICAL CENTER L.L.C (SOLE PROPRIETORSHIP),AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000682,DOUBLE CARE MEDICAL CENTER L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000909,UNITED MEDICAL CENTER LLC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000125,AL JURF MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000754,AL JURF MEDICAL CENTER - BRANCH 01,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000926,NOOR AL HADAYA MEDICAL CENTER L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000904,DR JAMEELA CLINIC L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-5001311,AL SHAMSI PHARMACY L.L.C,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000938,SMART CARE MEDICAL CENTER,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000885 ,HESSA MEDICAL CLINIC,AJM,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000333,SKIN AND TEETH MEDICAL CENTER -L.L.C,AJM,DENTAL,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000446,AL DURRA DENTAL CLINIC L.L.C,AJM,DENTAL,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-1000782,AL FARABI MEDICAL LABORATORIES L.L.C,AJM,DIAGNOSTIC CENTRE,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MOH-F-0060022,SHEIKH KHALIFA  HOSPITAL AJMAN ,AJM,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-0060021,SHEIKH KHALIFA MATERNITY AND PEDIATRIC HOSPITAL AJMAN,AJM,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-0060020,RASHID CENTER FOR DIABETES AND RESEARCH,AJM,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-0060019,SHEIKH KHALIFA HOSPITAL MASFOUT AJMAN,AJM,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-1000509,AMINA HOSPITAL,AJM,HOSPITAL,UNKNOWN,Hospital facility with emergency services. Coordinates verif
MOH-F-5000956,FIRST DEAR HEALTH PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001039,SHIFA ALJZEERAH CENTRE PHARMACY - L.L.C - BRANCH 01,AJM,PHARMACY,Shifa/ADICO,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000760,SHIFA AL JAZEERAH CENTRE PHARMACY LLC,AJM,PHARMACY,Shifa/ADICO,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000754,SHEIKH KHALIFA HOSPITAL PHARMACY - AJMAN,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000752,SHEIKH KHALIFA MATERNITY AND PEDIATRIC HOSPITAL PHARMACY AJMAN,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000753,RASHID CENTER FOR DIABETES AND RESEARCH PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000755,SHEIKH KHALIFA HOSPITAL MASFOUT PHARMACY AJMAN,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000960,AL SANAIYA PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000673,RIGHT HEALTH PHARMACY JURF LLC,AJM,PHARMACY,Right Health/DARIC,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000773,RIGHT HEALTH PHARMACY JURF2,AJM,PHARMACY,Right Health/DARIC,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000250,NEW SANAIYA PHARMACY - AJMAN,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001060,RELIEF PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000612,AL RAFI PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000348,OASIS GR-SHAMS PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000541,AL ELAJ PHARMACY/L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001055,AL TALAL PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000783,NEW MEDICAL CENTRE PHARMACY BR-RASHIDIYA - AJMAN,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000641,METRO PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000110,METRO MEDS PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000785,SABEEL PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000899,MEDON PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000694,GALAXY PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000840,ALQAMAR PHARMACY- L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000792,MAPLE PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000910,RED MAPLE PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000743,KHALIDHA PHARMACY L.L.C-AJMAN,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000330,AL NUAIMIA PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000365,MEDICINE HOME PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000363,AL ENAYA PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000731,FIRSTAID PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000351,DAJLA PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000722,AL NAJEM PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000849,EVE PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000884,ELAJ MEDICAL CENTRE PHAMARCY -AJM,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000968,ELAJ MEDICAL CENTRE PHARMACY L.L.C 01,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000020,AL HEKMAH PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000887,AURA PHARMACY L.LC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000177,ASTER NEW GRAND (NEW GRAND PHARMACY),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000093,ASTER GRAND (GRAND PHARMACY),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000060,ASTER AJMAN PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000164,ASTER MEDICOM-18 (AL ALAM PHARMACY),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000246,MEDICOM 27 PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000891,ASTER PHARMACY 163 BR OF ASTER PHARMACIES GROUP LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000864,ASTER PHARMACY 154 (BR OF ASTER PHARMACIES GROUP LLC),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000872,ASTER PHARMACY 159,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000024,AL KHALEEJ PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000085,EMIRATES PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000049,AL SHIFA PHARMACY,AJM,PHARMACY,Shifa/ADICO,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000058,ARABIAN PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000352,GRAND EMIRATES PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000548,AMINA HOSPITAL PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000393,AL NEEM PHARMACY L.L.C(AJMAN),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000487,MAWJOOD PHARMACY L.L.C(AL NEEM GROUP),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000812,TOPCARE PHARMACY AL JADEEDA L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000838,AL ABRAR PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000927,TOP CARE PLUS PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000997,BAIT AL NEEM PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000550,AL ZAMAN PHARMACY L.L.C(AL NEEM GROUP),AJM,PHARMACY,Al Zaman/DARIC,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000561,AL HEMAYA PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000335,AL SAQER PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000664,AL AIN PHARMACY CENTER L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000902,NORTHERN AL AHLIAH PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000811,PHARMACY AHALIA,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000401,ACCESS PHARMACY- AJMAN,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000915,JABAL SINA PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000525,AL NAHRAIN PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001147,AL NAHRAIN PHARMACY 1 LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000503,DEAR HEALTH PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000742,AIWA PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000578,MODERN PHARMACY L.L.C (SOLE PROPRIETORSHIP)-BRANCH 01,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000496,MODERN PHARMACY L.L.C (SOLE PROPRIETORSHIP) -BRANCH 02,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000497,MODERN PHARMACY L.L.C (SOLE PROPRIETORSHIP) -BRANCH 04,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000495,MODERN PHARMACY L.L.C (SOLE PROPRIETORSHIP) -BRANCH-06,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000115,MODERN PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000705,AL SEHA PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000704,ALYA PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000716,AL OMAIR PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001058,ORIANA PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001156,LANA PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001159,JANAH PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001197,EAZY CARE PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH1396,KHALID LALA PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001243,HEALTH PLUS PHARMACY (S.P.S - L.L.C),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000008,AL BUSTAN PHARMACY,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001267,SHIFA AL MUBARAK PHARMACY (S.P.S - L.L.C),AJM,PHARMACY,Shifa/ADICO,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000888,PRISTINE PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001285,PRISTINE PHARMACY LLC-Branch 01,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000870,HEALTH FIRST PHARMACY LLL-SOLE PROPRIETORSHIP-BRANCH 01,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000104,LULU PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000950,AL MAMOORA PHARMACY (S.P.S-L.L.C),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001297,SHEIKHA PHARMACY LLC,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001322,UMC PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
 MOH-F-5001341,RIGHT HEALTH PHARMACY JURF - L.L.C - BRANCH 01,AJM,PHARMACY,Right Health/DARIC,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5000909,AL ADIL PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
60544,AL ADIL PHARMACY L.L.C - BRANCH 01,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001331,NOOR AL HADAYA PHARMACY L.L.C,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001355,NEW SMART CARE PHARMACY(S.P.S - L.L.C),AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001333,800PHARMA1 PHARMACY CO. L.L.C - Branch 01,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MOH-F-5001332,MEDON 24 HOUR PHARMACY CO. L.L.C - Branch 01,AJM,PHARMACY,UNKNOWN,Pharmacy outlet. Coordinates approximate for area. Operating
MF4235,ULTRA MEDICAL CENTER,ALAIN,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MF365,MUBARAK MEDICAL CENTER - SOLE PROPRIETORSHIP L.L.C.,ALAIN,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MF119,AL NOOR MEDICAL CENTRE AL AIN,ALAIN,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MF1799,INDEX EYE CENTER - L.L.C(FORMERLY INDEX MEDICAL CENTER L.L.C),ALAIN,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
MF666,AL WAQAR MEDICAL CENTRE,ALAIN,CLINIC,UNKNOWN,Coordinates derived from area-level geocoding. Verify agains
